"panel","timepoint","gene_id","ENTREZID","SYMBOL","label_final","logFC","AveExpr","t","P.Value","FDR","B","strict_DEG","direction","label_score","neg_log10_FDR","DEG_class","label_rule"
"Figure1D","1W","G10090_19936","68588","Cthrc1","Cthrc1",6.20943492302011,4.92404731059851,23.2427700110723,1.35314725580675e-18,1.93648903778503e-14,31.817196574372,TRUE,"Up",85.1498876918142,13.7129849571561,"Up strict","top_6_per_direction_by_SYMBOL_priority_and_score"
"Figure1D","1W","G10090_14199","329278","Tnn","Tnn",7.78334193314931,3.02412321631911,11.319358901078,2.12658436748056e-11,1.25240941905408e-09,15.9758829305757,TRUE,"Up",69.2892843267904,8.90225367482402,"Up strict","top_6_per_direction_by_SYMBOL_priority_and_score"
"Figure1D","1W","G10090_11470","81799","C1qtnf3","C1qtnf3",5.7382437077514,5.57730178442691,14.9016616136978,4.88008352025981e-14,2.32796250861461e-11,22.1378598787452,TRUE,"Up",61.0148831667733,10.6330240181944,"Up strict","top_6_per_direction_by_SYMBOL_priority_and_score"
"Figure1D","1W","G10090_10033","17294","Mest","Mest",4.91060711004527,4.99132026218556,17.9160592396714,6.80928609465965e-16,1.39210990429535e-12,26.3006198929156,TRUE,"Up",58.2217610954538,11.8563264766904,"Up strict","top_6_per_direction_by_SYMBOL_priority_and_score"
"Figure1D","1W","G10090_29954","14119","Fbn2","Fbn2",5.63493204449206,2.74081420769102,12.8661847685819,1.32119285653642e-12,2.01144584786093e-10,18.7523177437695,TRUE,"Up",54.6390715459661,9.69649165501007,"Up strict","top_6_per_direction_by_SYMBOL_priority_and_score"
"Figure1D","1W","G10090_31856","74488","Lrrc15","Lrrc15",5.28112209479834,3.3742649245178,13.1252623190838,8.49871831863623e-13,1.46536334768678e-10,19.2828879531532,TRUE,"Up",51.9348434278469,9.83405467542595,"Up strict","top_6_per_direction_by_SYMBOL_priority_and_score"
"Figure1D","1W","G10090_32740","21743","Inmt","Inmt",-3.5885144542367,1.19480273153856,-11.4889104639385,1.54851971272344e-11,1.00275409994503e-09,16.4079185107032,TRUE,"Down",32.2923438001371,8.99880555364962,"Down strict","top_6_per_direction_by_SYMBOL_priority_and_score"
"Figure1D","1W","G10090_33778","12683","Cidea","Cidea",-4.5374848813469,-0.160750789021058,-7.68724315070303,4.43975509641022e-08,3.25832488126803e-07,8.66416965173099,TRUE,"Down",29.4346899042108,6.48700561520626,"Down strict","top_6_per_direction_by_SYMBOL_priority_and_score"
"Figure1D","1W","G10090_18579","12922","Crhr2","Crhr2",-2.95147507732052,3.68091444942756,-11.1396182674325,2.98728901375522e-11,1.58705235182047e-09,15.7636043819762,TRUE,"Down",25.9712356119626,8.79940874701217,"Down strict","top_6_per_direction_by_SYMBOL_priority_and_score"
"Figure1D","1W","G10090_33420","15007","H2-Q10","H2-Q10",-3.74114859512349,2.32177422551722,-7.68342557630692,4.47960434013149e-08,3.27748556807882e-07,8.59332707718058,TRUE,"Down",24.2593254710531,6.48445921198495,"Down strict","top_6_per_direction_by_SYMBOL_priority_and_score"
"Figure1D","1W","G10090_28262","78354","Lypd8l","Lypd8l",-4.65548457911763,0.21172275232593,-6.19947563202449,1.65740315864153e-06,6.2599885466664e-06,5.21394708177121,TRUE,"Down",24.2244716495183,5.20342646137809,"Down strict","top_6_per_direction_by_SYMBOL_priority_and_score"
"Figure1D","1W","G10090_21695","23831","Car14","Car14",-2.64888374921188,3.54924378196121,-10.7238898574176,6.65105464301002e-11,2.66619728280438e-09,14.9583247990477,TRUE,"Down",22.7118145995646,8.57410771851429,"Down strict","top_6_per_direction_by_SYMBOL_priority_and_score"
