"panel","timepoint","gene_id","ENTREZID","SYMBOL","label_final","logFC","AveExpr","t","P.Value","FDR","B","strict_DEG","direction","label_score","neg_log10_FDR","DEG_class"
"Figure1E","4W","G10090_5616","17025","Alad","Alad",-0.975332046577932,4.49076676591341,-11.8782137081976,7.64596776899215e-12,1.09459674580892e-07,17.0956827095363,FALSE,"Not_strict",6.7890384929864,6.96074584733122,"Not strict"
"Figure1E","4W","G10090_98","216820","Dhrs7b","Dhrs7b",-0.851067663416012,4.53500880700375,-11.1931692606308,2.72488019905498e-11,1.95046924648356e-07,15.8819967615679,FALSE,"Not_strict",5.71054563198685,6.70986089292347,"Not strict"
"Figure1E","4W","G10090_2861","72244","1600014C10Rik","1600014C10Rik",-0.80478294344565,5.38086866501055,-10.887744099076,4.88517077158396e-11,2.33120349219986e-07,15.3244156759718,FALSE,"Not_strict",5.33765834087478,6.63241981498984,"Not strict"
"Figure1E","4W","G10090_14371","52570","Ccdc69","Ccdc69",-1.25039759110395,3.12787628627385,-10.559297658059,9.26486708515268e-11,3.31589592977614e-07,14.563034788435,TRUE,"Down",8.10182503688054,6.47939910834891,"Down strict"
"Figure1E","4W","G10090_7615","246782","Atpaf2","Atpaf2",-0.730543114634273,4.89941571771602,-10.2108640423116,1.85304143392217e-10,5.27228201047083e-07,14.0359543583311,FALSE,"Not_strict",4.586350672839,6.27800136770166,"Not strict"
"Figure1E","4W","G10090_9136","72148","Tdrp","Tdrp",-1.12374068991183,3.97878360412901,-10.1235609800879,2.20967393565416e-10,5.27228201047083e-07,13.8399422266251,TRUE,"Down",7.05484558820845,6.27800136770166,"Down strict"
"Figure1E","4W","G10090_30959","15267","H2ac18","H2ac18",-0.891390215300691,4.45937009319721,-9.89368982869073,3.52838151874678e-10,7.21604426033985e-07,13.4051955623686,FALSE,"Not_strict",5.47465200882576,6.14170081166866,"Not strict"
"Figure1E","4W","G10090_13991","12497","Entpd6","Entpd6",-0.850364738975419,4.01867394135668,-9.59342779248687,6.56777554071428e-10,1.04153986096631e-06,12.7924544157705,FALSE,"Not_strict",5.08715747553256,5.98232410443304,"Not strict"
"Figure1E","4W","G10090_19037","68033","Cox19","Cox19",-0.678009622928958,4.19360070634389,-9.56104030359168,7.02785405749663e-10,1.04153986096631e-06,12.7318682391468,FALSE,"Not_strict",4.05607331028546,5.98232410443304,"Not strict"
"Figure1E","4W","G10090_19126","22403","Ccn5","Ccn5",3.00445981207751,5.6443654186473,9.54450870080254,7.27535527358421e-10,1.04153986096631e-06,12.6597948344113,TRUE,"Up",17.9736523545917,5.98232410443304,"Up strict"
"Figure1E","4W","G10090_6425","20655","Sod1","Sod1",-0.820406017084086,7.15272857372599,-9.41816162705134,9.48943208262589e-10,1.1696077345198e-06,12.3849473464679,FALSE,"Not_strict",4.86661548711496,5.93195976842301,"Not strict"
"Figure1E","4W","G10090_14887","18605","Enpp1","Enpp1",2.80147066768412,5.37209892797258,9.40272407623957,9.803920658171e-10,1.1696077345198e-06,12.3826045736144,TRUE,"Up",16.6182112931194,5.93195976842301,"Up strict"
"Figure1E","4W","G10090_5551","69538","Antxr1","Antxr1",2.11512703150697,7.25421207032163,9.33764457438113,1.12522381758244e-09,1.23913109019309e-06,12.1907158415489,TRUE,"Up",12.4938073686386,5.90688274629874,"Up strict"
"Figure1E","4W","G10090_21654","110821","Pcca","Pcca",-0.971729054335509,5.51142828740406,-9.27569422959397,1.2835783024757e-09,1.31255049844586e-06,12.1492541001228,FALSE,"Not_strict",5.71559755639211,5.88188397876049,"Not strict"
"Figure1E","4W","G10090_3812","50490","Nox4","Nox4",1.71911543977758,4.29322402262964,9.18104921415759,1.57109791001917e-09,1.4994558453223e-06,11.9398783021253,TRUE,"Up",10.0122423303259,5.82406631844411,"Up strict"
"Figure1E","4W","G10090_28452","68917","Hint2","Hint2",-0.958004153158693,3.54741947224539,-9.06684188052976,2.00818499653181e-09,1.70583664455986e-06,11.6944523203696,FALSE,"Not_strict",5.5258278885121,5.7680625603684,"Not strict"
"Figure1E","4W","G10090_18249","69700","Col22a1","Col22a1",1.71405773057708,7.81519717341473,8.96935866639385,2.47959691110832e-09,1.70583664455986e-06,11.4006154069281,TRUE,"Up",9.8867922220517,5.7680625603684,"Up strict"
"Figure1E","4W","G10090_20129","66082","Abhd6","Abhd6",-0.674866593422523,3.28505060420778,-8.95661952633126,2.54910954235479e-09,1.70583664455986e-06,11.4515712128988,FALSE,"Not_strict",3.89267273076382,5.7680625603684,"Not strict"
"Figure1E","4W","G10090_3076","110265","Msra","Msra",-0.723337977816742,4.46797892787994,-8.95362795230525,2.56572190811781e-09,1.70583664455986e-06,11.4729175168105,FALSE,"Not_strict",4.17225870833734,5.7680625603684,"Not strict"
"Figure1E","4W","G10090_10184","623661","Lipt1","Lipt1",-0.860100822664258,2.6585187219726,-8.94366926252154,2.62182927984286e-09,1.70583664455986e-06,11.3556179680049,FALSE,"Not_strict",4.96111535335177,5.7680625603684,"Not strict"
"Figure1E","4W","G10090_33990","72713","Angptl1","Angptl1",2.00743807686246,5.58558370675719,8.91845234190732,2.76961172977483e-09,1.70583664455986e-06,11.3936255684744,TRUE,"Up",11.5790284134083,5.7680625603684,"Up strict"
