"panel","timepoint","PC","variance_explained_pct"
"Figure1B","1W","PC1",58.8304341571494
"Figure1B","1W","PC2",9.23268463228826
"Figure1B","1W","PC3",6.52084774464095
"Figure1B","1W","PC4",3.61196016723507
"Figure1B","1W","PC5",2.97522363167965
"Figure1B","1W","PC6",2.61784786201915
"Figure1B","1W","PC7",1.95145867799524
"Figure1B","1W","PC8",1.86834737187317
"Figure1B","1W","PC9",1.64881893418676
"Figure1B","1W","PC10",1.2296067495403
"Figure1B","1W","PC11",1.13253706238867
"Figure1B","1W","PC12",1.06107356980297
"Figure1B","1W","PC13",0.939125975728285
"Figure1B","1W","PC14",0.873721932347701
"Figure1B","1W","PC15",0.793675147719823
"Figure1B","1W","PC16",0.758552174639986
"Figure1B","1W","PC17",0.692173936110061
"Figure1B","1W","PC18",0.669546636270574
"Figure1B","1W","PC19",0.620230600058704
"Figure1B","1W","PC20",0.576611630175012
"Figure1B","1W","PC21",0.514535697889298
"Figure1B","1W","PC22",0.467842442179212
"Figure1B","1W","PC23",0.413143266081807
"Figure1B","1W","PC24",2.58006278708528e-29
"Figure1C","4W","PC1",48.7006600434985
"Figure1C","4W","PC2",11.7148886847663
"Figure1C","4W","PC3",8.03307103590994
"Figure1C","4W","PC4",5.41631739286561
"Figure1C","4W","PC5",3.28044543270415
"Figure1C","4W","PC6",3.14700537623872
"Figure1C","4W","PC7",2.27283844413326
"Figure1C","4W","PC8",1.91597777044418
"Figure1C","4W","PC9",1.87356665010197
"Figure1C","4W","PC10",1.58138795504337
"Figure1C","4W","PC11",1.53962815277033
"Figure1C","4W","PC12",1.36998963524747
"Figure1C","4W","PC13",1.14731832340244
"Figure1C","4W","PC14",1.13406915862195
"Figure1C","4W","PC15",0.971291446474499
"Figure1C","4W","PC16",0.923825069989664
"Figure1C","4W","PC17",0.858349575576869
"Figure1C","4W","PC18",0.805624473335129
"Figure1C","4W","PC19",0.797283971563498
"Figure1C","4W","PC20",0.743647055734922
"Figure1C","4W","PC21",0.664340665941715
"Figure1C","4W","PC22",0.56212414470766
"Figure1C","4W","PC23",0.546349540927931
"Figure1C","4W","PC24",6.21520824882392e-29
