"gene_id","ENTREZID_1W","SYMBOL_1W","logFC_1W","FDR_1W","direction_1W","ENTREZID_4W","SYMBOL_4W","logFC_4W","FDR_4W","direction_4W","in_1W","in_4W","direction_relation","category","ENTREZID","SYMBOL","plot_class","label_name","combined_score"
"G10090_10021",76131,"Depdc1a",4.18081702415313,8.73732019760563e-08,"Up",76131,"Depdc1a",1.79772937809321,0.002320073658178,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",76131,"Depdc1a","Persistent_up","Depdc1a",34.2469208314693
"G10090_1003",18037,"Nfkbie",1.59729020579516,3.22792546391118e-09,"Up",18037,"Nfkbie",1.10873838768899,7.01886872959607e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",18037,"Nfkbie","Persistent_up","Nfkbie",18.1681164296766
"G10090_10033",17294,"Mest",4.91060711004527,1.39210990429535e-12,"Up",17294,"Mest",1.3100370729186,0.000136946031376,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",17294,"Mest","Persistent_up","Mest",63.2830245438395
"G10090_10046",192187,"Stab1",1.60076074439296,4.95098891707591e-08,"Up",192187,"Stab1",1.23932047830467,5.15017106531303e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",192187,"Stab1","Persistent_up","Stab1",17.0084775836013
"G10090_10052",100039177,"Mup16",-1.49848958059371,0.00947142201465449,"Down",100039177,"Mup16",-1.45354843029502,0.0204222624287865,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",100039177,"Mup16","Persistent_down","Mup16",5.48866664898206
"G10090_10062",19092,"Prkg2",1.2836520021335,0.00228165213587268,"Up",19092,"Prkg2",2.08025070464358,1.15858537486585e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",19092,"Prkg2","Persistent_up","Prkg2",13.6593555746699
"G10090_10080",67454,"Ikbip",1.47021097331587,2.02185233000411e-09,"Up",67454,"Ikbip",1.10127458137199,2.27247783624488e-06,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",67454,"Ikbip","Persistent_up","Ikbip",18.9974260671804
"G10090_10084",64082,"Popdc2",-1.84197984445972,1.60461980621093e-06,"Down",64082,"Popdc2",-1.1204329870778,0.000126804967742009,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",64082,"Popdc2","Persistent_down","Popdc2",15.0397623801921
"G10090_10137",171282,"Acot4",-1.18413882423001,0.000147683348982368,"Down",171282,"Acot4",-1.22187121076527,0.00123007374508947,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",171282,"Acot4","Persistent_down","Acot4",8.09177260593977
"G10090_10146",17960,"Nat1",-1.59240394054827,2.45403276568993e-05,"Down",17960,"Nat1",-1.28940395598384,0.000185820385777143,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",17960,"Nat1","Persistent_down","Nat1",12.1518184702765
"G10090_10160",12182,"Bst1",1.47442338996893,3.516482382263e-06,"Up",12182,"Bst1",1.02433615549345,0.000110726231435946,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",12182,"Bst1","Persistent_up","Bst1",12.0933624891867
"G10090_10183",234593,"Ndrg4",1.6252207570199,1.56140903771721e-08,"Up",234593,"Ndrg4",1.53955755486681,2.74474828350957e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",234593,"Ndrg4","Persistent_up","Ndrg4",19.7099466201924
