"","Treatment","Timepoint"
"M130L","Contra","1W"
"M135L","Contra","1W"
"M142L","Contra","1W"
"M143L","Contra","1W"
"M147L","Contra","1W"
"M153L","Contra","1W"
"M158L","Contra","1W"
"M160L","Contra","1W"
"M163L","Contra","1W"
"M167L","Contra","1W"
"M174L","Contra","1W"
"M178L","Contra","1W"
"M130R","ACLR","1W"
"M135R","ACLR","1W"
"M142R","ACLR","1W"
"M143R","ACLR","1W"
"M147R","ACLR","1W"
"M153R","ACLR","1W"
"M158R","ACLR","1W"
"M160R","ACLR","1W"
"M163R","ACLR","1W"
"M167R","ACLR","1W"
"M174R","ACLR","1W"
"M178R","ACLR","1W"
"M131L","Contra","4W"
"M137L","Contra","4W"
"M140L","Contra","4W"
"M146L","Contra","4W"
"M150L","Contra","4W"
"M154L","Contra","4W"
"M157L","Contra","4W"
"M161L","Contra","4W"
"M166L","Contra","4W"
"M169L","Contra","4W"
"M173L","Contra","4W"
"M176L","Contra","4W"
"M131R","ACLR","4W"
"M137R","ACLR","4W"
"M140R","ACLR","4W"
"M146R","ACLR","4W"
"M150R","ACLR","4W"
"M154R","ACLR","4W"
"M157R","ACLR","4W"
"M161R","ACLR","4W"
"M166R","ACLR","4W"
"M169R","ACLR","4W"
"M173R","ACLR","4W"
"M176R","ACLR","4W"
