"","M130L","M135L","M142L","M143L","M147L","M153L","M158L","M160L","M163L","M167L","M174L","M178L","M130R","M135R","M142R","M143R","M147R","M153R","M158R","M160R","M163R","M167R","M174R","M178R","M131L","M137L","M140L","M146L","M150L","M154L","M157L","M161L","M166L","M169L","M173L","M176L","M131R","M137R","M140R","M146R","M150R","M154R","M157R","M161R","M166R","M169R","M173R","M176R"
"Cthrc1",-1.19819788169618,-1.45049545572146,-0.487527657334524,-0.187751210790663,-1.21001816918957,-0.504423920583491,-0.901764553792001,-0.695969877559291,-1.01473130723409,-0.880680002789379,-0.601078274923055,-1.0574608514634,1.02361186689332,1.35451553443423,1.38445598651424,1.48865229843296,1.1614941510623,1.11002883813427,1.48860023101337,1.34445229744345,1.1056582504428,1.45122446426313,1.2770161839312,1.3016239758793,-0.704844400517948,-0.558031086308019,-0.926386968152653,-0.55786039751968,-1.22647565819559,-1.31342813185549,-0.800003651896939,-0.688190245990237,-1.14790282390376,-1.02735378206481,-0.757911090024586,-1.08695953409814,0.958169858219476,1.39072683360399,0.42484392817006,0.467160578553474,0.512210025615477,-1.05682964428839,0.300772392384545,0.48544153565463,0.583846534710404,0.827718572565749,0.322832761215523,0.277219478755441
"Tnn",-1.5088926144616,-1.64834503148283,-0.360988472696491,-0.290815091804255,-2,-0.397190191109076,-0.307873046035777,-1.26694604562251,-0.987094520566422,-0.568319191641264,-0.685531506087526,-0.890806061166288,0.654771373464197,1.10976314469346,1.16157641364172,1.40022087518325,0.679081806680319,0.644673489419605,1.55025497309075,0.988769762803329,0.797184346990286,1.31043992807955,1.23633183356429,1.10883092544795,-1.01709721995132,0.273643167413829,0.0629735571574284,-1.14448954140814,-1.24414443996978,-0.542934339782423,-0.95457156667671,-0.532950370459755,-1.41337172935117,-1.36554371757984,-0.572426669999112,-1.21761443484064,0.965802479092803,1.43547003999098,0.821286297060525,0.541969353503139,0.680961494504551,-0.460004778486102,0.26094564439941,0.618541780901342,1.17850070930131,0.846266941243442,0.365412222524636,0.70388716857469
"C1qtnf3",-0.932052810069664,-1.51617455919034,-0.517481158832728,-0.0261252727457212,-0.763638994174918,-0.521476997285098,-0.571331039343376,-1.16120580085613,-0.550484499068941,-0.7419524104719,-0.518835028427319,-1.27714519971212,0.592940628491793,1.13537104627568,1.54809991280966,1.92038894753542,1.04862672656992,0.916721316984155,1.9759501469363,1.69018521986906,1.1132496125973,1.71496045596799,1.55472456815632,0.981859696772946,-1.02636075130611,-0.646730655148878,-1.19782322884911,-0.363489011143759,-1.03556287825455,-1.21992981730901,-0.951227158278702,-0.523869503539693,-0.819793474428312,-1.00385138544788,-0.911705119031335,-0.882350233054603,0.637754730797923,1.49764413453365,0.301497961083572,0.471342862947406,0.261737432356338,-0.930265404919416,0.127667726542017,0.089201440952642,0.359727365117579,0.345730099742109,0.134206731353768,0.191273626496064
"Lrrc15",-1.43920942909427,-1.8061861619901,-0.144415684388926,0.125932248507184,-1.27008776061932,-0.591660887228435,-1.00046753989058,-1.01756926771627,-1.02705863345505,-0.745154641339855,-0.675516708162014,-1.03567993110541,0.905742666129702,1.31449216579323,1.34036994275692,1.6260519599343,0.647648579421529,0.823650845297628,1.23243888599063,0.847392230456133,0.870901650318979,1.40280215620488,1.30548917241967,1.21400360176118,-0.798460417440727,-0.817042501901274,-0.81490067462288,-0.0370933743233961,-1.17113745968078,-1.40751599875928,-0.463430424808938,-0.619664649051501,-1.37553219071085,-1.24523231813806,-0.962779351195112,-0.190511994229903,0.858074421400796,1.49499561883417,0.918678205588051,0.830176733443419,0.692220497466505,-1.00219859625469,0.565256696489144,0.419778551674558,0.774994552613296,0.766141152604891,0.466260098185953,0.215013962814881
"P4ha3",-1.16766544013225,-1.77648065965987,-0.15775875496173,-0.491154805723914,-1.03485582659043,-0.816592128055212,-0.985059938973928,-0.849005634710757,-1.2805545653118,-1.28597389625354,-0.298083805277811,-1.16784412706058,0.729046392237381,1.09201104113517,1.13136619569792,1.17954523223879,0.725659819255063,0.874141121700369,1.25228341260017,0.955518914418694,0.732882090157293,1.21794904551896,1.21631602305155,1.20427842591011,-1.00559384506805,-0.669689863961922,-1.17594536707944,0.147301756363911,-1.20255430616099,-1.18768643592386,-0.560679078945792,-0.291750125673111,-1.61402102742121,-1.37839787524632,-0.605277214469237,-0.173297063945647,1.09043392089088,1.45776197453679,0.825420826396126,0.905703681100011,0.860162696654778,-0.91128814089197,0.437236941813987,0.832466437561408,0.875089456188163,0.897963602427263,0.798252922926619,0.64841799671796
"Myo16",-1.23399077500246,-1.16246064510589,-0.92965237380117,-0.66001039663204,-1.12560430472608,-0.0568635401725665,-1.19277610840996,-0.802732370146349,-1.22175578448726,-1.19907972028995,-0.452437699562606,-0.713677322434951,0.746363276733724,1.06643127385794,0.949451918056108,1.01764313836989,0.432082255674237,0.815633512061362,0.926475966157614,0.672891691605591,0.346209845007244,0.811147965771802,1.06098003727119,0.976120934163107,-0.560924471372939,-0.47720852605887,-0.871337455157116,-0.559359681528323,-1.79087747164752,-1.15746005675761,-0.0617242016249395,-0.82786325840624,-0.629534614626615,-1.8422411168961,-1.24090606126383,-0.672338196998077,1.16704977565043,1.71807188664742,0.911746114641203,0.912345525523178,1.19656030630393,-0.212705983237622,0.609218094572833,1.28341439063286,1.23678434650261,1.61629172320048,0.942559799214966,0.240048358727399
"Fbn2",-0.904081860990707,-0.998665198975667,-0.425975003136674,-0.917184022116112,-0.658749889302682,-0.627781488518515,-0.956601399299879,-0.994054869824977,-0.583613286274454,-1.0324361398346,-0.411118709956738,-1.08267253347281,0.996406640356855,1.24134745412906,1.50812954391039,1.56080229121799,0.889109530296323,0.830328226330859,1.84487156697148,1.45321235862985,1.13887993549432,1.54881449050232,1.60734764982888,1.34646751568315,-0.63309140086776,-0.19120987490303,-0.553211915327338,-0.910326792091185,-1.50818402840832,-1.22320480701834,-0.692482281299984,-0.483880159325559,-1.14126456321934,-1.25937407249318,-0.969101550661431,-0.90391638619421,0.870082067278598,1.18405167850114,0.506515227546007,0.152719069479344,0.658462460251953,-1.02664044627501,-0.303580054589157,0.396381702355294,0.735383535927824,0.799818667543147,0.440003623726181,-0.316732501583321
"Mest",-0.880655422331571,-1.18755638812748,-0.398632956340616,-0.773592171700549,-0.745775062325748,-0.337447565577693,-0.71201041209083,-0.93116835364544,-0.744733426966262,-0.63891031316821,-0.41364673658286,-1.04024408347176,1.1801773602429,1.05131551700684,1.78144456970441,2,1.0263252138426,1.0975975995427,2,1.94613498151659,1.44356095025487,1.74077834627822,1.89006782936868,1.19716085526465,-0.676556528261076,-0.178305318392415,-0.521209380505427,-0.811052435727746,-0.585552999011708,-0.975142243609821,-0.840568483490011,-0.715518195961971,-0.480393123505277,-0.905762495222633,-0.676929518926849,-1.14698504380422,0.100660856108185,0.542369479953272,-0.186929208120821,-0.361471607766743,0.0104685510390077,-0.784256892733329,-0.513876354543764,-0.17731370319531,0.129428075327378,0.297200125537194,0.00642628637789645,-0.453917435071432
"Postn",-1.39021034988578,-1.12378100688901,-0.696111086058634,-0.184170513732449,-0.867877281279592,-0.283287392584625,-0.74590450130734,-0.743625728406017,-1.09230340278941,-1.00621414369796,-0.728020997596378,-1.33822900403513,0.891332448941477,1.33751629852425,1.55607261461016,1.81280581495098,1.28159082881488,1.22885531387391,1.78927094803133,1.69116411910881,1.10583341760974,1.60370903157486,1.51855922547378,1.2359135126178,-0.817500417615861,-0.211892434323909,-0.603105863893741,-0.5501637098394,-1.24617943989431,-1.20642357029121,-0.737216058582249,-0.911255042776741,-0.735225135269174,-0.760460166432783,-0.845263659467418,-0.954275914370573,0.409946396056473,0.817184661552169,0.113315307898218,0.137948423138715,0.472521861463219,-1.07200738095319,0.0763622856719735,0.340204622684219,0.530450276406696,0.677229685282005,0.27076442275927,-0.0478473150720719
"Nt5dc2",-0.903990173271989,-0.874503583350702,-0.372617043553466,-0.658265464868041,-1.10502326485661,-0.610989314158472,-0.984525385712535,-0.716383766063448,-1.31555773555314,-0.952766363570954,-1.12201870662232,-1.20245376411688,0.646457705971369,1.50298701566807,0.763510158340716,0.796042494777259,0.46988070755017,1.11643165359364,1.13410450012942,1.08789577090641,0.492030006114397,1.018010782891,1.09468890442476,1.29597609605064,-0.721414496320793,-0.700606303417541,-0.970508672228482,-0.789101161176622,-1.18348664950134,-0.834002010520411,-0.763717885622997,-0.840608553021793,-0.82983774687894,-0.694313851642904,-0.972419292775889,-1.30966171743962,1.15181154829609,1.86008287763966,0.83489720988445,0.739683291407988,1.13386316776308,-0.98068128208171,0.155160837346528,1.27602342520784,1.26327527877512,1.50415050221003,0.911479878776233,0.161010374602721
