"sample_id","mouse_id","sex","timepoint","treatment","Timepoint","Treatment"
"M130L","M130","M","1W","Contra","1W","Contra"
"M135L","M135","M","1W","Contra","1W","Contra"
"M142L","M142","F","1W","Contra","1W","Contra"
"M143L","M143","F","1W","Contra","1W","Contra"
"M147L","M147","M","1W","Contra","1W","Contra"
"M153L","M153","M","1W","Contra","1W","Contra"
"M158L","M158","F","1W","Contra","1W","Contra"
"M160L","M160","F","1W","Contra","1W","Contra"
"M163L","M163","M","1W","Contra","1W","Contra"
"M167L","M167","M","1W","Contra","1W","Contra"
"M174L","M174","F","1W","Contra","1W","Contra"
"M178L","M178","F","1W","Contra","1W","Contra"
"M130R","M130","M","1W","ACLR","1W","ACLR"
"M135R","M135","M","1W","ACLR","1W","ACLR"
"M142R","M142","F","1W","ACLR","1W","ACLR"
"M143R","M143","F","1W","ACLR","1W","ACLR"
"M147R","M147","M","1W","ACLR","1W","ACLR"
"M153R","M153","M","1W","ACLR","1W","ACLR"
"M158R","M158","F","1W","ACLR","1W","ACLR"
"M160R","M160","F","1W","ACLR","1W","ACLR"
"M163R","M163","M","1W","ACLR","1W","ACLR"
"M167R","M167","M","1W","ACLR","1W","ACLR"
"M174R","M174","F","1W","ACLR","1W","ACLR"
"M178R","M178","F","1W","ACLR","1W","ACLR"
"M131L","M131","M","4W","Contra","4W","Contra"
"M137L","M137","M","4W","Contra","4W","Contra"
"M140L","M140","F","4W","Contra","4W","Contra"
"M146L","M146","F","4W","Contra","4W","Contra"
"M150L","M150","M","4W","Contra","4W","Contra"
"M154L","M154","M","4W","Contra","4W","Contra"
"M157L","M157","F","4W","Contra","4W","Contra"
"M161L","M161","F","4W","Contra","4W","Contra"
"M166L","M166","M","4W","Contra","4W","Contra"
"M169L","M169","M","4W","Contra","4W","Contra"
"M173L","M173","F","4W","Contra","4W","Contra"
"M176L","M176","F","4W","Contra","4W","Contra"
"M131R","M131","M","4W","ACLR","4W","ACLR"
"M137R","M137","M","4W","ACLR","4W","ACLR"
"M140R","M140","F","4W","ACLR","4W","ACLR"
"M146R","M146","F","4W","ACLR","4W","ACLR"
"M150R","M150","M","4W","ACLR","4W","ACLR"
"M154R","M154","M","4W","ACLR","4W","ACLR"
"M157R","M157","F","4W","ACLR","4W","ACLR"
"M161R","M161","F","4W","ACLR","4W","ACLR"
"M166R","M166","M","4W","ACLR","4W","ACLR"
"M169R","M169","M","4W","ACLR","4W","ACLR"
"M173R","M173","F","4W","ACLR","4W","ACLR"
"M176R","M176","F","4W","ACLR","4W","ACLR"
