"gene_id","ENTREZID","SYMBOL","logFC_1W","FDR_1W","direction_1W","logFC_4W","FDR_4W","direction_4W","direction_persistent","category","mouse_symbol_for_gorth"
"G10090_10021",76131,"Depdc1a",4.18081702415313,8.73732019760563e-08,"Up",1.79772937809321,0.002320073658178,"Up","Up","persistent_direction_consistent","Depdc1a"
"G10090_1003",18037,"Nfkbie",1.59729020579516,3.22792546391118e-09,"Up",1.10873838768899,7.01886872959607e-05,"Up","Up","persistent_direction_consistent","Nfkbie"
"G10090_10033",17294,"Mest",4.91060711004527,1.39210990429535e-12,"Up",1.3100370729186,0.000136946031376,"Up","Up","persistent_direction_consistent","Mest"
"G10090_10046",192187,"Stab1",1.60076074439296,4.95098891707591e-08,"Up",1.23932047830467,5.15017106531303e-05,"Up","Up","persistent_direction_consistent","Stab1"
"G10090_10052",100039177,"Mup16",-1.49848958059371,0.00947142201465449,"Down",-1.45354843029502,0.0204222624287865,"Down","Down","persistent_direction_consistent","Mup16"
"G10090_10062",19092,"Prkg2",1.2836520021335,0.00228165213587268,"Up",2.08025070464358,1.15858537486585e-05,"Up","Up","persistent_direction_consistent","Prkg2"
"G10090_10080",67454,"Ikbip",1.47021097331587,2.02185233000411e-09,"Up",1.10127458137199,2.27247783624488e-06,"Up","Up","persistent_direction_consistent","Ikbip"
"G10090_10084",64082,"Popdc2",-1.84197984445972,1.60461980621093e-06,"Down",-1.1204329870778,0.000126804967742009,"Down","Down","persistent_direction_consistent","Popdc2"
"G10090_10137",171282,"Acot4",-1.18413882423001,0.000147683348982368,"Down",-1.22187121076527,0.00123007374508947,"Down","Down","persistent_direction_consistent","Acot4"
"G10090_10146",17960,"Nat1",-1.59240394054827,2.45403276568993e-05,"Down",-1.28940395598384,0.000185820385777143,"Down","Down","persistent_direction_consistent","Nat1"
"G10090_10160",12182,"Bst1",1.47442338996893,3.516482382263e-06,"Up",1.02433615549345,0.000110726231435946,"Up","Up","persistent_direction_consistent","Bst1"
"G10090_10183",234593,"Ndrg4",1.6252207570199,1.56140903771721e-08,"Up",1.53955755486681,2.74474828350957e-05,"Up","Up","persistent_direction_consistent","Ndrg4"
"G10090_10207",16498,"Kcnab2",1.39298810021812,4.18427726589502e-07,"Up",1.2456987090924,8.3819114258498e-06,"Up","Up","persistent_direction_consistent","Kcnab2"
"G10090_10243",107581,"Col16a1",3.07843901976405,3.57651081869277e-09,"Up",1.78614897041046,9.10915835078394e-06,"Up","Up","persistent_direction_consistent","Col16a1"
"G10090_10290",383103,"Tvp23a",1.65605876540667,4.37275197510197e-08,"Up",1.11320854605047,0.000178720054627081,"Up","Up","persistent_direction_consistent","Tvp23a"
"G10090_10365",215378,"Brinp3",1.89823651412795,0.00267919203524598,"Up",1.98322371402988,0.000752799386819823,"Up","Up","persistent_direction_consistent","Brinp3"
"G10090_10370",171212,"Galnt10",1.41865419006616,1.00505413264937e-09,"Up",1.20932825355529,1.49516262082602e-05,"Up","Up","persistent_direction_consistent","Galnt10"
"G10090_10387",67451,"Pkp2",-1.28856731317734,1.56271692789427e-08,"Down",-1.29710051559252,2.19235194857039e-06,"Down","Down","persistent_direction_consistent","Pkp2"
"G10090_10411",14633,"Gli2",1.05978693337186,6.78070709867758e-05,"Up",1.09498559877586,0.000109405361535143,"Up","Up","persistent_direction_consistent","Gli2"
"G10090_10416",170835,"Inpp5j",-2.53328207358455,2.29332874595577e-07,"Down",-1.32616443102469,0.0010693361061219,"Down","Down","persistent_direction_consistent","Inpp5j"
"G10090_1043",76219,"Arxes1",-1.89617604159832,8.49235009832464e-05,"Down",-1.83633872380935,3.46292633504897e-05,"Down","Down","persistent_direction_consistent","Arxes1"
"G10090_10441",20618,"Sncg",-1.97390694553371,3.39587033547612e-06,"Down",-1.26142008149721,0.00014080537448859,"Down","Down","persistent_direction_consistent","Sncg"
"G10090_10443",237759,"Col23a1",1.38335062734764,4.99026362490265e-07,"Up",1.02769178888764,0.00808049355459414,"Up","Up","persistent_direction_consistent","Col23a1"
"G10090_10466",57339,"Jph1",-1.20947093835611,0.00119450416501376,"Down",-1.04878573937518,0.00197712636289779,"Down","Down","persistent_direction_consistent","Jph1"
"G10090_10476",237360,"Adamts14",1.85182506610541,1.19002153895991e-08,"Up",1.56975102451646,7.0539673113845e-05,"Up","Up","persistent_direction_consistent","Adamts14"
"G10090_1051",76980,"Ube2ql1",2.06039996519925,6.68500475036788e-08,"Up",1.92146753391162,6.14493013635567e-05,"Up","Up","persistent_direction_consistent","Ube2ql1"
"G10090_10515",16997,"Ltbp2",2.04887384526642,5.8691520621346e-07,"Up",1.35747658374529,0.000170674437859577,"Up","Up","persistent_direction_consistent","Ltbp2"
"G10090_10516",66277,"Klf15",-1.95861752422182,9.38052284058763e-10,"Down",-1.04799390949444,0.000392595511483838,"Down","Down","persistent_direction_consistent","Klf15"
"G10090_10590",70385,"Spdl1",2.39593353197331,5.94603046030693e-09,"Up",1.01931145547597,0.026749186198834,"Up","Up","persistent_direction_consistent","Spdl1"
"G10090_10600",17357,"Marcksl1",2.5276422811049,8.06808549420564e-11,"Up",1.25012736780421,2.19167488006794e-05,"Up","Up","persistent_direction_consistent","Marcksl1"
"G10090_10616",140709,"Col26a1",2.1099139432257,8.11199007483718e-06,"Up",1.29879910284156,0.00426274634172697,"Up","Up","persistent_direction_consistent","Col26a1"
"G10090_10658",100302688,"Gm17455",1.47210584981678,5.21247161094305e-06,"Up",2.49879494333892,3.7597835878813e-05,"Up","Up","persistent_direction_consistent","Gm17455"
"G10090_1066",380709,"Spata22",-1.04119338140987,0.0210390721640198,"Down",-1.26890922655152,0.00153782327368167,"Down","Down","persistent_direction_consistent","Spata22"
"G10090_10664",52665,"Echdc1",-1.5266313278209,1.26615356142931e-06,"Down",-1.39619921497096,3.37166380423102e-06,"Down","Down","persistent_direction_consistent","Echdc1"
"G10090_10676",58243,"Nap1l5",-2.09709347795051,9.58403700198397e-08,"Down",-1.36249777812599,0.000128499415663206,"Down","Down","persistent_direction_consistent","Nap1l5"
"G10090_10696",17992,"Ndufa4",-1.34299249126697,6.28319385100493e-07,"Down",-1.02613886612578,8.23833102921133e-05,"Down","Down","persistent_direction_consistent","Ndufa4"
"G10090_10724",381199,"Tmem151a",1.5421766065483,0.000198645666309403,"Up",2.61369458497657,0.000233334005681687,"Up","Up","persistent_direction_consistent","Tmem151a"
"G10090_10758",233651,"Dchs1",1.34078785898806,1.7963949508877e-07,"Up",1.43416137223212,1.54017955733362e-05,"Up","Up","persistent_direction_consistent","Dchs1"
"G10090_10774",108797,"Mex3b",2.38466158681783,7.32538033488519e-10,"Up",2.21153141078076,3.13436890041195e-06,"Up","Up","persistent_direction_consistent","Mex3b"
"G10090_10777",26432,"Plod2",2.53597701197265,5.33945018856134e-08,"Up",2.08408308555239,1.45718653954868e-05,"Up","Up","persistent_direction_consistent","Plod2"
"G10090_1078",626359,"Wdr93",-1.50357386887249,0.000173568843647014,"Down",-1.36038306095782,0.000372418634015048,"Down","Down","persistent_direction_consistent","Wdr93"
"G10090_10787",68655,"Fndc1",2.1724415228168,2.28979650768841e-07,"Up",1.55409412425604,7.66111505534496e-06,"Up","Up","persistent_direction_consistent","Fndc1"
"G10090_10804",26968,"Islr",1.45960068654273,3.81448829789216e-07,"Up",1.59459650436031,9.12435771370919e-06,"Up","Up","persistent_direction_consistent","Islr"
"G10090_10812",212539,"Gm266",1.47051879219358,4.01686895804901e-07,"Up",1.19613024322286,0.00341396034559764,"Up","Up","persistent_direction_consistent","Gm266"
