"Entrez ID","Gene symbol","Gene name","Cancer Cell","Type of senescence","Senescence Effect","Reference","CellAge_symbol"
22848,"AAK1","AP2 associated kinase 1","No","Unclear","Induces",26583757,"AAK1"
5243,"ABCB1","ATP binding cassette subfamily B member 1","Yes","Stress-induced","Induces",10825123,"ABCB1"
368,"ABCC6","ATP binding cassette subfamily C member 6","Yes","Unclear","Inhibits",28536638,"ABCC6"
51225,"ABI3","ABI family member 3","Yes","Oncogene-induced","Induces",21223585,"ABI3"
25890,"ABI3BP","ABI family member 3 binding protein","Yes","Unclear","Induces",18559958,"ABI3BP"
340485,"ACER2","alkaline ceramidase 2","Yes","Replicative","Inhibits",29229990,"ACER2"
2532,"ACKR1","atypical chemokine receptor 1 (Duffy blood group)","No","Stress-induced","Induces",17955335,"ACKR1"
47,"ACLY","ATP citrate lyase","No","Unclear","Inhibits",25367309,"ACLY"
203054,"ADCK5","aarF domain containing kinase 5","No","Unclear","Induces",26583757,"ADCK5"
27161,"AGO2","argonaute RISC catalytic component 2","No","Oncogene-induced","Inhibits",25175024,"AGO2"
10551,"AGR2","anterior gradient 2, protein disulphide isomerase family member","Yes","Oncogene-induced","Inhibits",22467239,"AGR2"
183,"AGT","angiotensinogen","No","Stress-induced","Induces",16908765,"AGT"
196,"AHR","aryl hydrocarbon receptor","No","Stress-induced","Induces",15111621,"AHR"
8852,"AKAP4","A-kinase anchoring protein 4","Yes","Unclear","Inhibits",26590805,"AKAP4"
231,"AKR1B1","aldo-keto reductase family 1 member B","Yes","Stress-induced","Inhibits",21182935,"AKR1B1"
207,"AKT1","AKT serine/threonine kinase 1","No","Oncogene-induced","Induces",17045205,"AKT1"
84335,"AKT1S1","AKT1 substrate 1","Yes","Oncogene-induced","Inhibits",24704832,"AKT1S1"
10000,"AKT3","AKT serine/threonine kinase 3","Yes","Stress-induced","Inhibits",26972278,"AKT3"
64400,"AKTIP","AKT interacting protein","No","Replicative","Inhibits",27512140,"AKTIP"
217,"ALDH2","aldehyde dehydrogenase 2 family member","No","Stress-induced","Inhibits",30538807,"ALDH2"
226,"ALDOA","aldolase, fructose-bisphosphate A","Yes","Oncogene-induced","Inhibits",28806777,"ALDOA"
221120,"ALKBH3","alkB homolog 3, alpha-ketoglutarate dependent dioxygenase","Yes","Unclear","Inhibits",21285982,"ALKBH3"
247,"ALOX15B","arachidonate 15-lipoxygenase type B","No","Unclear","Induces",17164141,"ALOX15B"
64682,"ANAPC1","anaphase promoting complex subunit 1","No","Unclear","Inhibits",25255445,"ANAPC1"
54443,"ANLN","anillin actin binding protein","Yes","Unclear","Inhibits",27863473,"ANLN"
308,"ANXA5","annexin A5","No","Replicative","Inhibits",22728018,"ANXA5"
328,"APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1","No","Replicative","Inhibits",29750271,"APEX1"
367,"AR","androgen receptor","No","Unclear","Induces",24244503,"AR"
375,"ARF1","ADP ribosylation factor 1","No","Oncogene-induced","Induces",29420297,"ARF1"
384,"ARG2","arginase 2","No","Unclear","Induces",23832324,"ARG2"
8289,"ARID1A","AT-rich interaction domain 1A","No","Oncogene-induced","Induces",28942143,"ARID1A"
57492,"ARID1B","AT-rich interaction domain 1B","No","Oncogene-induced","Induces",27737960,"ARID1B"
1820,"ARID3A","AT-rich interaction domain 3A","No","Oncogene-induced","Inhibits",11812999,"ARID3A"
51742,"ARID4B","AT-rich interaction domain 4B","Yes","Oncogene-induced","Induces",16479010,"ARID4B"
10095,"ARPC1B","actin related protein 2/3 complex subunit 1B","Yes","Unclear","Induces",21628992,"ARPC1B"
408,"ARRB1","arrestin beta 1","Yes","Unclear","Induces",31204931,"ARRB1"
427,"ASAH1","N-acylsphingosine amidohydrolase 1","Yes","Unclear","Inhibits",28785021,"ASAH1"
25842,"ASF1A","anti-silencing function 1A histone chaperone","No","Replicative","Induces",15621527,"ASF1A"
444,"ASPH","aspartate beta-hydroxylase","Yes","Unclear","Inhibits",26683595,"ASPH"
55252,"ASXL2","ASXL transcriptional regulator 2","No","Unclear","Induces",26416890,"ASXL2"
467,"ATF3","activating transcription factor 3","Yes","Stress-induced","Inhibits",25046976,"ATF3"
22926,"ATF6","activating transcription factor 6","No","Replicative","Induces",28803844,"ATF6"
55729,"ATF7IP","activating transcription factor 7 interacting protein","No","Stress-induced","Inhibits",23935871,"ATF7IP"
83734,"ATG10","autophagy related 10","Yes","Unclear","Induces",23451179,"ATG10"
9140,"ATG12","autophagy related 12","No","Unclear","Inhibits",21858089,"ATG12"
55054,"ATG16L1","autophagy related 16 like 1","Yes","Unclear","Unclear",22684298,"ATG16L1"
84971,"ATG4D","autophagy related 4D cysteine peptidase","No","Unclear","Inhibits",30352807,"ATG4D"
9474,"ATG5","autophagy related 5","No","Oncogene-induced","Inhibits",19279323,"ATG5"
10533,"ATG7","autophagy related 7","No","Oncogene-induced","Inhibits",19279323,"ATG7"
472,"ATM","ATM serine/threonine kinase","No","Replicative","Inhibits",9312059,"ATM"
23545,"ATP6V0A2","ATPase H+ transporting V0 subunit a2","No","Unclear","Inhibits",26611489,"ATP6V0A2"
527,"ATP6V0C","ATPase H+ transporting V0 subunit c","No","Unclear","Inhibits",30352807,"ATP6V0C"
545,"ATR","ATR serine/threonine kinase","Yes","Oncogene-induced","Induces",18245444,"ATR"
51374,"ATRAID","all-trans retinoic acid induced differentiation factor","Yes","Unclear","Induces",26934949,"ATRAID"
546,"ATRX","ATRX chromatin remodeler","Yes","Oncogene-induced","Induces",28855512,"ATRX"
25814,"ATXN10","ataxin 10","No","Unclear","Induces",21740549,"ATXN10"
6790,"AURKA","aurora kinase A","Yes","Unclear","Inhibits",23324396,"AURKA"
9212,"AURKB","aurora kinase B","No","Unclear","Inhibits",22024481,"AURKB"
558,"AXL","AXL receptor tyrosine kinase","No","Unclear","Induces",26583757,"AXL"
9531,"BAG3","BAG cochaperone 3","Yes","Unclear","Inhibits",25412315,"BAG3"
8314,"BAP1","BRCA1 associated protein 1","No","Unclear","Induces",26416890,"BAP1"
11177,"BAZ1A","bromodomain adjacent to zinc finger domain 1A","Yes","Unclear","Inhibits",31085244,"BAZ1A"
64919,"BCL11B","BAF chromatin remodeling complex subunit BCL11B","Yes","Unclear","Inhibits",26096706,"BCL11B"
596,"BCL2","BCL2 apoptosis regulator","No","Oncogene-induced","Induces",12670482,"BCL2"
598,"BCL2L1","BCL2 like 1","Yes","Oncogene-induced","Inhibits",28948203,"BCL2L1"
599,"BCL2L2","BCL2 like 2","Yes","Oncogene-induced","Induces",30318121,"BCL2L2"
602,"BCL3","BCL3 transcription coactivator","No","Unclear","Inhibits",25255445,"BCL3"
604,"BCL6","BCL6 transcription repressor","No","Replicative","Inhibits",11914273,"BCL6"
9774,"BCLAF1","BCL2 associated transcription factor 1","Yes","Stress-induced","Induces",26794446,"BCLAF1"
8678,"BECN1","beclin 1","Yes","Unclear","Inhibits",29991800,"BECN1"
8553,"BHLHE40","basic helix-loop-helix family member e40","Yes","Replicative","Induces",18025081,"BHLHE40"
274,"BIN1","bridging integrator 1","No","Oncogene-induced","Induces",18267069,"BIN1"
332,"BIRC5","baculoviral IAP repeat containing 5","Yes","Oncogene-induced","Inhibits",27531889,"BIRC5"
640,"BLK","BLK proto-oncogene, Src family tyrosine kinase","No","Unclear","Induces",26583757,"BLK"
644,"BLVRA","biliverdin reductase A","No","Stress-induced","Inhibits",21099244,"BLVRA"
648,"BMI1","BMI1 proto-oncogene, polycomb ring finger","No","Replicative","Inhibits",12482990,"BMI1"
652,"BMP4","bone morphogenetic protein 4","Yes","Replicative","Induces",19269967,"BMP4"
659,"BMPR2","bone morphogenetic protein receptor type 2","Yes","Replicative","Induces",27696331,"BMPR2"
9790,"BMS1","BMS1 ribosome biogenesis factor","Yes","Replicative","Inhibits",25732822,"BMS1"
665,"BNIP3L","BCL2 interacting protein 3 like","No","Oncogene-induced","Induces",18267069,"BNIP3L"
673,"BRAF","B-Raf proto-oncogene, serine/threonine kinase","No","Oncogene-induced","Induces",16079850,"BRAF"
672,"BRCA1","BRCA1 DNA repair associated","Yes","Stress-induced","Inhibits",19372557,"BRCA1"
23476,"BRD4","bromodomain containing 4","Yes","Unclear","Inhibits",29434197,"BRD4"
29117,"BRD7","bromodomain containing 7","No","Replicative","Induces",20660729,"BRD7"
83990,"BRIP1","BRCA1 interacting helicase 1","No","Oncogene-induced","Inhibits",22137763,"BRIP1"
694,"BTG1","BTG anti-proliferation factor 1","Yes","Unclear","Induces",27447746,"BTG1"
7832,"BTG2","BTG anti-proliferation factor 2","No","Replicative","Induces",20569234,"BTG2"
10950,"BTG3","BTG anti-proliferation factor 3","No","Oncogene-induced","Inhibits",22020331,"BTG3"
699,"BUB1","BUB1 mitotic checkpoint serine/threonine kinase","No","Oncogene-induced","Inhibits",17488820,"BUB1"
701,"BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B","Yes","Oncogene-induced","Inhibits",28806777,"BUB1B"
811,"CALR","calreticulin","No","Unclear","Inhibits",25378661,"CALR"
826,"CAPNS1","calpain small subunit 1","Yes","Oncogene-induced","Induces",20107320,"CAPNS1"
79800,"CARF","calcium responsive transcription factor","No","Replicative","Induces",19001376,"CARF"
10498,"CARM1","coactivator associated arginine methyltransferase 1","No","Replicative","Inhibits",23837869,"CARM1"
835,"CASP2","caspase 2","No","Oncogene-induced","Induces",25114039,"CASP2"
857,"CAV1","caveolin 1","No","Unclear","Induces",15263006,"CAV1"
284119,"CAVIN1","caveolae associated protein 1","No","Unclear","Induces",21445100,"CAVIN1"
875,"CBS","cystathionine beta-synthase","No","Replicative","Inhibits",23117410,"CBS"
23468,"CBX5","chromobox 5","No","Unclear","Inhibits",26160351,"CBX5"
23492,"CBX7","chromobox 7","No","Replicative","Inhibits",14647293,"CBX7"
57332,"CBX8","chromobox 8","No","Unclear","Inhibits",17332741,"CBX8"
6347,"CCL2","C-C motif chemokine ligand 2","No","Unclear","Induces",26573462,"CCL2"
1490,"CCN2","cellular communication network factor 2","Yes","Oncogene-induced","Induces",22684333,"CCN2"
8838,"CCN6","cellular communication network factor 6","No","Unclear","Induces",26611489,"CCN6"
890,"CCNA2","cyclin A2","Yes","Oncogene-induced","Inhibits",28806777,"CCNA2"
891,"CCNB1","cyclin B1","Yes","Unclear","Inhibits",30069972,"CCNB1"
595,"CCND1","cyclin D1","No","Unclear","Induces",7698220,"CCND1"
896,"CCND3","cyclin D3","Yes","Unclear","Inhibits",20113529,"CCND3"
940,"CD28","CD28 molecule","No","Replicative","Inhibits",24231352,"CD28"
947,"CD34","CD34 molecule","No","Unclear","Induces",25879198,"CD34"
959,"CD40LG","CD40 ligand","Yes","Unclear","Unclear",30078020,"CD40LG"
3732,"CD82","CD82 molecule","Yes","Unclear","Induces",23873025,"CD82"
993,"CDC25A","cell division cycle 25A","No","Unclear","Inhibits",32264951,"CDC25A"
8318,"CDC45","cell division cycle 45","Yes","Oncogene-induced","Inhibits",28806777,"CDC45"
990,"CDC6","cell division cycle 6","Yes","Stress-induced","Induces",30158672,"CDC6"
8317,"CDC7","cell division cycle 7","Yes","Oncogene-induced","Inhibits",28806777,"CDC7"
157313,"CDCA2","cell division cycle associated 2","No","Stress-induced","Inhibits",24905922,"CDCA2"
55038,"CDCA4","cell division cycle associated 4","No","Unclear","Inhibits",32264951,"CDCA4"
999,"CDH1","cadherin 1","No","Oncogene-induced","Inhibits",19477924,"CDH1"
983,"CDK1","cyclin dependent kinase 1","Yes","Unclear","Inhibits",23324396,"CDK1"
5129,"CDK18","cyclin dependent kinase 18","No","Unclear","Induces",26583757,"CDK18"
1017,"CDK2","cyclin dependent kinase 2","No","Replicative","Inhibits",25149358,"CDK2"
8099,"CDK2AP1","cyclin dependent kinase 2 associated protein 1","No","Unclear","Inhibits",25785833,"CDK2AP1"
1019,"CDK4","cyclin dependent kinase 4","No","Replicative","Inhibits",12082615,"CDK4"
1020,"CDK5","cyclin dependent kinase 5","Yes","Unclear","Induces",15024070,"CDK5"
8851,"CDK5R1","cyclin dependent kinase 5 regulatory subunit 1","Yes","Oncogene-induced","Induces",20181942,"CDK5R1"
1021,"CDK6","cyclin dependent kinase 6","No","Replicative","Inhibits",12082615,"CDK6"
1026,"CDKN1A","cyclin dependent kinase inhibitor 1A","No","Replicative","Induces",9242615,"CDKN1A"
1027,"CDKN1B","cyclin dependent kinase inhibitor 1B","No","Unclear","Induces",9512419,"CDKN1B"
1028,"CDKN1C","cyclin dependent kinase inhibitor 1C","Yes","Unclear","Induces",22705236,"CDKN1C"
1029,"CDKN2A","cyclin dependent kinase inhibitor 2A","No","Replicative","Induces",9607312,"CDKN2A"
55602,"CDKN2AIP","CDKN2A interacting protein","No","Replicative","Induces",19001376,"CDKN2AIP"
1030,"CDKN2B","cyclin dependent kinase inhibitor 2B","Yes","Replicative","Induces",10939591,"CDKN2B"
634,"CEACAM1","CEA cell adhesion molecule 1","No","Stress-induced","Induces",23552604,"CEACAM1"
1051,"CEBPB","CCAAT enhancer binding protein beta","Yes","Stress-induced","Induces",25772238,"CEBPB"
1054,"CEBPG","CCAAT enhancer binding protein gamma","Yes","Oncogene-induced","Inhibits",23775115,"CEBPG"
1058,"CENPA","centromere protein A","No","Unclear","Inhibits",20160010,"CENPA"
8208,"CHAF1B","chromatin assembly factor 1 subunit B","Yes","Oncogene-induced","Inhibits",28806777,"CHAF1B"
26038,"CHD5","chromodomain helicase DNA binding protein 5","No","Replicative","Induces",23168260,"CHD5"
1111,"CHEK1","checkpoint kinase 1","Yes","Stress-induced","Induces",20716119,"CHEK1"
11200,"CHEK2","checkpoint kinase 2","Yes","Unclear","Induces",16024600,"CHEK2"
1147,"CHUK","component of inhibitor of nuclear factor kappa B kinase complex","Yes","Stress-induced","Induces",22740410,"CHUK"
57650,"CIP2A","cellular inhibitor of PP2A","Yes","Unclear","Inhibits",18559589,"CIP2A"
11113,"CIT","citron rho-interacting serine/threonine kinase","Yes","Oncogene-induced","Inhibits",28806777,"CIT"
26586,"CKAP2","cytoskeleton associated protein 2","No","Unclear","Inhibits",32264951,"CKAP2"
1152,"CKB","creatine kinase B","No","Unclear","Induces",26583757,"CKB"
9635,"CLCA2","chloride channel accessory 2","No","Stress-induced","Induces",22431922,"CLCA2"
8192,"CLPP","caseinolytic mitochondrial matrix peptidase proteolytic subunit","Yes","Stress-induced","Inhibits",30878663,"CLPP"
63967,"CLSPN","claspin","Yes","Oncogene-induced","Inhibits",30796221,"CLSPN"
1191,"CLU","clusterin","Yes","Stress-induced","Inhibits",31376806,"CLU"
57472,"CNOT6","CCR4-NOT transcription complex subunit 6","No","Unclear","Inhibits",26792405,"CNOT6"
246175,"CNOT6L","CCR4-NOT transcription complex subunit 6 like","Yes","Unclear","Inhibits",21233283,"CNOT6L"
1329,"COX5B","cytochrome c oxidase subunit 5B","Yes","Unclear","Inhibits",26506233,"COX5B"
64506,"CPEB1","cytoplasmic polyadenylation element binding protein 1","No","Replicative","Induces",19141477,"CPEB1"
126129,"CPT1C","carnitine palmitoyltransferase 1C","Yes","Unclear","Inhibits",30070697,"CPT1C"
