"metric","value"
"CellAge_clean_input_file","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step11A_CellAge_raw_to_clean/step11A_CellAge_clean_271903.csv"
"current_mapping_input_file","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step11B_current_gorth_strict_1to1_remap/step11B_current_mouse_human_ortholog_mapping_strict_1to1.csv"
"CellAge_clean_unique_symbols","866"
"current_strict_1to1_mapping_rows","1307"
"current_mapping_unique_mouse_inputs","1307"
"current_mapping_unique_human_orthologs","1307"
"recomputed_persistent_CellAge_overlap_genes","78"
"main_overlap_output","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step11C_intersect_current_gorth_mapping_with_CellAge_clean/step11C_persistent_CellAge_overlap_genes.csv"
"compact_overlap_output","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step11C_intersect_current_gorth_mapping_with_CellAge_clean/step11C_persistent_CellAge_overlap_genes_compact.csv"
"method_note","recomputed by intersecting Step11B current remapped strict 1:1 human ortholog symbols with Step11A cleaned CellAge symbols; no hard-coded expected overlap count was used"
