"human_symbol","CellAge_effect"
"AAK1","Induces"
"ABCB1","Induces"
"ABCC6","Inhibits"
"ABI3","Induces"
"ABI3BP","Induces"
"ACER2","Inhibits"
"ACKR1","Induces"
"ACLY","Inhibits"
"ADCK5","Induces"
"AGO2","Inhibits"
"AGR2","Inhibits"
"AGT","Induces"
"AHR","Induces"
"AKAP4","Inhibits"
"AKR1B1","Inhibits"
"AKT1","Induces"
"AKT1S1","Inhibits"
"AKT3","Inhibits"
"AKTIP","Inhibits"
"ALDH2","Inhibits"
"ALDOA","Inhibits"
"ALKBH3","Inhibits"
"ALOX15B","Induces"
"ANAPC1","Inhibits"
"ANLN","Inhibits"
"ANXA5","Inhibits"
"APEX1","Inhibits"
"AR","Induces"
"ARF1","Induces"
"ARG2","Induces"
"ARID1A","Induces"
"ARID1B","Induces"
"ARID3A","Inhibits"
"ARID4B","Induces"
"ARPC1B","Induces"
"ARRB1","Induces"
"ASAH1","Inhibits"
"ASF1A","Induces"
"ASPH","Inhibits"
"ASXL2","Induces"
"ATF3","Inhibits"
"ATF6","Induces"
"ATF7IP","Inhibits"
"ATG10","Induces"
"ATG12","Inhibits"
"ATG16L1","Unclear"
"ATG4D","Inhibits"
"ATG5","Inhibits"
"ATG7","Inhibits"
"ATM","Inhibits"
"ATP6V0A2","Inhibits"
"ATP6V0C","Inhibits"
"ATR","Induces"
"ATRAID","Induces"
"ATRX","Induces"
"ATXN10","Induces"
"AURKA","Inhibits"
"AURKB","Inhibits"
"AXL","Induces"
"BAG3","Inhibits"
"BAP1","Induces"
"BAZ1A","Inhibits"
"BCL11B","Inhibits"
"BCL2","Induces"
"BCL2L1","Inhibits"
"BCL2L2","Induces"
"BCL3","Inhibits"
"BCL6","Inhibits"
"BCLAF1","Induces"
"BECN1","Inhibits"
"BHLHE40","Induces"
"BIN1","Induces"
"BIRC5","Inhibits"
"BLK","Induces"
"BLVRA","Inhibits"
"BMI1","Inhibits"
"BMP4","Induces"
"BMPR2","Induces"
"BMS1","Inhibits"
"BNIP3L","Induces"
"BRAF","Induces"
"BRCA1","Inhibits"
"BRD4","Inhibits"
"BRD7","Induces"
"BRIP1","Inhibits"
"BTG1","Induces"
"BTG2","Induces"
"BTG3","Inhibits"
"BUB1","Inhibits"
"BUB1B","Inhibits"
"CALR","Inhibits"
"CAPNS1","Induces"
"CARF","Induces"
