"Entrez ID","Gene symbol","Gene name","Cancer Cell","Type of senescence","Senescence Effect","Reference","CellAge_human_symbol","CellAge_effect"
22848,"AAK1","AP2 associated kinase 1","No","Unclear","Induces",26583757,"AAK1","Induces"
5243,"ABCB1","ATP binding cassette subfamily B member 1","Yes","Stress-induced","Induces",10825123,"ABCB1","Induces"
368,"ABCC6","ATP binding cassette subfamily C member 6","Yes","Unclear","Inhibits",28536638,"ABCC6","Inhibits"
51225,"ABI3","ABI family member 3","Yes","Oncogene-induced","Induces",21223585,"ABI3","Induces"
25890,"ABI3BP","ABI family member 3 binding protein","Yes","Unclear","Induces",18559958,"ABI3BP","Induces"
340485,"ACER2","alkaline ceramidase 2","Yes","Replicative","Inhibits",29229990,"ACER2","Inhibits"
340485,"ACER2","alkaline ceramidase 2","Yes","Stress-induced","Inhibits",29229990,"ACER2","Inhibits"
2532,"ACKR1","atypical chemokine receptor 1 (Duffy blood group)","No","Stress-induced","Induces",17955335,"ACKR1","Induces"
47,"ACLY","ATP citrate lyase","No","Unclear","Inhibits",25367309,"ACLY","Inhibits"
203054,"ADCK5","aarF domain containing kinase 5","No","Unclear","Induces",26583757,"ADCK5","Induces"
27161,"AGO2","argonaute RISC catalytic component 2","No","Oncogene-induced","Inhibits",25175024,"AGO2","Inhibits"
10551,"AGR2","anterior gradient 2, protein disulphide isomerase family member","Yes","Oncogene-induced","Inhibits",22467239,"AGR2","Inhibits"
183,"AGT","angiotensinogen","No","Stress-induced","Induces",16908765,"AGT","Induces"
196,"AHR","aryl hydrocarbon receptor","No","Stress-induced","Induces",15111621,"AHR","Induces"
8852,"AKAP4","A-kinase anchoring protein 4","Yes","Unclear","Inhibits",26590805,"AKAP4","Inhibits"
231,"AKR1B1","aldo-keto reductase family 1 member B","Yes","Stress-induced","Inhibits",21182935,"AKR1B1","Inhibits"
207,"AKT1","AKT serine/threonine kinase 1","No","Oncogene-induced","Induces",17045205,"AKT1","Induces"
84335,"AKT1S1","AKT1 substrate 1","Yes","Oncogene-induced","Inhibits",24704832,"AKT1S1","Inhibits"
10000,"AKT3","AKT serine/threonine kinase 3","Yes","Stress-induced","Inhibits",26972278,"AKT3","Inhibits"
64400,"AKTIP","AKT interacting protein","No","Replicative","Inhibits",27512140,"AKTIP","Inhibits"
217,"ALDH2","aldehyde dehydrogenase 2 family member","No","Stress-induced","Inhibits",30538807,"ALDH2","Inhibits"
226,"ALDOA","aldolase, fructose-bisphosphate A","Yes","Oncogene-induced","Inhibits",28806777,"ALDOA","Inhibits"
221120,"ALKBH3","alkB homolog 3, alpha-ketoglutarate dependent dioxygenase","Yes","Unclear","Inhibits",21285982,"ALKBH3","Inhibits"
247,"ALOX15B","arachidonate 15-lipoxygenase type B","No","Unclear","Induces",17164141,"ALOX15B","Induces"
64682,"ANAPC1","anaphase promoting complex subunit 1","No","Unclear","Inhibits",25255445,"ANAPC1","Inhibits"
54443,"ANLN","anillin actin binding protein","Yes","Unclear","Inhibits",27863473,"ANLN","Inhibits"
308,"ANXA5","annexin A5","No","Replicative","Inhibits",22728018,"ANXA5","Inhibits"
308,"ANXA5","annexin A5","No","Stress-induced","Inhibits",22728018,"ANXA5","Inhibits"
328,"APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1","No","Replicative","Inhibits",29750271,"APEX1","Inhibits"
367,"AR","androgen receptor","No","Unclear","Induces",24244503,"AR","Induces"
375,"ARF1","ADP ribosylation factor 1","No","Oncogene-induced","Induces",29420297,"ARF1","Induces"
384,"ARG2","arginase 2","No","Unclear","Induces",23832324,"ARG2","Induces"
384,"ARG2","arginase 2","No","Unclear","Induces",22928666,"ARG2","Induces"
8289,"ARID1A","AT-rich interaction domain 1A","No","Oncogene-induced","Induces",28942143,"ARID1A","Induces"
57492,"ARID1B","AT-rich interaction domain 1B","No","Oncogene-induced","Induces",27737960,"ARID1B","Induces"
1820,"ARID3A","AT-rich interaction domain 3A","No","Oncogene-induced","Inhibits",11812999,"ARID3A","Inhibits"
51742,"ARID4B","AT-rich interaction domain 4B","Yes","Oncogene-induced","Induces",16479010,"ARID4B","Induces"
10095,"ARPC1B","actin related protein 2/3 complex subunit 1B","Yes","Unclear","Induces",21628992,"ARPC1B","Induces"
408,"ARRB1","arrestin beta 1","Yes","Unclear","Induces",31204931,"ARRB1","Induces"
427,"ASAH1","N-acylsphingosine amidohydrolase 1","Yes","Unclear","Inhibits",28785021,"ASAH1","Inhibits"
