"gene_id","mouse_symbol","source"
"G10090_19936","Cthrc1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_15091","Eln","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_32870","Cpxm1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_8611","Mfap2","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_30168","Retsat","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_1992","C1qtnf6","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_10033","Mest","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_14414","Ptn","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_15210","Mmp14","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_4403","Cd276","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_18972","Uox","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_30523","Fscn1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_16680","Runx1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_5191","Cdkn1c","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_19641","Cxcl16","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_16969","Ppic","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_31148","Cx3cr1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_14602","Sox4","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_23688","Capn6","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_7826","Pycr1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_33670","Basp1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_19925","P4ha3","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_400","Ms4a7","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_999","Acss2","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_9495","Sh3pxd2b","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_5834","Cdh11","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_23994","Cmbl","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_33626","Mccc2","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_17957","Fuca2","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_11470","C1qtnf3","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_22128","Sfrp1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_3674","Tlr1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_1799","Evl","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_28430","Nt5dc2","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_10108","Hadh","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_12799","Ttyh3","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_31609","Rtl3","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_23208","Timp1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_30550","Echs1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_922","Prodh","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_8657","Lrrc17","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_3741","Mmp23","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_8783","Pdia5","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_18820","Ms4a14","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_6445","Fcrl2","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_8619","Lgmn","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_2861","1600014C10Rik","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_19126","Ccn5","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_12417","Csrp2","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_17143","B4galt2","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_14112","Coq6","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_2628","Etfa","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_10600","Marcksl1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
