"metric","value"
"DE_file_1W","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/03_DE_analysis/step05_DE_1W_ACLR_vs_Contra_limma_voom.csv"
"DE_file_4W","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/03_DE_analysis/step05_DE_4W_ACLR_vs_Contra_limma_voom.csv"
"rank_method","sign(logFC) * -log10(P.Value_for_rank)"
"rank_direction","logFC > 0 indicates ACLR > Contra"
"p_value_handling","P.Value <= 0 or non-finite P.Value replaced with .Machine$double.xmin before rank calculation"
"n_ranked_genes_1W","14264"
"n_ranked_genes_4W","14264"
"n_p_values_replaced_1W","0"
"n_p_values_replaced_4W","0"
"Hallmark_species","Mus musculus"
"Hallmark_collection","MSigDB Hallmark collection H"
"Hallmark_pathways_tested","50"
"fgsea_minSize","10"
"fgsea_maxSize","500"
"fgsea_eps","0"
"fgsea_nproc","1"
"fgsea_seed_1W","12345"
"fgsea_seed_4W","12346"
"target_pathways_plotted","HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"
"multiple_testing_scope","adjusted P values from full Hallmark collection, not only the two target pathways"
