"title","mouse_id","treatment","time_point","Sex","score_type","score","id","score_label"
"M130L","M130","Contra","1W","M","CellAge_all",-0.141003553176581,1,"CellAge all"
"M130R","M130","ACLR","1W","M","CellAge_all",0.0782890296607026,2,"CellAge all"
"M135L","M135","Contra","1W","M","CellAge_all",-0.25828183579751,3,"CellAge all"
"M135R","M135","ACLR","1W","M","CellAge_all",0.0401701301774683,4,"CellAge all"
"M142L","M142","Contra","1W","F","CellAge_all",0.162522156073601,5,"CellAge all"
"M142R","M142","ACLR","1W","F","CellAge_all",0.0975651474857558,6,"CellAge all"
"M143L","M143","Contra","1W","F","CellAge_all",-0.036001520382586,7,"CellAge all"
"M143R","M143","ACLR","1W","F","CellAge_all",0.129679151765507,8,"CellAge all"
"M147L","M147","Contra","1W","M","CellAge_all",-0.133948951202537,9,"CellAge all"
"M147R","M147","ACLR","1W","M","CellAge_all",0.112282514289462,10,"CellAge all"
"M153L","M153","Contra","1W","M","CellAge_all",0.0371466972329906,11,"CellAge all"
"M153R","M153","ACLR","1W","M","CellAge_all",0.140442302757244,12,"CellAge all"
"M158L","M158","Contra","1W","F","CellAge_all",-0.212022802939553,13,"CellAge all"
"M158R","M158","ACLR","1W","F","CellAge_all",0.296306405501716,14,"CellAge all"
"M160L","M160","Contra","1W","F","CellAge_all",-0.182800438161075,15,"CellAge all"
"M160R","M160","ACLR","1W","F","CellAge_all",0.192063006053999,16,"CellAge all"
"M163L","M163","Contra","1W","M","CellAge_all",-0.134141760497996,17,"CellAge all"
"M163R","M163","ACLR","1W","M","CellAge_all",0.0764086512209978,18,"CellAge all"
"M167L","M167","Contra","1W","M","CellAge_all",-0.119054042916334,19,"CellAge all"
"M167R","M167","ACLR","1W","M","CellAge_all",0.0593104754184994,20,"CellAge all"
"M174L","M174","Contra","1W","F","CellAge_all",-0.0903376547465638,21,"CellAge all"
"M174R","M174","ACLR","1W","F","CellAge_all",0.17892278653861,22,"CellAge all"
"M178L","M178","Contra","1W","F","CellAge_all",-0.22348311147106,23,"CellAge all"
"M178R","M178","ACLR","1W","F","CellAge_all",0.123128941379062,24,"CellAge all"
"M131L","M131","Contra","4W","M","CellAge_all",-0.12206226235272,25,"CellAge all"
"M131R","M131","ACLR","4W","M","CellAge_all",0.0908736106819621,26,"CellAge all"
"M137L","M137","Contra","4W","M","CellAge_all",0.00789298736066016,27,"CellAge all"
"M137R","M137","ACLR","4W","M","CellAge_all",0.226840440375518,28,"CellAge all"
"M140L","M140","Contra","4W","F","CellAge_all",-0.117885232325925,29,"CellAge all"
"M140R","M140","ACLR","4W","F","CellAge_all",0.0214265365251924,30,"CellAge all"
"M146L","M146","Contra","4W","F","CellAge_all",-0.0833650747385143,31,"CellAge all"
"M146R","M146","ACLR","4W","F","CellAge_all",-0.00811274577356961,32,"CellAge all"
"M150L","M150","Contra","4W","M","CellAge_all",-0.205198831466868,33,"CellAge all"
"M150R","M150","ACLR","4W","M","CellAge_all",0.0711584527354613,34,"CellAge all"
"M154L","M154","Contra","4W","M","CellAge_all",-0.0385099497093947,35,"CellAge all"
"M154R","M154","ACLR","4W","M","CellAge_all",-0.143530437446456,36,"CellAge all"
"M157L","M157","Contra","4W","F","CellAge_all",0.10071163374548,37,"CellAge all"
"M157R","M157","ACLR","4W","F","CellAge_all",-0.0208098122683638,38,"CellAge all"
"M161L","M161","Contra","4W","F","CellAge_all",0.0105896259450703,39,"CellAge all"
"M161R","M161","ACLR","4W","F","CellAge_all",0.138190088767256,40,"CellAge all"
"M166L","M166","Contra","4W","M","CellAge_all",-0.0913713904175238,41,"CellAge all"
"M166R","M166","ACLR","4W","M","CellAge_all",0.0195949423159089,42,"CellAge all"
"M169L","M169","Contra","4W","M","CellAge_all",-0.261563251573824,43,"CellAge all"
"M169R","M169","ACLR","4W","M","CellAge_all",0.107333738811456,44,"CellAge all"
"M173L","M173","Contra","4W","F","CellAge_all",-0.075410293291462,45,"CellAge all"
"M173R","M173","ACLR","4W","F","CellAge_all",-0.0166364707831823,46,"CellAge all"
"M176L","M176","Contra","4W","F","CellAge_all",0.0893418554892056,47,"CellAge all"
"M176R","M176","ACLR","4W","F","CellAge_all",0.0637378798050911,48,"CellAge all"
"M130L","M130","Contra","1W","M","CellAge_induces",-0.104974254476217,1,"CellAge induces"
"M130R","M130","ACLR","1W","M","CellAge_induces",0.0398664822312498,2,"CellAge induces"
"M135L","M135","Contra","1W","M","CellAge_induces",-0.273870409134714,3,"CellAge induces"
"M135R","M135","ACLR","1W","M","CellAge_induces",0.0328767396422768,4,"CellAge induces"
"M142L","M142","Contra","1W","F","CellAge_induces",0.175723600217152,5,"CellAge induces"
"M142R","M142","ACLR","1W","F","CellAge_induces",0.111856262119196,6,"CellAge induces"
"M143L","M143","Contra","1W","F","CellAge_induces",-0.0103895812857417,7,"CellAge induces"
"M143R","M143","ACLR","1W","F","CellAge_induces",0.0704005075063211,8,"CellAge induces"
"M147L","M147","Contra","1W","M","CellAge_induces",-0.286558384156425,9,"CellAge induces"
"M147R","M147","ACLR","1W","M","CellAge_induces",0.0641875502045652,10,"CellAge induces"
"M153L","M153","Contra","1W","M","CellAge_induces",0.00472851698581836,11,"CellAge induces"
"M153R","M153","ACLR","1W","M","CellAge_induces",0.0926780298502778,12,"CellAge induces"
"M158L","M158","Contra","1W","F","CellAge_induces",-0.322124184980723,13,"CellAge induces"
"M158R","M158","ACLR","1W","F","CellAge_induces",0.116143019424246,14,"CellAge induces"
"M160L","M160","Contra","1W","F","CellAge_induces",-0.232026498485399,15,"CellAge induces"
"M160R","M160","ACLR","1W","F","CellAge_induces",0.0537824520088816,16,"CellAge induces"
"M163L","M163","Contra","1W","M","CellAge_induces",-0.159108701671038,17,"CellAge induces"
"M163R","M163","ACLR","1W","M","CellAge_induces",0.016983571165922,18,"CellAge induces"
"M167L","M167","Contra","1W","M","CellAge_induces",-0.138915159256432,19,"CellAge induces"
"M167R","M167","ACLR","1W","M","CellAge_induces",0.0964219982361372,20,"CellAge induces"
