"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","timepoint"
"HALLMARK_ADIPOGENESIS",1.01109343542205e-48,2.52773358855513e-47,1.82023946954892,-0.697584087644362,-3.60927308773269,198,"Dhrs7b;Sod1;Retsat;Cpt2;Dnajc15;Miga2;Cmbl;Hibch;Ephx2;Acads;Taldo1;Mccc1;Ech1;Hadh;Scp2;Mtarc2;Sqor;Nabp1;Gpx4;Abcb8;Decr1;Etfb;Lpl;Tst;Echs1;Qdpr;Adipor2;Grpel1;Retn;Mgst3;Fabp4;Reep6;Pex14;Coq3;Acox1;Sorbs1;Acadm;Aifm1;Elmod3;Gbe1;Me1;Acadl;Bckdha;Ywhag;Mtch2;Phyh;Orm1;Adig;Jagn1;Pfkfb3;Cavin2;Cidea;Ndufb7;Agpat3;Vegfb;Mrap;Prdx3;Cd36;Uqcrq;Uqcr10;Uqcr11;Samm50;Ndufab1;Dram2;Adipoq;Sult1a1;Gphn;Idh3g;Pim3;Suclg1;Araf;Dbt;Sncg;Ndufa5;Ndufs3;Crat;Arl4a;Coq9;Dgat1;Mrpl15;Coq5;Cyc1;Ghitm;Dld;Cox7b;Lipe;Nkiras1;Slc25a10;Esrra;Slc5a6;Sdhb;Sdhc;Acaa2;Cat;Immt;Pgm1;Slc27a1;Cs;Gpat4;Tob1;Ptcd3;Pparg;Ubqln1;Chchd10;Atl2;Ppm1b;Aldoa;Mgll;Dlat;Mdh2;Bcl2l13;Hspb8;Lep;Ak2;Uqcrc1;Ddt;Tank;Aco2;Preb;Ubc;Pemt;Idh3a","4W"
"HALLMARK_ALLOGRAFT_REJECTION",7.29033750473758e-08,3.31378977488072e-07,0.704975715167238,0.422746787600239,1.9542262324312,166,"Timp1;Ereg;Hif1a;Elf4;Cd80;Ccr5;Egfr;Socs5;Tgfb1;Bcl3;Nlrp3;Cd4;Lyn;Srgn;Tlr2;Capg;Akt1;Flna;Stab1;F2r;Abi1;Lcp2;Ctss;Inhba;Tlr6;Cdkn2a;Ets1;Icam1;Irf8;Cd40;Csk;Il4ra;Thy1;Socs1;Gpr65;Itgb2;Apbb1;Tlr1;Hcls1;Ly86;Spi1;Ccl22;Il16;Ptpn6;Ccnd2;Gcnt1;H2-Ob;H2-M3;Cd47;Bcat1;Ccr1;Ikbkb;Bcl10;Prkcb;H2-DMb1;Was;Il2rg;Ncf4;Il27ra;Ccr2;Il11;Degs1;Cd74;Csf1;Fcgr2b","4W"
"HALLMARK_ANDROGEN_RESPONSE",0.418070444104135,0.444755791600143,0.0745500777420554,0.238067934548275,1.01764883617638,93,"Cdk6;B4galt1;Actn1;Sec24d;Akt1;Abhd2;Arid5b;Pmepa1;Zmiz1;Ube2i;Camkk2;Hmgcr;Gnai3;Elovl5;Sat1;Iqgap2;Pgm3;Uap1;Tmem50a;Itgav","4W"
"HALLMARK_ANGIOGENESIS",0.000564578050814554,0.00108572702079722,0.477270815362862,0.549000530397457,1.95177543849937,34,"Lum;Timp1;Col5a2;Fstl1;Col3a1;Postn;App;Vcan;Spp1;Msx1;Vav2;Olr1;Jag1;Fgfr1;Itgav;Ccnd2","4W"
"HALLMARK_APICAL_JUNCTION",1.04856930053944e-08,5.24284650269718e-08,0.747739663149885,0.440601753046986,2.03663835395364,179,"Mmp2;Cd276;Thbs3;B4galt1;Bmp1;Akt3;Nectin3;Lima1;Actn1;Col16a1;Egfr;Msn;Sdc3;Cdh11;Cnn2;Sirpa;Nfasc;Pkd1;Evl;Arpc2;Mdk;Vcan;Vcam1;Actg1;Nlgn2;Zyx;Src;Cap1;Jam3;Fscn1;Traf1;Myh9;Ctnnd1;Layn;Skap2;Gnai2;Cx3cl1;Fbn1;Shc1;Tspan4;Actb;Itgb1;Ywhah;Rsu1;Cercam;Parva;Icam1;Cadm2;Nectin1;Itga9;Ctnna1;Itga10;Tgfbi;Ldlrap1;Nrxn2;Nectin4;Mpzl1;Thy1;Atp1a3;Actn4;Wasl;Vav2;Nlgn3;Taok2;Adam9;Pcdh1;Actg2;Vcl;Mapk11;Icam5;Nf1;Plcg1;Itgb4;Cd34;Adam15;Baiap2;Tjp1;Tro;Sgce;Syk","4W"
"HALLMARK_APICAL_SURFACE",0.0691927512355848,0.0910430937310327,0.219250346703755,0.384347341939292,1.3764485866209,37,"B4galt1;Adam10;Dcbld2;Gas1;App;Atp8b1;Sulf2;Lyn","4W"
"HALLMARK_APOPTOSIS",1.7099805034134e-05,4.74994584281501e-05,0.575610261071129,0.400547306498381,1.82718775553438,148,"Lum;Mmp2;Timp1;Ereg;Cd44;Cdkn1a;Bgn;Casp2;Pdgfrb;App;Lmna;Nedd9;Bmf;Bcl2l11;Timp2;Slc20a1;Gna15;Emp1;Rara;Anxa1;F2r;Plat;Lgals3;Eno2;Casp3;Rela;Plppr4;Add1;Ppt1;Sptan1;Madd;Erbb2;Dap;Btg3;Hmox1;Bax;Rhob;Sat1;Gpx3;Hgf;Mcl1;Casp6;Cd14;Casp9;Ccnd2;Birc3;Igf2r;Tgfbr3;Dcn;Gch1;Bcl10;Psen1;Avpr1a;Smad7;Fdxr;Dnajc3;Rock1;Pea15a;Cdc25b;Tnf;Ifitm3;Egr3;Ptk2;Casp4;Wee1;Top2a","4W"
"HALLMARK_BILE_ACID_METABOLISM",2.05952518699933e-09,1.28720324187458e-08,0.774939030136436,-0.523850229532297,-2.37961828890881,90,"Sod1;Pex11a;Retsat;Ephx2;Lonp2;Gstk1;Hacl1;Scp2;Pex11g;Nudt12;Abcd2;Pecr;Gnpat;Pex16;Pex13;Acsl1;Pex19;Ar;Phyh;Pxmp2;Rxrg;Cyp27a1;Pex7;Rxra;Aldh1a7;Optn;Pnpla8;Amacr;Lipe;Pex12;Cat;Mlycd;Aqp9;Hsd17b4;Abcd3","4W"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.354430379746835,0.393811533052039,0.0850427463764322,0.258323351463901,1.04807876147583,73,"Cxcl16;Errfi1;Lgmn;Niban1;Pdk3;Actg1;Cd9;Gusb;Lgals3;Srebf2;Chka;Hmgcr;Antxr2;Stx5a;Gpx8;Sqle;Anxa5;Tmem97;Jag1;Fads2","4W"
"HALLMARK_COAGULATION",3.56450903416571e-09,1.98028279675873e-08,0.774939030136436,0.531554250236727,2.27930660625498,96,"Mmp2;Timp1;Mmp14;Ctsk;Htra1;Fn1;Bmp1;Thbs1;Tfpi2;Lgmn;Mmp11;Crip2;Pros1;Prss23;Wdr1;Fyn;Serpine1;Lamp2;Mmp3;Lrp1;Dusp6;Cd9;Furin;Plek;Itgb3;Comp;Anxa1;Plat;Fbn1;Arf4;Sparc;Ctsh;Ctsb;Cfh;Serping1;Gda;Dusp14;Gng12;C1s1;Olr1;Rabif;Adam9;Ang;Capn5;Klf7;Gnb2;Casp9;Cpq","4W"
