"Entrez ID","Gene symbol","Gene name","Cancer Cell","Type of senescence","Senescence Effect","Reference","CellAge_symbol"
340485,"ACER2","alkaline ceramidase 2","Yes","Replicative","Inhibits",29229990,"ACER2"
340485,"ACER2","alkaline ceramidase 2","Yes","Stress-induced","Inhibits",29229990,"ACER2"
308,"ANXA5","annexin A5","No","Replicative","Inhibits",22728018,"ANXA5"
308,"ANXA5","annexin A5","No","Stress-induced","Inhibits",22728018,"ANXA5"
384,"ARG2","arginase 2","No","Unclear","Induces",23832324,"ARG2"
384,"ARG2","arginase 2","No","Unclear","Induces",22928666,"ARG2"
25842,"ASF1A","anti-silencing function 1A histone chaperone","No","Replicative","Induces",15621527,"ASF1A"
25842,"ASF1A","anti-silencing function 1A histone chaperone","No","Oncogene-induced","Induces",15621527,"ASF1A"
22926,"ATF6","activating transcription factor 6","No","Replicative","Induces",28803844,"ATF6"
22926,"ATF6","activating transcription factor 6","No","Stress-induced","Induces",28803844,"ATF6"
22926,"ATF6","activating transcription factor 6","No","Oncogene-induced","Induces",28803844,"ATF6"
22926,"ATF6","activating transcription factor 6","No","Replicative","Induces",30260700,"ATF6"
22926,"ATF6","activating transcription factor 6","No","Stress-induced","Induces",30260700,"ATF6"
22926,"ATF6","activating transcription factor 6","No","Oncogene-induced","Induces",30260700,"ATF6"
546,"ATRX","ATRX chromatin remodeler","Yes","Oncogene-induced","Induces",28855512,"ATRX"
546,"ATRX","ATRX chromatin remodeler","Yes","Stress-induced","Induces",28855512,"ATRX"
8553,"BHLHE40","basic helix-loop-helix family member e40","Yes","Replicative","Induces",18025081,"BHLHE40"
8553,"BHLHE40","basic helix-loop-helix family member e40","Yes","Stress-induced","Induces",18025081,"BHLHE40"
8553,"BHLHE40","basic helix-loop-helix family member e40","Yes","Replicative","Induces",22844531,"BHLHE40"
8553,"BHLHE40","basic helix-loop-helix family member e40","Yes","Stress-induced","Induces",22844531,"BHLHE40"
652,"BMP4","bone morphogenetic protein 4","Yes","Replicative","Induces",19269967,"BMP4"
652,"BMP4","bone morphogenetic protein 4","Yes","Stress-induced","Induces",19269967,"BMP4"
9790,"BMS1","BMS1 ribosome biogenesis factor","Yes","Replicative","Inhibits",25732822,"BMS1"
9790,"BMS1","BMS1 ribosome biogenesis factor","Yes","Oncogene-induced","Inhibits",25732822,"BMS1"
