"timepoint","gene_symbol","logFC","P.Value","FDR","P.Value_raw","P.Value_for_rank","p_value_replaced_for_rank","rank_stat","rank_order"
"4W","Ccn5",3.00445981207751,7.27535527358421e-10,1.04153986096631e-06,7.27535527358421e-10,7.27535527358421e-10,FALSE,9.13814579415101,1
"4W","Enpp1",2.80147066768412,9.803920658171e-10,1.1696077345198e-06,9.803920658171e-10,9.803920658171e-10,FALSE,9.00860021209335,2
"4W","Antxr1",2.11512703150697,1.12522381758244e-09,1.23913109019309e-06,1.12522381758244e-09,1.12522381758244e-09,FALSE,8.94876108370987,3
"4W","Nox4",1.71911543977758,1.57109791001917e-09,1.4994558453223e-06,1.57109791001917e-09,1.57109791001917e-09,FALSE,8.8037967491064,4
"4W","Col22a1",1.71405773057708,2.47959691110832e-09,1.70583664455986e-06,2.47959691110832e-09,2.47959691110832e-09,FALSE,8.60561891333089,5
"4W","Angptl1",2.00743807686246,2.76961172977483e-09,1.70583664455986e-06,2.76961172977483e-09,2.76961172977483e-09,FALSE,8.55758111015409,6
"4W","Tgfbr2",1.26025074047476,2.88898249423819e-09,1.70583664455986e-06,2.88898249423819e-09,2.88898249423819e-09,FALSE,8.53925508975109,7
"4W","Bicc1",1.23538738129696,3.05657086695541e-09,1.70583664455986e-06,3.05657086695541e-09,3.05657086695541e-09,FALSE,8.51476553058878,8
"4W","Fap",2.45646913901673,3.06600032504182e-09,1.70583664455986e-06,3.06600032504182e-09,3.06600032504182e-09,FALSE,8.51342780343994,9
"4W","Prickle2",1.06571810770984,3.2085868169159e-09,1.70583664455986e-06,3.2085868169159e-09,3.2085868169159e-09,FALSE,8.49368620521262,10
"4W","Raph1",0.989265233716904,3.2172107713828e-09,1.70583664455986e-06,3.2172107713828e-09,3.2172107713828e-09,FALSE,8.49252048592738,11
"4W","Ldlrad4",0.968726172037956,3.61773409424509e-09,1.74974397775968e-06,3.61773409424509e-09,3.61773409424509e-09,FALSE,8.44156335722356,12
"4W","Rab31",1.65503224023899,3.64428206340038e-09,1.74974397775968e-06,3.64428206340038e-09,3.64428206340038e-09,FALSE,8.43838801648565,13
"4W","Lum",2.45929683523368,3.71669570581981e-09,1.74974397775968e-06,3.71669570581981e-09,3.71669570581981e-09,FALSE,8.42984299410821,14
"4W","Fbln7",2.53132802332902,3.87446962256963e-09,1.74974397775968e-06,3.87446962256963e-09,3.87446962256963e-09,FALSE,8.41178773980445,15
"4W","Mmp2",2.27612667971476,4.50726695167899e-09,1.79238982445101e-06,4.50726695167899e-09,4.50726695167899e-09,FALSE,8.34608671922927,16
"4W","Ccbe1",1.85346830518765,5.70755172001846e-09,2.01327870171073e-06,5.70755172001846e-09,5.70755172001846e-09,FALSE,8.24355014438142,17
"4W","Fam3c",0.646793992783637,5.72256908442209e-09,2.01327870171073e-06,5.72256908442209e-09,5.72256908442209e-09,FALSE,8.24240895569978,18
"4W","Sulf1",1.57967392085124,5.90660460849351e-09,2.01330837083793e-06,5.90660460849351e-09,5.90660460849351e-09,FALSE,8.22866210009139,19
"4W","Il13ra1",1.82636614908288,6.34432386172429e-09,2.06520365149694e-06,6.34432386172429e-09,6.34432386172429e-09,FALSE,8.19761465548715,20
"4W","Slc23a2",0.635959865620134,6.64686370147897e-09,2.11458890556384e-06,6.64686370147897e-09,6.64686370147897e-09,FALSE,8.17738322664221,21
