"sample_id","mouse_id","sex","timepoint","treatment"
"M131L","M131","M","4W","Contra"
"M131R","M131","M","4W","ACLR"
"M137L","M137","M","4W","Contra"
"M137R","M137","M","4W","ACLR"
"M140L","M140","F","4W","Contra"
"M140R","M140","F","4W","ACLR"
"M146L","M146","F","4W","Contra"
"M146R","M146","F","4W","ACLR"
"M150L","M150","M","4W","Contra"
"M150R","M150","M","4W","ACLR"
"M154L","M154","M","4W","Contra"
"M154R","M154","M","4W","ACLR"
"M157L","M157","F","4W","Contra"
"M157R","M157","F","4W","ACLR"
"M161L","M161","F","4W","Contra"
"M161R","M161","F","4W","ACLR"
"M166L","M166","M","4W","Contra"
"M166R","M166","M","4W","ACLR"
"M169L","M169","M","4W","Contra"
"M169R","M169","M","4W","ACLR"
"M173L","M173","F","4W","Contra"
"M173R","M173","F","4W","ACLR"
"M176L","M176","F","4W","Contra"
"M176R","M176","F","4W","ACLR"
