"display_gene","mouse_symbol","human_symbol","gene_id","plot_direction","CellAge_effect_current","logFC_1W","FDR_1W","logFC_4W","FDR_4W","mean_logFC","rank_component_1W","rank_component_4W","combined_effect_score","plot_value"
"WNT16","Wnt16","WNT16","G10090_16466","Up in ACLR","Induces",4.14759073448876,7.36001216176245e-08,3.9999084394722,4.44823186753004e-06,4.07374958698048,29.5852685087803,21.4067603168146,50.9920288255949,4.07374958698048
"TNFSF15","Tnfsf15","TNFSF15","G10090_15377","Up in ACLR","Induces",4.02207203032693,3.44137164326669e-09,2.83261872891062,2.35910316007353e-05,3.42734537961877,34.0398752140476,13.1072437028266,47.1471189168742,3.42734537961877
"RUNX1","Runx1","RUNX1","G10090_16680","Up in ACLR","Induces",2.74383629655089,8.84067537544994e-12,2.30925915512754,2.17153995462432e-06,2.52654772583922,30.3290344437084,13.0778707490062,43.4069051927145,2.52654772583922
"MDK","Mdk","MDK","G10090_2107","Up in ACLR","Inhibits",3.64437610153065,1.62594475173558e-09,2.37689074258688,2.24607050480471e-05,3.01063342205877,32.0300360377044,11.049158722948,43.0791947606524,3.01063342205877
"SPHK1","Sphk1","SPHK1","G10090_3855","Up in ACLR","Inhibits",3.29307509299994,4.51543048713266e-09,2.10419806063483,8.5380088924601e-05,2.69863657681739,27.481702336793,8.56123154581943,36.0429338826124,2.69863657681739
"SDC1","Sdc1","SDC1","G10090_31209","Up in ACLR","Inhibits",2.36871920070603,2.36125290003132e-10,2.28945657705889,4.35967872867964e-06,2.32908788888246,22.8033221924786,12.2727361822075,35.0760583746861,2.32908788888246
"SFRP1","Sfrp1","SFRP1","G10090_22128","Up in ACLR","Induces",2.53600744338347,2.70379447302713e-11,1.62953331242188,1.71644574141104e-05,2.08277037790267,26.8005934196768,7.76532903148399,34.5659224511608,2.08277037790267
"CKAP2","Ckap2","CKAP2","G10090_12418","Up in ACLR","Inhibits",3.13520356693904,1.73782858128053e-09,1.63274009326087,0.000533881801045469,2.38397183009995,27.4643615018979,5.34323156505576,32.8075930669537,2.38397183009995
"KIF2C","Kif2c","KIF2C","G10090_3009","Up in ACLR","Inhibits",3.47108344852736,7.73150945745769e-09,1.71973887875196,0.00360447931638313,2.59541116363966,28.156511556719,4.20159287474309,32.358104431462,2.59541116363966
"BUB1","Bub1","BUB1","G10090_20518","Up in ACLR","Inhibits",3.70320243758361,2.02750651260511e-08,1.04351610496594,0.0142382976619916,2.37335927127477,28.4888761189905,1.92689624460098,30.4157723635915,2.37335927127477
"PON1","Pon1","PON1","G10090_11759","Down in ACLR","Inhibits",-2.80323280121436,7.72942555349528e-08,-1.47329552514875,0.000289578877749035,-2.13826416318155,19.9361789942305,5.21286302161323,25.1490420158438,-2.13826416318155
"PRODH","Prodh","PRODH","G10090_922","Down in ACLR","Induces",-1.77369343078908,5.11512961290624e-11,-1.09933441698998,2.59324964996507e-05,-1.43651392388953,18.2533333679219,5.04171877196185,23.2950521398837,-1.43651392388953
"CBS","Cbs","CBS","G10090_1484","Down in ACLR","Inhibits",-2.18200334632883,1.19625996009651e-05,-1.76907168235951,0.00194442879476205,-1.97553751434417,10.7402010845681,4.79632122020625,15.5365223047743,-1.97553751434417
"ESRRB","Esrrb","ESRRB","G10090_12634","Down in ACLR","Induces",-2.43988325080152,2.88650188126715e-05,-1.04816226736016,0.041966805539624,-1.74402275908084,11.0761627005331,1.44341806110061,12.5195807616337,-1.74402275908084
"FASN","Fasn","FASN","G10090_29400","Down in ACLR","Induces",-1.61915055765161,3.34629743168523e-05,-1.14229659927646,0.000668400354329154,-1.38072357846404,7.24640382064247,3.62674981303299,10.8731536336755,-1.38072357846404
"PPARG","Pparg","PPARG","G10090_4761","Down in ACLR","Induces",-1.45576962863612,0.000125732609514865,-1.15131720599084,0.000423029846577313,-1.30354341731348,5.67830523958006,3.8841171030446,9.56242234262466,-1.30354341731348
"PPARGC1A","Ppargc1a","PPARGC1A","G10090_3169","Down in ACLR","Inhibits",-1.27859530509038,4.77262731938042e-05,-1.10778665525826,0.000242231606109701,-1.19319098017432,5.52512034338452,4.00550085854555,9.53062120193007,-1.19319098017432
"ME1","Me1","ME1","G10090_20554","Down in ACLR","Inhibits",-1.16260030761282,0.000116755663126388,-1.06401983704445,2.34114942493779e-05,-1.11331007232863,4.5721838594998,4.92701925866192,9.49920311816171,-1.11331007232863
"ALDOA","Aldoa","ALDOA","G10090_13799","Down in ACLR","Inhibits",-1.47423117359538,8.09049323722797e-05,-1.02299890273066,0.000515606879473174,-1.24861503816302,6.0325908193125,3.36329435906821,9.39588517838071,-1.24861503816302
"PRKAA2","Prkaa2","PRKAA2","G10090_12985","Down in ACLR","Inhibits",-1.40333234294571,0.000568392571040435,-1.14885499744918,0.00127080925369697,-1.27609367019745,4.55430687431824,3.32699174076322,7.88129861508146,-1.27609367019745
