"module_name","status","n_fastq"
"Adapter Content","FAIL",0
"Basic Statistics","FAIL",0
"Overrepresented sequences","FAIL",0
"Per base N content","FAIL",4
"Per base sequence content","FAIL",36
"Per base sequence quality","FAIL",0
"Per sequence GC content","FAIL",0
"Per sequence quality scores","FAIL",0
"Per tile sequence quality","FAIL",9
"Sequence Duplication Levels","FAIL",23
"Sequence Length Distribution","FAIL",0
"Adapter Content","PASS",36
"Basic Statistics","PASS",36
"Overrepresented sequences","PASS",25
"Per base N content","PASS",32
"Per base sequence content","PASS",0
"Per base sequence quality","PASS",36
"Per sequence GC content","PASS",31
"Per sequence quality scores","PASS",36
"Per tile sequence quality","PASS",22
"Sequence Duplication Levels","PASS",0
"Sequence Length Distribution","PASS",36
"Adapter Content","WARN",0
"Basic Statistics","WARN",0
"Overrepresented sequences","WARN",11
"Per base N content","WARN",0
"Per base sequence content","WARN",0
"Per base sequence quality","WARN",0
"Per sequence GC content","WARN",5
"Per sequence quality scores","WARN",0
"Per tile sequence quality","WARN",5
"Sequence Duplication Levels","WARN",13
"Sequence Length Distribution","WARN",0
