"metric","value"
"n_fasta_candidates_found","1"
"n_gtf_candidates_found","2"
"n_subread_index_candidates_found","1"
"selected_fasta_relative","reference/Sus_scrofa_Ensembl115/Sus_scrofa.Sscrofa11.1.dna.toplevel.fa.gz"
"selected_gtf_relative","Final_submit/Figure5/Sus_scrofa.Sscrofa11.1.115.gtf.gz"
"selected_subread_index_basename_relative","reference/Sus_scrofa_Ensembl115/Rsubread_index/Sus_scrofa_Sscrofa11.1_gapped"
"selected_subread_index_n_parts","1"
"selected_fasta_exists","TRUE"
"selected_gtf_exists","TRUE"
"selected_subread_index_detected","TRUE"
