"metric","value"
"project_root","E:/R/ACLsenescence2"
"bam_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/bam/step15J_rsubread_align"
"gtf_relative","reference/Sus_scrofa_Ensembl115/Sus_scrofa.Sscrofa11.1.115.gtf.gz"
"n_bam_input","18"
"n_genes_counted","35682"
"nthreads","1"
"isPairedEnd","TRUE"
"countReadPairs","TRUE"
"requireBothEndsMapped","TRUE"
"GTF_feature_type","exon"
"GTF_attr_type","gene_id"
"elapsed_minutes","17.467"
"assigned_row_identified_uniquely","TRUE"
"assigned_row_match_count","1"
