"sample_id","core_group","bam_filename","bam_size_mb","assigned","total_counted_records","assignment_rate_pct"
"CON1","CON_t0","CON1.bam",1718.227,9802241,15323981,63.967
"CON2","CON_t0","CON2.bam",1376.152,7182805,11663160,61.585
"CON3","CON_t0","CON3.bam",2085.668,10664100,18546356,57.5
"CON4","CON_t0","CON4.bam",2138.592,13210214,19476871,67.825
"CON5","CON_t0","CON5.bam",2844.898,17038498,25325474,67.278
"CON6","CON_t0","CON6.bam",1702.829,10394313,13948648,74.518
"INJS1","ACLT_untreated_t7","INJS1.bam",2156.582,14050912,18282532,76.854
"INJS2","ACLT_untreated_t7","INJS2.bam",1950.573,13326409,17594194,75.743
"INJS3","ACLT_untreated_t7","INJS3.bam",1803.827,12059998,15479722,77.908
"INJS4","ACLT_untreated_t7","INJS4.bam",1403.147,8857217,11395236,77.727
"INJS5","ACLT_untreated_t7","INJS5.bam",1889.334,12116184,15945383,75.986
"INJS6","ACLT_untreated_t7","INJS6.bam",1091.429,7482593,9714098,77.028
"INJL1","ACLT_untreated_t28","INJL1.bam",1591.696,9737507,14071395,69.201
"INJL2","ACLT_untreated_t28","INJL2.bam",1501.777,9393742,12287052,76.452
"INJL3","ACLT_untreated_t28","INJL3.bam",1828.455,12121875,15410230,78.661
"INJL4","ACLT_untreated_t28","INJL4.bam",1973.864,13604350,17903438,75.987
"INJL5","ACLT_untreated_t28","INJL5.bam",1775.022,11646492,15491146,75.182
"INJL6","ACLT_untreated_t28","INJL6.bam",1501.593,9446634,12223978,77.28
