"metric","value"
"current_human_CellAge_overlap_input_genes","78"
"current_human_genes_with_mouse_direction","78"
"gorth_raw_rows","80"
"current_human_genes_strict_1to1_mapped_to_pig","75"
"current_pig_orthologs_present_in_step16_counts","75"
"current_pig_signature_genes_detected","75"
"current_pig_signature_up","65"
"current_pig_signature_down","10"
"direction_consistent_both_timepoints","47"
"direction_consistent_any_timepoint","55"
"strict_t7","34"
"strict_t28","25"
"core_strict_both_t7_t28","24"
"output_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step18_current78_pig_early_signature_remap"
