"metric","value"
"signature_input_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step18_current78_pig_early_signature_remap/step18_current78_pig_signature_gene_table.csv"
"count_matrix_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step16_pig_early_gene_count_matrix.csv"
"manifest_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step09_pig_early_core_sample_fastq_manifest.csv"
"n_signature_genes_used","75"
"n_up_signature_genes","65"
"n_down_signature_genes","10"
"n_samples","18"
"n_Control","6"
"n_ACLT_t7","6"
"n_ACLT_t28","6"
"score_scale","TMM-normalized logCPM, then row-wise z-score across 18 samples"
"normalization_method","edgeR::DGEList(full Step16 count matrix) -> edgeR::calcNormFactors(method = 'TMM') -> edgeR::cpm(log = TRUE, prior.count = 1, normalized.lib.sizes = TRUE)"
"filtering_before_score","No filterByExpr() filtering before signature scoring; all Step18-detected signature genes are retained"
"primary_directional_score_definition","(sum up z + sum -down z)/(n_up+n_down)"
"audit_directional_score_sum_means_saved","TRUE; directional_score_sum_means = up_score + down_score_reoriented"
"group_test","two-sided Wilcoxon rank-sum test for ACLT_t7 or ACLT_t28 vs Control; exact = FALSE"
"multiple_testing_correction","Benjamini-Hochberg FDR across all 12 generated score-level comparisons"
"main_score_table","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step19_current78_pig_signature_score/step19_current78_pig_signature_scores_by_sample.csv"
"group_comparison_table","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step19_current78_pig_signature_score/step19_current78_pig_signature_score_group_comparisons.csv"
"TMM_logCPM_matrix","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step19_current78_pig_signature_score/step19_current78_pig_signature_TMM_logCPM_matrix.csv"
"TMM_normalization_factor_table","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step19_current78_pig_signature_score/step19_current78_TMM_normalization_factors.csv"
"output_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step19_current78_pig_signature_score"
