"contrast","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_size","leadingEdge_genes"
"ACLT_untreated_t7_vs_Control","HALLMARK_ADIPOGENESIS",2.07130671102049e-09,2.04439297175462e-08,0.774939030136436,-0.479208848944461,-2.06838737001921,175,65,"CD302;RETSAT;MTARC2;LIPE;GBE1;ADIG;CYP4B1;ITIH5;CAT;LTC4S;LPL;GPX3;ADIPOR2;TST;NKIRAS1;STOM;ACAA2;CIDEA;ADIPOQ;SPARCL1;FABP4;LEP;BCKDHA;DHRS7;APOE;ECH1;RNF11;SLC25A10;CCNG2;ACADL;PPARG;PTGER3;HADH;CD151;ABCA1;SNCG;SORBS1;HIBCH;ARL4A;MGLL;EPHX2;NABP1;DECR1;ELOVL6;COX8A;GHITM;SOD1;C3;CRAT;HSPB8;DHRS7B;TALDO1;SDHB;CAVIN2;SSPN;ELMOD3;NDUFA5;OMD;ATL2;APLP2;FAH;ECHS1;SLC27A1;DBT;REEP5"
"ACLT_untreated_t7_vs_Control","HALLMARK_ALLOGRAFT_REJECTION",0.00493166315850952,0.0129780609434461,0.407017918923954,0.364119764554927,1.44599419126406,149,41,"IL6;ETS1;IL27RA;IL4R;PRKCB;BRCA1;CCR2;MMP9;HIF1A;EIF3A;SLA-DOA;TAP2;TAP1;AARS1;STAT1;CD2;ICAM1;JAK2;EIF4G3;LCK;BCL3;INHBA;DYRK3;ST8SIA4;RARS1;IL2RB;CD74;GPR65;CCR1;SLA-DMA;NPM1;TIMP1;NOS2;LYN;F2R;HCLS1;CCL19;ELF4;TLR2;CD3E;PTPRC"
"ACLT_untreated_t7_vs_Control","HALLMARK_ANDROGEN_RESPONSE",0.24290780141844,0.328253785700594,0.114750719227023,0.301037034664683,1.10742612733412,83,25,"B4GALT1;CENPN;SEC24D;HMGCR;ACTN1;ABHD2;LMAN1;ADAMTS1;PGM3;HMGCS1;PLPP1;INSIG1;FADS1;INPP4B;GSR;XRCC6;UBE2J1;ELK4;SGK1;HOMER2;PMEPA1;ALDH1A3;STK39;SLC38A2;SLC26A2"
"ACLT_untreated_t7_vs_Control","HALLMARK_ANGIOGENESIS",0.0268270887333465,0.0558897681944719,0.352487857583619,0.498073579433906,1.52131318266311,31,13,"SPP1;SLCO2A1;KCNJ8;COL5A2;COL3A1;PTK2;POSTN;VAV2;VCAN;AMCF-II;TNFRSF21;TIMP1;NRP1"
"ACLT_untreated_t7_vs_Control","HALLMARK_APICAL_JUNCTION",0.0887372013651877,0.138651877133106,0.195789002148949,0.308209923646992,1.22922753996265,152,42,"B4GALT1;NRAP;FSCN1;BMP1;ACTN1;SHROOM2;MMP9;MMP2;COL16A1;MDK;CDH11;MSN;SHC1;MAPK14;TAOK2;CAP1;ICAM1;INSIG1;ITGB1;TGFBI;PCDH1;ADAM9;PECAM1;PTK2;ADRA1B;THBS3;MYH9;VWF;VAV2;VCAN;PFN1;CERCAM;STX4;CTNND1;CDK8;GNAI2;MAPK13;VCL;DSC3;PTPRC;CNN2;PARVA"
"ACLT_untreated_t7_vs_Control","HALLMARK_APICAL_SURFACE",0.394686907020873,0.481325496366918,0.0891647117820678,0.337800974569829,1.03177742596507,31,5,"B4GALT1;CRYBG1;MDGA1;BRCA1;SHROOM2"
"ACLT_untreated_t7_vs_Control","HALLMARK_APOPTOSIS",0.0784982935153584,0.130830489192264,0.208955027549354,0.319670619894235,1.2627760429221,138,49,"TOP2A;IL6;CDK2;CASP7;BRCA1;ATF3;HMGB2;LEF1;HMOX1;MMP2;CDC25B;BAX;ETF1;TAP1;SLC20A1;CD2;TNFRSF12A;CASP3;DNAJA1;IER3;AVPR1A;PAK1;BTG3;MADD;GSR;PTK2;DPYD;GADD45A;DNAJC3;BGN;CASP2;GADD45B;PSEN2;TIMP1;SATB1;CFLAR;BCL2L11;SPTAN1;EBP;LMNA;F2R;PDGFRB;DAP3;IGF2R;GPX1;PPP2R5B;MCL1;BID;CDKN1A"
"ACLT_untreated_t7_vs_Control","HALLMARK_BILE_ACID_METABOLISM",0.000454426189846729,0.00227213094923365,0.49849310876659,-0.457490132902624,-1.71484149742649,75,30,"ABCA6;RETSAT;ALDH1A1;LIPE;HACL1;PEX11A;TFCP2L1;CAT;ABCD2;RXRG;GSTK1;CH25H;ISOC1;NEDD4;HSD3B7;PEX11G;ABCA1;EPHX2;PXMP2;NR3C2;RBP1;CYP8B1;SOD1;PEX16;PEX7;CYP39A1;HSD17B4;MLYCD;SLC29A1;PECR"
"ACLT_untreated_t7_vs_Control","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0622222222222222,0.111111111111111,0.271288554688953,-0.366353716416525,-1.35316860502865,67,21,"PNRC1;SEMA3B;MAL2;ALDOC;LPL;CPEB2;TM7SF2;ANTXR2;FASN;ECH1;CBS;PPARG;SCD;ALCAM;LGALS3;GNAI1;TP53INP1;JAG1;PMVK;CD9;ACSS2"
"ACLT_untreated_t7_vs_Control","HALLMARK_COAGULATION",0.454861111111111,0.516887626262626,0.0766746872490091,0.262156661302488,0.990476955043325,96,18,"HTRA1;BMP1;MMP1;DPP4;MMP14;MMP9;PLAU;MMP2;MMP15;RABIF;PREP;MMP3;ADAM9;PECAM1;SPARC;SERPINE1;KLF7;VWF"
