"metric","value"
"t7_DE_input_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step17_pig_early_DE_t7_vs_CON_QLF.csv"
"t28_DE_input_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step17_pig_early_DE_t28_vs_CON_QLF.csv"
"n_ranked_symbols_t7","14229"
"n_ranked_symbols_t28","13998"
"n_symbol_filled_by_mapping_t7","0"
"n_symbol_filled_by_mapping_t28","0"
"n_removed_no_valid_symbol_or_invalid_t7","0"
"n_removed_no_valid_symbol_or_invalid_t28","0"
"n_duplicate_symbols_removed_t7","4"
"n_duplicate_symbols_removed_t28","4"
"identifier_policy","pig gene symbol only; missing symbols mapped from available annotation when unambiguous; unresolved records excluded, no gene_id fallback in formal ranked vector"
"n_full_hallmark_gene_sets_loaded","50"
"MSigDB_database_version","2026.1.Hs"
"MSigDB_database_version_source","msig_df$db_version"
"n_full_hallmark_gene_sets_tested_t7","50"
"n_full_hallmark_gene_sets_tested_t28","50"
"fgsea_minSize","10"
"fgsea_maxSize","500"
"fgsea_eps","0"
"fgsea_nproc","1"
"fgsea_seed_t7","1"
"fgsea_seed_t28","1"
"rank_statistic","sign(logFC) * -log10(PValue)"
"target_pathways","HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"
"full_collection_FDR_used","TRUE"
"output_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step20_current78_pig_early_hallmark_gsea"
