"sample_id","group","time_point","sample_number","count_column"
"CON1","Control","t0",1,"CON1"
"CON2","Control","t0",2,"CON2"
"CON3","Control","t0",3,"CON3"
"CON4","Control","t0",4,"CON4"
"CON5","Control","t0",5,"CON5"
"CON6","Control","t0",6,"CON6"
"INJS1","ACLT_1W","t7",1,"INJS1"
"INJS2","ACLT_1W","t7",2,"INJS2"
"INJS3","ACLT_1W","t7",3,"INJS3"
"INJS4","ACLT_1W","t7",4,"INJS4"
"INJS5","ACLT_1W","t7",5,"INJS5"
"INJS6","ACLT_1W","t7",6,"INJS6"
"INJL1","ACLT_4W","t28",1,"INJL1"
"INJL2","ACLT_4W","t28",2,"INJL2"
"INJL3","ACLT_4W","t28",3,"INJL3"
"INJL4","ACLT_4W","t28",4,"INJL4"
"INJL5","ACLT_4W","t28",5,"INJL5"
"INJL6","ACLT_4W","t28",6,"INJL6"
