"sample_id","group","raw_library_size","filtered_library_size","norm_factor_TMM","effective_library_size"
"CON1","Control",9802241,9780168,1.00210790796809,9800783.69405643
"CON2","Control",7182805,7169153,0.987939036890681,7082686.11014194
"CON3","Control",10664100,10641233,0.939187839680167,9994116.6328033
"CON4","Control",13210214,13182543,1.03203478811827,13604842.971865
"CON5","Control",17038498,17009356,1.03929711122402,17677774.5545809
"CON6","Control",10394313,10374191,1.03013564022121,10686823.8875621
"INJS1","ACLT_1W",14050912,14032100,0.977454880949902,13715744.6349771
"INJS2","ACLT_1W",13326409,13306275,0.964218215121158,12830152.7304113
"INJS3","ACLT_1W",12059998,12042724,1.07180026244922,12907394.7438035
"INJS4","ACLT_1W",8857217,8843678,1.05224298868388,9305698.16967784
"INJS5","ACLT_1W",12116184,12099263,1.0311657327314,12476345.3969049
"INJS6","ACLT_1W",7482593,7465802,1.07252510891811,8007260.10321105
"INJL1","ACLT_4W",9737507,9724320,0.952853058803053,9265848.05677971
"INJL2","ACLT_4W",9393742,9382053,0.998852307429178,9371285.28747284
"INJL3","ACLT_4W",12121875,12107506,0.947223961987188,11468519.8031036
"INJL4","ACLT_4W",13604350,13589629,0.893831211859079,12146834.5577853
"INJL5","ACLT_4W",11646492,11630851,0.988404831977169,11495989.3284065
"INJL6","ACLT_4W",9446634,9432742,1.0396000244739,9806278.81405595
