"metric","value"
"method_version","2026-05-10_unified_with_mouse_limma_plotMDS_on_filtered_TMM_logCPM"
"genes_before_filterByExpr","35682"
"genes_after_filterByExpr","14528"
"genes_removed_by_filterByExpr","21154"
"samples","18"
"normalization_method","edgeR_TMM"
"logCPM_prior_count","1"
"PCA_method","prcomp(t(filtered_TMM_logCPM), center=TRUE, scale.=FALSE)"
"MDS_method","limma::plotMDS(filtered_TMM_logCPM, top=500, gene.selection='common')"
"MDS_input","filtered TMM-normalized logCPM matrix"
"MDS_top_genes","500"
"MDS_gene_selection","common"
