"source","category","required","note"
"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/E-MTAB-6664.idf.txt","metadata",FALSE,"ArrayExpress/EBI IDF metadata"
"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/E-MTAB-6664.sdrf.txt","metadata",FALSE,"ArrayExpress/EBI SDRF metadata"
"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step11C_intersect_current_gorth_mapping_with_CellAge_clean/step11C_persistent_CellAge_overlap_78_genes*.csv","cross_species_input",FALSE,"current 78 mouse persistent CellAge-overlap input"
"E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step11C_intersect_current_gorth_mapping_with_CellAge_clean/step11C_persistent_CellAge_overlap_79_genes*.csv","cross_species_input",FALSE,"backward-compatible current78 input filename used by Step18 script"
"E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step15K_pig_early_alignment_run_summary.csv","QC_reference_alignment_counting",FALSE,"final QC/reference/alignment/counting table"
"E:/R/ACLsenescence2/rebuild_submission/02_pig_early/supplement/alignment_level_QC","alignment_level_QC_supplement",FALSE,"alignment-level QC supplement tables/logs/figures"
"E:/R/ACLsenescence2/rebuild_submission/02_pig_early/supplement/strandSpecific_comparison","strandSpecific_featureCounts_supplement",FALSE,"strandSpecific comparison supplement tables/logs/figures"
"E:/R/ACLsenescence2/rebuild_submission/02_pig_early/early pig metadata batch covariate audit","batch_covariate_audit",FALSE,"metadata/batch covariate audit for reviewer-facing design justification"
"E:/R/ACLsenescence2/rebuild_submission/02_pig_early/supplementary files/step23_current78_singscore_sensitivity","singscore_sensitivity",FALSE,"rank-based singscore sensitivity analysis"
"E:/R/ACLsenescence2/rebuild_submission/02_pig_early/supplementary files/step23_current78_singscore_sensitivity/*version*.csv","versions",FALSE,"Step23 versions"
"E:/R/ACLsenescence2/rebuild_submission/02_pig_early/supplementary files/step23_current78_singscore_sensitivity/*sessionInfo*.txt","versions",FALSE,"Step23 session info"
