"sample_id","group","action","exit_status","sample_ok","input_r1_exists","input_r2_exists","input_r1_size_bytes","input_r2_size_bytes","trimmed_r1_exists","trimmed_r2_exists","fastp_html_exists","fastp_json_exists","trimmed_r1_size_bytes","trimmed_r2_size_bytes","fastp_html_size_bytes","fastp_json_size_bytes","r1","r2","trimmed_r1","trimmed_r2","fastp_html","fastp_json","log_file","sh_file","started_at","ended_at","elapsed_min"
"CON1","Control_t0","run_fastp",0,TRUE,TRUE,TRUE,651977344,688190270,TRUE,TRUE,TRUE,TRUE,699637079,735518791,433511,98696,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON1_R1.fastq.gz","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON1_R2.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON1_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON1_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON1.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON1.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w2_v3_fastp_CON1_stdout_stderr.txt","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/wsl_scripts/stepH2w2_v3_fastp_CON1.sh","2026-04-28 11:12:52","2026-04-28 11:15:01",2.148
"CON2","Control_t0","run_fastp",0,TRUE,TRUE,TRUE,544725607,558036186,TRUE,TRUE,TRUE,TRUE,581928551,594801527,432172,97897,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON2_R1.fastq.gz","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON2_R2.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON2_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON2_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON2.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON2.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w2_v3_fastp_CON2_stdout_stderr.txt","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/wsl_scripts/stepH2w2_v3_fastp_CON2.sh","2026-04-28 11:15:01","2026-04-28 11:17:03",2.041
"CON3","Control_t0","run_fastp",0,TRUE,TRUE,TRUE,806117724,846017263,TRUE,TRUE,TRUE,TRUE,870414161,910157845,433768,99147,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON3_R1.fastq.gz","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON3_R2.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON3_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON3_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON3.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON3.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w2_v3_fastp_CON3_stdout_stderr.txt","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/wsl_scripts/stepH2w2_v3_fastp_CON3.sh","2026-04-28 11:17:04","2026-04-28 11:20:46",3.699
"CON4","Control_t0","run_fastp",0,TRUE,TRUE,TRUE,806769976,826364985,TRUE,TRUE,TRUE,TRUE,861813435,881249523,433630,99117,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON4_R1.fastq.gz","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON4_R2.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON4_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON4_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON4.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON4.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w2_v3_fastp_CON4_stdout_stderr.txt","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/wsl_scripts/stepH2w2_v3_fastp_CON4.sh","2026-04-28 11:20:46","2026-04-28 11:24:33",3.791
"CON5","Control_t0","run_fastp",0,TRUE,TRUE,TRUE,1082581382,1119077806,TRUE,TRUE,TRUE,TRUE,1155516955,1191741053,434304,99885,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON5_R1.fastq.gz","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON5_R2.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON5_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON5_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON5.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON5.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w2_v3_fastp_CON5_stdout_stderr.txt","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/wsl_scripts/stepH2w2_v3_fastp_CON5.sh","2026-04-28 11:24:33","2026-04-28 11:29:40",5.109
"CON6","Control_t0","run_fastp",0,TRUE,TRUE,TRUE,661687493,666275280,TRUE,TRUE,TRUE,TRUE,697751750,702590301,431382,97562,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON6_R1.fastq.gz","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/CON6_R2.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON6_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/CON6_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/CON6.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/CON6.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w2_v3_fastp_CON6_stdout_stderr.txt","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/wsl_scripts/stepH2w2_v3_fastp_CON6.sh","2026-04-28 11:29:40","2026-04-28 11:32:49",3.147
"INJS1","ACLT_t7","run_fastp",0,TRUE,TRUE,TRUE,807916208,837784065,TRUE,TRUE,TRUE,TRUE,857299606,887922619,433731,98984,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS1_R1.fastq.gz","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS1_R2.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS1_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS1_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJS1.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJS1.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w2_v3_fastp_INJS1_stdout_stderr.txt","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/wsl_scripts/stepH2w2_v3_fastp_INJS1.sh","2026-04-28 11:32:49","2026-04-28 11:36:34",3.748
"INJS2","ACLT_t7","run_fastp",0,TRUE,TRUE,TRUE,730420144,738875598,TRUE,TRUE,TRUE,TRUE,778757705,787225842,433243,98783,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS2_R1.fastq.gz","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS2_R2.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS2_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS2_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJS2.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJS2.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w2_v3_fastp_INJS2_stdout_stderr.txt","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/wsl_scripts/stepH2w2_v3_fastp_INJS2.sh","2026-04-28 11:36:34","2026-04-28 11:40:07",3.546
"INJS3","ACLT_t7","run_fastp",0,TRUE,TRUE,TRUE,665280822,700261527,TRUE,TRUE,TRUE,TRUE,706524031,741316247,432479,98113,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS3_R1.fastq.gz","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS3_R2.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS3_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS3_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJS3.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJS3.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w2_v3_fastp_INJS3_stdout_stderr.txt","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/wsl_scripts/stepH2w2_v3_fastp_INJS3.sh","2026-04-28 11:40:07","2026-04-28 11:43:26",3.321
"INJS4","ACLT_t7","run_fastp",0,TRUE,TRUE,TRUE,539628443,550103329,TRUE,TRUE,TRUE,TRUE,569226587,579341749,431812,97473,"E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS4_R1.fastq.gz","E:/R/ACLsenescence2/data_raw/E-MTAB-6664/INJS4_R2.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS4_R1.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/trimmed_fastq/INJS4_R2.trimmed.fastq.gz","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_html/INJS4.fastp.html","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/qc/fastp_json/INJS4.fastp.json","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w2_v3_fastp_INJS4_stdout_stderr.txt","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/wsl_scripts/stepH2w2_v3_fastp_INJS4.sh","2026-04-28 11:43:27","2026-04-28 11:45:47",2.341
