"metric","value"
"project_root","E:/R/ACLsenescence2"
"branch_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity"
"command_sheet_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH1_fastp_command_sheet_18samples.csv"
"fastp_env_name","fastp_env"
"threads","4"
"n_samples_in_command_sheet","18"
"n_samples_ok","18"
"n_samples_failed_or_incomplete","0"
"n_run_fastp","18"
"n_skipped_existing_complete","0"
"batch_ok","TRUE"
"preflight_sh","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/wsl_scripts/stepH2w2_v3_preflight_fastp_check.sh"
"preflight_log","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w2_v3_preflight_wsl_fastp_check.log"
"status_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w2_v3_fastp_batch_status_18samples.csv"
"summary_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w2_v3_fastp_batch_summary.csv"
"command_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w2_v3_fastp_batch_commands.txt"
"main_log_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w2_v3_fastp_batch_main_log.txt"
"config_rds","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/objects/stepH2w2_v3_wsl_fastp_batch_runtime_config.rds"
"status","Step H2w2 v3 completed successfully"
