"metric","value"
"project_root","E:/R/ACLsenescence2"
"branch_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity"
"command_sheet_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH1_fastp_command_sheet_18samples.csv"
"h2w2_status_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w2_v3_fastp_batch_status_18samples.csv"
"n_samples","18"
"n_trimmed_R1_exists","18"
"n_trimmed_R2_exists","18"
"n_fastp_html_exists","18"
"n_fastp_json_exists","18"
"n_fastp_json_parsed_ok","18"
"n_sample_ok_h2w3","18"
"n_sample_failed_or_incomplete_h2w3","0"
"min_retained_read_pct","99.532"
"mean_retained_read_pct","99.722"
"max_retained_read_pct","99.891"
"min_after_q30_pct","91.49"
"mean_after_q30_pct","93.93"
"max_after_q30_pct","96.504"
"mean_adapter_trimmed_read_pct","0.407"
"batch_ok_h2w3","TRUE"
"qc_summary_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w3_fastp_trimmed_output_qc_summary_18samples.csv"
"alignment_manifest_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w3_trimmed_fastq_manifest_for_alignment_18samples.csv"
"overall_summary_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w3_fastp_qc_overall_summary.csv"
"config_rds","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/objects/stepH2w3_fastp_qc_and_alignment_manifest_config.rds"
"log_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w3_fastp_qc_and_alignment_manifest_log.txt"
"status","Step H2w3 completed successfully"
