"metric","value"
"project_root","E:/R/ACLsenescence2"
"branch_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity"
"h2w4_status_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w4_v2_trimmed_alignment_status_18samples.csv"
"bam_check_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w5_v2_trimmed_bam_input_check_18samples.csv"
"gtf_for_featureCounts","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/reference_cache/Sus_scrofa.Sscrofa11.1.115.gtf"
"threads","4"
"strandSpecific","0"
"isPairedEnd","TRUE"
"useMetaFeatures","TRUE"
"countReadPairs","TRUE"
"requireBothEndsMapped","TRUE"
"checkFragLength","FALSE"
"n_samples","18"
"n_genes_in_count_matrix","35682"
"n_bam_found","18"
"min_assignment_rate_pct","65.456"
"mean_assignment_rate_pct","75.434"
"max_assignment_rate_pct","79.921"
"batch_ok_h2w5","TRUE"
"counts_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w5_v2_trimmed_gene_level_counts_matrix.csv"
"sample_assignment_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w5_v2_trimmed_featureCounts_sample_assignment_summary.csv"
"featureCounts_stat_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w5_v2_trimmed_featureCounts_stat.csv"
"sample_info_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w5_v2_trimmed_sample_info_for_DE.csv"
"featureCounts_args_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w5_v2_featureCounts_arguments.csv"
"fc_rds","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/objects/stepH2w5_v2_trimmed_featureCounts_raw_object.rds"
"tmp_dir_used","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/featureCounts_tmp"
"log_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/logs/stepH2w5_v2_trimmed_featureCounts_log.txt"
"status","Step H2w5 v2 completed successfully"
