"gene_id","keep_by_filterByExpr"
"ENSSSCG00000028996",TRUE
"ENSSSCG00000005267",TRUE
"ENSSSCG00000005268",FALSE
"ENSSSCG00000005269",TRUE
"ENSSSCG00000031382",TRUE
"ENSSSCG00000005271",TRUE
"ENSSSCG00000005272",TRUE
"ENSSSCG00000005273",TRUE
"ENSSSCG00000045514",FALSE
"ENSSSCG00000023520",TRUE
"ENSSSCG00000057774",TRUE
"ENSSSCG00000037277",TRUE
"ENSSSCG00000005277",TRUE
"ENSSSCG00000004361",FALSE
"ENSSSCG00000004349",TRUE
"ENSSSCG00000004272",TRUE
"ENSSSCG00000037594",TRUE
"ENSSSCG00000044472",FALSE
"ENSSSCG00000004261",TRUE
"ENSSSCG00000050732",FALSE
"ENSSSCG00000004351",TRUE
"ENSSSCG00000004262",TRUE
"ENSSSCG00000038757",TRUE
"ENSSSCG00000004353",TRUE
"ENSSSCG00000005284",TRUE
"ENSSSCG00000004263",TRUE
"ENSSSCG00000021802",TRUE
"ENSSSCG00000031105",TRUE
"ENSSSCG00000004354",FALSE
"ENSSSCG00000004355",TRUE
"ENSSSCG00000034919",FALSE
"ENSSSCG00000023834",TRUE
"ENSSSCG00000032533",FALSE
"ENSSSCG00000031854",TRUE
"ENSSSCG00000025941",TRUE
"ENSSSCG00000004356",FALSE
"ENSSSCG00000030268",TRUE
"ENSSSCG00000027002",TRUE
"ENSSSCG00000005266",FALSE
"ENSSSCG00000005288",TRUE
"ENSSSCG00000035934",TRUE
"ENSSSCG00000005036",FALSE
"ENSSSCG00000004241",TRUE
"ENSSSCG00000005037",TRUE
"ENSSSCG00000004242",TRUE
"ENSSSCG00000035799",FALSE
"ENSSSCG00000044458",FALSE
"ENSSSCG00000005291",TRUE
"ENSSSCG00000005038",TRUE
"ENSSSCG00000028308",FALSE
"ENSSSCG00000033805",FALSE
"ENSSSCG00000037497",FALSE
"ENSSSCG00000033763",TRUE
"ENSSSCG00000004344",TRUE
"ENSSSCG00000005286",TRUE
"ENSSSCG00000004274",FALSE
"ENSSSCG00000005039",TRUE
"ENSSSCG00000005040",TRUE
"ENSSSCG00000004250",FALSE
"ENSSSCG00000005287",TRUE
"ENSSSCG00000005041",TRUE
"ENSSSCG00000020885",TRUE
"ENSSSCG00000058846",FALSE
"ENSSSCG00000004252",FALSE
"ENSSSCG00000043640",FALSE
"ENSSSCG00000004253",TRUE
"ENSSSCG00000044537",FALSE
"ENSSSCG00000056780",FALSE
"ENSSSCG00000051979",FALSE
"ENSSSCG00000041232",FALSE
"ENSSSCG00000051842",FALSE
"ENSSSCG00000054867",FALSE
"ENSSSCG00000056863",FALSE
"ENSSSCG00000060009",TRUE
"ENSSSCG00000054241",FALSE
"ENSSSCG00000053090",FALSE
"ENSSSCG00000054181",FALSE
"ENSSSCG00000062298",FALSE
"ENSSSCG00000049009",FALSE
"ENSSSCG00000044799",FALSE
"ENSSSCG00000063502",FALSE
"ENSSSCG00000058465",FALSE
"ENSSSCG00000057281",FALSE
"ENSSSCG00000053750",FALSE
"ENSSSCG00000062448",FALSE
"ENSSSCG00000051943",FALSE
"ENSSSCG00000059191",FALSE
"ENSSSCG00000004364",TRUE
"ENSSSCG00000055927",FALSE
"ENSSSCG00000041713",FALSE
"ENSSSCG00000061344",FALSE
"ENSSSCG00000005043",TRUE
"ENSSSCG00000057315",FALSE
"ENSSSCG00000053831",FALSE
"ENSSSCG00000052615",FALSE
"ENSSSCG00000043786",FALSE
"ENSSSCG00000004254",TRUE
"ENSSSCG00000059238",FALSE
"ENSSSCG00000043441",FALSE
"ENSSSCG00000055465",FALSE
"ENSSSCG00000052069",FALSE
"ENSSSCG00000061420",FALSE
"ENSSSCG00000063145",FALSE
"ENSSSCG00000057344",FALSE
"ENSSSCG00000063291",FALSE
"ENSSSCG00000054831",FALSE
"ENSSSCG00000055999",FALSE
"ENSSSCG00000061404",FALSE
"ENSSSCG00000053722",FALSE
"ENSSSCG00000060841",FALSE
"ENSSSCG00000061657",FALSE
"ENSSSCG00000055736",FALSE
"ENSSSCG00000053577",FALSE
"ENSSSCG00000055350",FALSE
"ENSSSCG00000057019",FALSE
"ENSSSCG00000046602",FALSE
"ENSSSCG00000026978",FALSE
"ENSSSCG00000053295",FALSE
"ENSSSCG00000005045",TRUE
"ENSSSCG00000057291",FALSE
"ENSSSCG00000062661",FALSE
"ENSSSCG00000058160",FALSE
"ENSSSCG00000062380",FALSE
"ENSSSCG00000005047",TRUE
"ENSSSCG00000019939",FALSE
"ENSSSCG00000018266",FALSE
"ENSSSCG00000037612",FALSE
"ENSSSCG00000052732",FALSE
"ENSSSCG00000004366",TRUE
"ENSSSCG00000027256",TRUE
"ENSSSCG00000045461",FALSE
"ENSSSCG00000004255",FALSE
"ENSSSCG00000004367",FALSE
"ENSSSCG00000039333",FALSE
"ENSSSCG00000004368",TRUE
"ENSSSCG00000026294",TRUE
"ENSSSCG00000053030",FALSE
"ENSSSCG00000035648",TRUE
"ENSSSCG00000038522",TRUE
"ENSSSCG00000035259",TRUE
"ENSSSCG00000021451",TRUE
"ENSSSCG00000038507",TRUE
"ENSSSCG00000042849",FALSE
"ENSSSCG00000004269",FALSE
"ENSSSCG00000004339",TRUE
"ENSSSCG00000005004",TRUE
"ENSSSCG00000004347",TRUE
"ENSSSCG00000004357",FALSE
"ENSSSCG00000005006",TRUE
"ENSSSCG00000004275",TRUE
