"source_type","contrast_key","file","basename","score","valid_de_table"
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step17_pig_early_DE_t7_vs_CON_QLF.csv","step17_pig_early_DE_t7_vs_CON_QLF.csv",105,TRUE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step20_current78_pig_early_hallmark_gsea/step20_current78_ranked_genes_t7_vs_Control.csv","step20_current78_ranked_genes_t7_vs_Control.csv",65,TRUE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step20_current78_pig_early_hallmark_gsea/step20_current78_ranked_genes_t7_removed_duplicate_symbols.csv","step20_current78_ranked_genes_t7_removed_duplicate_symbols.csv",60,TRUE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step20_current78_pig_early_hallmark_gsea/step20_current78_ranked_genes_t7_removed_no_valid_symbol_or_invalid_values.csv","step20_current78_ranked_genes_t7_removed_no_valid_symbol_or_invalid_values.csv",60,TRUE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step20_current78_pig_early_hallmark_gsea/step20_current78_ranked_genes_t28_vs_Control.csv","step20_current78_ranked_genes_t28_vs_Control.csv",15,TRUE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step20_current78_pig_early_hallmark_gsea/step20_current78_ranked_genes_t28_removed_duplicate_symbols.csv","step20_current78_ranked_genes_t28_removed_duplicate_symbols.csv",10,TRUE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step20_current78_pig_early_hallmark_gsea/step20_current78_ranked_genes_t28_removed_no_valid_symbol_or_invalid_values.csv","step20_current78_ranked_genes_t28_removed_no_valid_symbol_or_invalid_values.csv",10,TRUE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step17_pig_early_DE_t28_vs_CON_QLF.csv","step17_pig_early_DE_t28_vs_CON_QLF.csv",5,TRUE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step20_current78_pig_early_hallmark_gsea/step20_current78_fgsea_full_hallmark_t7_vs_Control.csv","step20_current78_fgsea_full_hallmark_t7_vs_Control.csv",65,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step18_current78_pig_early_signature_remap/step18_current78_human_genes_with_mouse_direction.csv","step18_current78_human_genes_with_mouse_direction.csv",60,FALSE
