"pig_ensg","signature_direction"
"ENSSSCG00000032556","Down_in_ACLR"
"ENSSSCG00000040779","Down_in_ACLR"
"ENSSSCG00000002388","Down_in_ACLR"
"ENSSSCG00000029944","Down_in_ACLR"
"ENSSSCG00000004454","Down_in_ACLR"
"ENSSSCG00000015332","Down_in_ACLR"
"ENSSSCG00000011579","Down_in_ACLR"
"ENSSSCG00000029275","Down_in_ACLR"
"ENSSSCG00000036145","Down_in_ACLR"
"ENSSSCG00000033787","Down_in_ACLR"
"ENSSSCG00000011959","Up_in_ACLR"
"ENSSSCG00000030484","Up_in_ACLR"
"ENSSSCG00000027426","Up_in_ACLR"
"ENSSSCG00000030469","Up_in_ACLR"
"ENSSSCG00000029326","Up_in_ACLR"
"ENSSSCG00000010214","Up_in_ACLR"
"ENSSSCG00000040183","Up_in_ACLR"
"ENSSSCG00000005134","Up_in_ACLR"
"ENSSSCG00000012056","Up_in_ACLR"
"ENSSSCG00000009378","Up_in_ACLR"
"ENSSSCG00000024872","Up_in_ACLR"
"ENSSSCG00000002669","Up_in_ACLR"
"ENSSSCG00000035746","Up_in_ACLR"
"ENSSSCG00000022126","Up_in_ACLR"
"ENSSSCG00000010540","Up_in_ACLR"
"ENSSSCG00000026130","Up_in_ACLR"
"ENSSSCG00000000265","Up_in_ACLR"
"ENSSSCG00000002383","Up_in_ACLR"
"ENSSSCG00000035878","Up_in_ACLR"
"ENSSSCG00000000739","Up_in_ACLR"
"ENSSSCG00000017355","Up_in_ACLR"
"ENSSSCG00000000002","Up_in_ACLR"
"ENSSSCG00000003239","Up_in_ACLR"
"ENSSSCG00000005096","Up_in_ACLR"
"ENSSSCG00000010703","Up_in_ACLR"
"ENSSSCG00000017306","Up_in_ACLR"
"ENSSSCG00000013735","Up_in_ACLR"
"ENSSSCG00000014326","Up_in_ACLR"
"ENSSSCG00000003931","Up_in_ACLR"
"ENSSSCG00000001510","Up_in_ACLR"
"ENSSSCG00000015022","Up_in_ACLR"
"ENSSSCG00000005055","Up_in_ACLR"
"ENSSSCG00000032269","Up_in_ACLR"
"ENSSSCG00000006496","Up_in_ACLR"
"ENSSSCG00000033608","Up_in_ACLR"
"ENSSSCG00000003756","Up_in_ACLR"
"ENSSSCG00000013260","Up_in_ACLR"
"ENSSSCG00000012365","Up_in_ACLR"
"ENSSSCG00000015604","Up_in_ACLR"
"ENSSSCG00000014927","Up_in_ACLR"
"ENSSSCG00000023920","Up_in_ACLR"
"ENSSSCG00000017991","Up_in_ACLR"
"ENSSSCG00000061433","Up_in_ACLR"
"ENSSSCG00000026748","Up_in_ACLR"
"ENSSSCG00000000217","Up_in_ACLR"
"ENSSSCG00000031970","Up_in_ACLR"
"ENSSSCG00000035537","Up_in_ACLR"
"ENSSSCG00000008601","Up_in_ACLR"
"ENSSSCG00000025698","Up_in_ACLR"
"ENSSSCG00000025822","Up_in_ACLR"
"ENSSSCG00000032613","Up_in_ACLR"
"ENSSSCG00000027855","Up_in_ACLR"
"ENSSSCG00000056309","Up_in_ACLR"
"ENSSSCG00000017082","Up_in_ACLR"
"ENSSSCG00000017178","Up_in_ACLR"
"ENSSSCG00000007334","Up_in_ACLR"
"ENSSSCG00000010761","Up_in_ACLR"
"ENSSSCG00000035952","Up_in_ACLR"
"ENSSSCG00000011226","Up_in_ACLR"
"ENSSSCG00000009002","Up_in_ACLR"
"ENSSSCG00000059646","Up_in_ACLR"
"ENSSSCG00000004466","Up_in_ACLR"
"ENSSSCG00000014136","Up_in_ACLR"
"ENSSSCG00000020864","Up_in_ACLR"
"ENSSSCG00000016617","Up_in_ACLR"
