"metric","value"
"untrimmed_t7_DE_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step17_pig_early_DE_t7_vs_CON_QLF.csv"
"untrimmed_t28_DE_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step17_pig_early_DE_t28_vs_CON_QLF.csv"
"trimmed_t7_DE_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w6_trimmed_DE_ACLT_t7_vs_Control_t0_QLF.csv"
"trimmed_t28_DE_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w6_trimmed_DE_ACLT_t28_vs_Control_t0_QLF.csv"
"n_full_hallmark_gene_sets_loaded","50"
"n_fgsea_pathways_untrimmed_t7","50"
"n_fgsea_pathways_untrimmed_t28","50"
"n_fgsea_pathways_trimmed_t7","50"
"n_fgsea_pathways_trimmed_t28","50"
"fgsea_minSize","10"
"fgsea_maxSize","500"
"fgsea_eps","0"
"rank_statistic","sign(logFC) * -log10(PValue)"
"gene_identifier_for_GSEA","pig gene symbols"
"full_collection_FDR_used","TRUE"
"target_pathways","HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"
"min_spearman_NES_all_common_pathways","0.998752"
"max_abs_delta_NES_target_pathways","0.015264"
"target_direction_agreement_all_contrasts","TRUE"
"target_pathways_all_found_all_contrasts","TRUE"
"overall_stability_flag","highly_stable"
"selected_de_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w9_current78_GSEA_stability/stepH2w9_current78_selected_DE_files.csv"
"symbol_map_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w9_current78_GSEA_stability/stepH2w9_current78_gene_id_to_symbol_map_from_untrimmed_DE.csv"
"ranked_summary_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w9_current78_GSEA_stability/stepH2w9_current78_ranked_gene_summary.csv"
"fgsea_all_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w9_current78_GSEA_stability/stepH2w9_current78_fgsea_full_hallmark_all_branches.csv"
"comparison_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w9_current78_GSEA_stability/stepH2w9_current78_GSEA_trimmed_vs_untrimmed_all_common_pathways.csv"
"target_comparison_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w9_current78_GSEA_stability/stepH2w9_current78_GSEA_target_pathways_stability.csv"
"summary_by_timepoint_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w9_current78_GSEA_stability/stepH2w9_current78_GSEA_stability_summary_by_timepoint.csv"
"plot_png","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w9_current78_GSEA_stability/figures/stepH2w9_current78_GSEA_NES_trimmed_vs_untrimmed_scatter.png"
"plot_pdf","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w9_current78_GSEA_stability/figures/stepH2w9_current78_GSEA_NES_trimmed_vs_untrimmed_scatter.pdf"
"output_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w9_current78_GSEA_stability"
