"branch","timepoint","pathway","n_genes_in_pathway","n_genes_present_in_rank"
"untrimmed","t7","HALLMARK_ADIPOGENESIS",193,175
"untrimmed","t7","HALLMARK_ALLOGRAFT_REJECTION",198,149
"untrimmed","t7","HALLMARK_ANDROGEN_RESPONSE",97,83
"untrimmed","t7","HALLMARK_ANGIOGENESIS",34,31
"untrimmed","t7","HALLMARK_APICAL_JUNCTION",194,152
"untrimmed","t7","HALLMARK_APICAL_SURFACE",42,31
"untrimmed","t7","HALLMARK_APOPTOSIS",159,138
"untrimmed","t7","HALLMARK_BILE_ACID_METABOLISM",109,75
"untrimmed","t7","HALLMARK_CHOLESTEROL_HOMEOSTASIS",72,67
"untrimmed","t7","HALLMARK_COAGULATION",132,96
"untrimmed","t7","HALLMARK_COMPLEMENT",188,152
"untrimmed","t7","HALLMARK_DNA_REPAIR",145,134
"untrimmed","t7","HALLMARK_E2F_TARGETS",200,182
"untrimmed","t7","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",195,173
"untrimmed","t7","HALLMARK_ESTROGEN_RESPONSE_EARLY",194,150
"untrimmed","t7","HALLMARK_ESTROGEN_RESPONSE_LATE",192,141
"untrimmed","t7","HALLMARK_FATTY_ACID_METABOLISM",154,129
"untrimmed","t7","HALLMARK_G2M_CHECKPOINT",197,184
"untrimmed","t7","HALLMARK_GLYCOLYSIS",197,156
"untrimmed","t7","HALLMARK_HEDGEHOG_SIGNALING",36,26
"untrimmed","t7","HALLMARK_HEME_METABOLISM",189,145
"untrimmed","t7","HALLMARK_HYPOXIA",195,166
"untrimmed","t7","HALLMARK_IL2_STAT5_SIGNALING",192,161
"untrimmed","t7","HALLMARK_IL6_JAK_STAT3_SIGNALING",82,68
"untrimmed","t7","HALLMARK_INFLAMMATORY_RESPONSE",196,150
"untrimmed","t7","HALLMARK_INTERFERON_ALPHA_RESPONSE",89,77
"untrimmed","t7","HALLMARK_INTERFERON_GAMMA_RESPONSE",183,154
