"contrast","branch","gene_id","gene_symbol","logFC","PValue","FDR","rank_stat"
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000014988","MMP13",7.85802258981419,4.78427807948933e-10,9.31747556432774e-07,9.3201835855251
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000007235","TPX2",2.14107026709194,6.886818762932e-10,9.75449009581689e-07,9.16198134598146
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000015581","CENPF",2.8159355365775,1.81789955536332e-09,1.83919495015472e-06,8.74043011657971
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000004969","KIF23",2.06815915402661,3.00170750114327e-09,2.22813835177227e-06,8.52263162949063
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000008747","NCAPG",2.51412672486748,3.04954236548232e-09,2.22813835177227e-06,8.51576532886887
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000017668","VMP1",1.85744752865292,3.91612462363185e-09,2.22813835177227e-06,8.4071434960072
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000028840","EZH2",1.42139587158936,4.08218144512577e-09,2.22813835177227e-06,8.38910769563524
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000017238","TTYH2",1.63080032191528,4.74931826568033e-09,2.4914571820406e-06,8.32336872610184
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000031738","COL24A1",2.94757809700274,5.07917077241788e-09,2.519044623064e-06,8.29420718503084
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000010471","KIF11",2.06352065462241,5.23542144970874e-09,2.519044623064e-06,8.28104835201462
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000016668","PDE1C",3.2374545440937,5.47927361953134e-09,2.519044623064e-06,8.26127701157743
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000016061","MYO1B",2.03717041170501,5.72750178500876e-09,2.5351354775895e-06,8.24203476678818
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000001752","CHRNA3",3.16252508956045,6.28809287365156e-09,2.55426137727464e-06,8.20148105249401
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000037821","RGS5",1.77776956951516,7.11451685104801e-09,2.71370244710238e-06,8.14785458764553
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000004588","CCNB2",2.30435589077769,7.77996485320126e-09,2.7231966269507e-06,8.10902236497628
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000014326","KIF20A",2.22293685947995,7.97859458828391e-09,2.7231966269507e-06,8.09807360192082
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000010495","ALDH18A1",1.65079159475071,7.99490174179268e-09,2.7231966269507e-06,8.09718686941111
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000030680","TCF7",1.89760927530299,9.19686679956628e-09,2.85789577125856e-06,8.03636010346104
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000007528","PHACTR3",4.35545522729379,9.2815027871995e-09,2.85789577125856e-06,8.0323817005754
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000014840","P4HA3",2.72391824718267,9.78890787300334e-09,2.92913845796676e-06,8.00926575877764
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000035908","ENSSSCG00000035908",2.74232322632277,1.03387055393019e-08,2.93656489202297e-06,7.98553383380789
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000000171","CKAP4",1.27750056323645,1.13863706873911e-08,3.10147220031168e-06,7.94361468168134
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000001660","PTK7",1.75385903706837,1.61884671932602e-08,4.20566993318155e-06,7.79079427051922
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000003697","NDC80",2.36515092647625,1.763421980903e-08,4.36068674955472e-06,7.75364375006672
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000024481","PDE4DIP",1.1621476824744,1.80090521514724e-08,4.36068674955472e-06,7.74450914427196
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000000217","RACGAP1",1.8685238849793,2.21349435305188e-08,4.70474849827106e-06,7.65492158163252
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000003931","KIF2C",1.74533395548112,2.23775006049968e-08,4.70474849827106e-06,7.65018842245804
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000002716","MLKL",1.02299552237198,2.44766314380633e-08,5.02444938679316e-06,7.61124835158058
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000055131","ENSSSCG00000055131",2.45799547136678,2.82624902160481e-08,5.48369741671378e-06,7.54878957499128
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000002032","SLC7A8",2.59187180601099,2.9073276439793e-08,5.564782263422e-06,7.53650602225298
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000017473","TOP2A",2.15619315740235,3.27208701966292e-08,6.06676367984907e-06,7.48517515498333
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000026257","STMN1",1.3083249462438,3.29808531028226e-08,6.06676367984907e-06,7.48173811482077
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000015911","SCN3A",4.10257749356676,3.35008396325576e-08,6.08340887891725e-06,7.47494430809101
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000007423","UBE2C",1.97294206163447,3.97794788689226e-08,7.04295673374274e-06,7.40034091064933
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000003532","LUZP1",1.41052977894951,4.13454507927852e-08,7.22983907443222e-06,7.38357226856073
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000002849","SHCBP1",2.31128966886538,4.25509224242024e-08,7.34989347824882e-06,7.37109102078741
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000045128","ENSSSCG00000045128",1.49405431835192,4.60988415000042e-08,7.681694011836e-06,7.33630998863372
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000005494","TNC",2.36810182557263,5.0903350600148e-08,8.19312565796019e-06,7.29325363025139
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000013989","GJC2",4.66608400383109,5.53043589509494e-08,8.78123850300563e-06,7.25724063734379
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000007476","KCNG1",4.8209603367317,5.64171634971415e-08,8.78123850300563e-06,7.24858875278729
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000024257","CEMIP2",1.5467932714491,5.9268132734585e-08,9.02660034465228e-06,7.22717875516085
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000005344","MELK",2.32828221393542,6.60143384729374e-08,9.53032386279196e-06,7.18036172440731
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000033051","POLE",2.39198477073251,6.61013048993609e-08,9.53032386279196e-06,7.17978996706507
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000007529","SYCP2",2.66514220293927,6.67925094277855e-08,9.53032386279196e-06,7.17527223956915
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000012377","KIF4A",2.42504567220813,7.61421813476285e-08,1.03699793904597e-05,7.11837468552443
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000029326","CCNB1",2.08473738413647,7.82990429710453e-08,1.05621680442084e-05,7.10624354617876
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000010874","ADSS2",1.08671034752843,8.55298640657838e-08,1.12170832835904e-05,7.06788221820269
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000011519","GXYLT2",1.506102565735,8.68544068649505e-08,1.12862919159189e-05,7.06120814119413
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000048264","ENSSSCG00000048264",2.44700007503851,8.82895428138604e-08,1.1294877016557e-05,7.05409073206431
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000013393","SPON1",2.07390215883315,9.60486779220856e-08,1.20392342839683e-05,7.01750860867938
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000010540","ENTPD7",1.51369739892872,1.02463961963909e-07,1.2682687507941e-05,6.98942885531312
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000004782","BUB1B",2.13068387983026,1.02972964092997e-07,1.2682687507941e-05,6.98727678584319
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000016658","ANLN",1.81435837174174,1.04169738121129e-07,1.27194842305834e-05,6.9822584276374
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000037264","RAB31",1.20870718070151,1.09216216516483e-07,1.32216965020467e-05,6.96171287243035
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000005056","DLGAP5",2.58844398046837,1.13913442567789e-07,1.34455833377513e-05,6.94342502316817
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000030469","BUB1",2.47035270854384,1.19508506179856e-07,1.3929843092355e-05,6.92260118211751
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000006386","COPA",0.86045735355917,1.24248222830699e-07,1.42847864526967e-05,6.90570981442836
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000033444","SPC24",1.38508181212917,1.31443033512485e-07,1.47376711469573e-05,6.88126242657748
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000003401","KIF1B",1.40552125629788,1.32143761343093e-07,1.47376711469573e-05,6.87895333558354
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000009914","MLEC",0.948447532985417,1.40826394159322e-07,1.54625197431987e-05,6.85131594062374
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000041731","ENSSSCG00000041731",1.28602601156008,1.43838346861498e-07,1.54807683693873e-05,6.84212531694187
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000001475","SLC39A7",1.03581999429023,1.4628939768474e-07,1.54807683693873e-05,6.83478714820049
