"contrast","branch","gene_id","gene_symbol","logFC","PValue","FDR","rank_stat"
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000014988","MMP13",7.84388442997478,4.51480140931976e-10,8.83087417661137e-07,9.34536134805998
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000007235","TPX2",2.13707821187517,7.79134065941502e-10,1.04662446656473e-06,9.10838780665478
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000015581","CENPF",2.80342277416282,1.51807670120088e-09,1.62949860968391e-06,8.81870628505005
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000008747","NCAPG",2.49892231060969,2.88428385666276e-09,2.12362420483702e-06,8.53996200077788
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000004969","KIF23",2.05540350046322,2.98651812797579e-09,2.12362420483702e-06,8.52483484476892
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000017668","VMP1",1.84553743379762,3.6723007647593e-09,2.13467464422353e-06,8.43506175690266
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000024481","PDE4DIP",1.33784910559708,3.81137452546695e-09,2.13467464422353e-06,8.41891837309828
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000017238","TTYH2",1.61895811475146,4.51255464336203e-09,2.18948532657666e-06,8.34557752610193
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000016061","MYO1B",2.0263115316019,4.64975035540797e-09,2.18948532657666e-06,8.33257036370773
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000010471","KIF11",2.05415372540925,4.76783102896776e-09,2.18948532657666e-06,8.32167914430961
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000028840","EZH2",1.40990605693874,4.98961474894409e-09,2.18948532657666e-06,8.30193298521162
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000016668","PDE1C",3.22350075998006,5.00382305745273e-09,2.18948532657666e-06,8.30069805599911
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000031738","COL24A1",2.93392574725409,5.55904999292305e-09,2.35872175760329e-06,8.25499942030341
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000001752","CHRNA3",3.1501861011428,6.49102519114048e-09,2.40252706770325e-06,8.18768670540407
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000037821","RGS5",1.76558833713654,6.6589611549996e-09,2.40252706770325e-06,8.1765935185537
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000014326","KIF20A",2.2157709885697,7.45400401093191e-09,2.42713315254106e-06,8.1276103778922
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000010495","ALDH18A1",1.64043518335476,7.74073787544456e-09,2.42713315254106e-06,8.11121763880549
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000004588","CCNB2",2.29315392699967,7.80038507815653e-09,2.42713315254106e-06,8.1078839571569
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000035908","ENSSSCG00000035908",2.76523051973396,8.41951151431555e-09,2.54921753664338e-06,8.07471310479386
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000007528","PHACTR3",4.34493363514244,8.70832620869783e-09,2.54921753664338e-06,8.06006531091437
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000014840","P4HA3",2.71350396687566,8.75401648898648e-09,2.54921753664338e-06,8.05779263968897
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000030680","TCF7",1.88753280301996,1.01388762969938e-08,2.73008742135592e-06,7.99401017567898
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000000171","CKAP4",1.2646558242944,1.05944626898835e-08,2.79893710535376e-06,7.97492106412883
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000001660","PTK7",1.74379527306394,1.58315213919452e-08,4.03041750054576e-06,7.80047734790595
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000003697","NDC80",2.35249431947089,1.66678516083527e-08,4.05850408347691e-06,7.77812037466307
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000003931","KIF2C",1.72667551490605,2.35767952680722e-08,4.96274133919848e-06,7.62751522773879
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000002716","MLKL",1.01273064616993,2.60805493096446e-08,5.09949096966761e-06,7.58368326571484
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000055131","ENSSSCG00000055131",2.44620807558027,2.93051758640499e-08,5.62097359518393e-06,7.53305566801868
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000000217","RACGAP1",1.85853794445168,3.00844694242011e-08,5.69246947131979e-06,7.52165764341027
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000017473","TOP2A",2.14486127824971,3.06277369026518e-08,5.71799429481241e-06,7.51388509222383
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000002032","SLC7A8",2.58113308548863,3.18017163719281e-08,5.85904779789128e-06,7.49754944005514
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000003532","LUZP1",1.39860405356596,3.78270089923135e-08,6.62067224887966e-06,7.42219799731386
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000007423","UBE2C",1.95981563073804,3.92389286944083e-08,6.78300592072969e-06,7.40628285828644
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000026257","STMN1",1.29555568729247,4.074417129356e-08,6.85427595222376e-06,7.38993451100006
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000045128","ENSSSCG00000045128",1.48267567390667,4.20446541981212e-08,6.88224170859265e-06,7.37628921508237
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000002849","SHCBP1",2.30032857735836,4.22705889829287e-08,6.88224170859265e-06,7.37396170082833
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000013989","GJC2",4.61302596734474,4.9064013661544e-08,7.75299050364642e-06,7.30923692739417
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000005494","TNC",2.35864593008566,4.92798282262914e-08,7.75299050364642e-06,7.30733081465256
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000015911","SCN3A",4.10300235218591,5.49333300642417e-08,8.42371146282318e-06,7.2601640732035
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000024257","CEMIP2",1.53564829734813,5.53479113397895e-08,8.42371146282318e-06,7.25689876341614
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000007476","KCNG1",4.80901637574093,5.72479664996517e-08,8.61920459062497e-06,7.24223993525296
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000007529","SYCP2",2.65214719453242,6.33772947915634e-08,9.09613327902041e-06,7.1980663022579
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000033051","POLE",2.37974098871182,6.91718841466505e-08,9.58955170120198e-06,7.16007039457795
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000011519","GXYLT2",1.49671947839917,7.23182950173291e-08,9.74011392185568e-06,7.14075182137802
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000012377","KIF4A",2.41263356818119,7.30404200681936e-08,9.74011392185568e-06,7.13643673776327
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000005344","MELK",2.3064775569096,7.57300958600009e-08,1.00035170021862e-05,7.12073149344023
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000013393","SPON1",2.06293974438717,7.93840385656022e-08,1.02919935925515e-05,7.1002668106677
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000029326","CCNB1",2.06775577525202,8.06521143734486e-08,1.03233083135308e-05,7.09338424267446
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000010874","ADSS2",1.0756058743382,8.62052297990386e-08,1.0874284933749e-05,7.06446638610142
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000016658","ANLN",1.79887761004622,9.06455776919951e-08,1.12320299012683e-05,7.04265337889128
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000004782","BUB1B",2.11898350474745,9.39738147601272e-08,1.15422925813272e-05,7.02699314309627
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000048264","ENSSSCG00000048264",2.43596328115833,1.06798578189904e-07,1.28913249294399e-05,6.97143452903395
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000005056","DLGAP5",2.56782609605241,1.11223172581535e-07,1.33106569443304e-05,6.95380472106452
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000003401","KIF1B",1.39459736269902,1.12285438090368e-07,1.33239042723842e-05,6.94967656223418
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000030469","BUB1",2.45883014733721,1.14531135233229e-07,1.34545236581242e-05,6.94107643453054
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000010540","ENTPD7",1.49592603407905,1.17252943908434e-07,1.34545236581242e-05,6.93087624450083
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000037264","RAB31",1.19662431340061,1.19148513126599e-07,1.34545236581242e-05,6.92391137291419
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000006386","COPA",0.848850177484339,1.24081949209379e-07,1.35972252261913e-05,6.90629139278771
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000006333","NUF2",1.20476497007444,1.42362463474228e-07,1.53335324120473e-05,6.84660450546725
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000001475","SLC39A7",1.02499229221115,1.4450232428991e-07,1.54452026313535e-05,6.8401251673146
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000033444","SPC24",1.37091116829719,1.4949696246885e-07,1.57387704397657e-05,6.82536763139586
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000009914","MLEC",0.9362842338274,1.55596839247416e-07,1.5817030540956e-05,6.8079992293987
