"pig_ensg","pig_symbol","human_gene","mouse_symbol","signature_direction","detected_in_trimmed_counts","logFC_t7_trimmed","FDR_t7_trimmed","direction_consistent_t7_trimmed","stat_strict_t7_trimmed","strict_t7_trimmed","logFC_t28_trimmed","FDR_t28_trimmed","direction_consistent_t28_trimmed","stat_strict_t28_trimmed","strict_t28_trimmed","direction_consistent_both_trimmed","stat_strict_both_trimmed","strict_both_trimmed","core_like_trimmed","main_direction_consistent_both","main_strict_t7","main_strict_t28","main_core"
"ENSSSCG00000040779","CBS","CBS","Cbs","Down_in_ACLR",TRUE,-1.91188393320034,0.000589379056634591,TRUE,TRUE,TRUE,-3.0979511846678,0.00010479633295931,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSSSCG00000029944","FASN","FASN","Fasn","Down_in_ACLR",TRUE,-2.13264018909645,0.00046121192646373,TRUE,TRUE,TRUE,-3.92273639441295,1.20391472896881e-07,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSSSCG00000011579","PPARG","PPARG","Pparg","Down_in_ACLR",TRUE,-1.34165557312243,0.000946084670556827,TRUE,TRUE,TRUE,-2.31593329508808,3.8316137896966e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSSSCG00000030469","BUB1","BUB1","Bub1","Up_in_ACLR",TRUE,3.86842245337449,1.80779708024506e-07,TRUE,TRUE,TRUE,2.47035270854384,1.3929843092355e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSSSCG00000029326","CCNB1","CCNB1","Ccnb1","Up_in_ACLR",TRUE,3.7951508203963,1.54566469666395e-07,TRUE,TRUE,TRUE,2.08473738413647,1.05621680442084e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSSSCG00000010214","CDK1","CDK1","Cdk1","Up_in_ACLR",TRUE,3.16517834985638,4.22956388853454e-06,TRUE,TRUE,TRUE,2.0745095198285,7.39489568328485e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSSSCG00000009378","CKAP2","CKAP2","Ckap2","Up_in_ACLR",TRUE,3.32474243048012,4.23259184479343e-07,TRUE,TRUE,TRUE,2.00746281589728,1.67303511682075e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSSSCG00000010540","ENTPD7","ENTPD7","Entpd7","Up_in_ACLR",TRUE,1.6863595911529,3.68786529962473e-05,TRUE,TRUE,TRUE,1.51369739892872,1.2682687507941e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSSSCG00000000265","ESPL1","ESPL1","Espl1","Up_in_ACLR",TRUE,3.2805776384228,1.91787124754721e-06,TRUE,TRUE,TRUE,1.62406285301727,0.00154352145257397,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSSSCG00000000739","FOXM1","FOXM1","Foxm1","Up_in_ACLR",TRUE,3.52134879563738,2.44289121291597e-07,TRUE,TRUE,TRUE,1.87609091926222,3.62023751033477e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSSSCG00000005096","HIF1A","HIF1A","Hif1a","Up_in_ACLR",TRUE,1.04491998759823,0.000393505481316807,TRUE,TRUE,TRUE,1.07336762445997,0.00133112362394221,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSSSCG00000010703","HTRA1","HTRA1","Htra1","Up_in_ACLR",TRUE,1.37248789884713,2.706631138797e-05,TRUE,TRUE,TRUE,1.27913926120171,2.63642104937403e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSSSCG00000014326","KIF20A","KIF20A","Kif20a","Up_in_ACLR",TRUE,3.85723020345847,1.45367868813301e-07,TRUE,TRUE,TRUE,2.22293685947995,2.7231966269507e-06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSSSCG00000003931","KIF2C","KIF2C","Kif2c","Up_in_ACLR",TRUE,3.29767391897536,1.45367868813301e-07,TRUE,TRUE,TRUE,1.74533395548112,4.70474849827106e-06,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
