"metric","value"
"scores_long_input_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w8_current78_signature_score_stability/stepH2w8_current78_signature_scores_long.csv"
"group_comparison_input_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w8_current78_signature_score_stability/stepH2w8_current78_signature_score_group_comparison_by_branch.csv"
"branch_plotted","trimmed"
"scores_plotted","directional_score; up_score; down_score_reoriented"
"n_samples_plotted","18"
"n_Control","6"
"n_ACLT_t7","6"
"n_ACLT_t28","6"
"directional_score_trimmed_t7_p","0.00507486809794025"
"directional_score_trimmed_t28_p","0.00507486809794025"
"up_score_trimmed_t7_p","0.00507486809794025"
"up_score_trimmed_t28_p","0.00507486809794025"
"down_score_reoriented_trimmed_t7_p","0.00507486809794025"
"down_score_reoriented_trimmed_t28_p","0.00507486809794025"
"plot_png","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/figures/stepH2w11_current78_trimmed_signature_score_figure/Supplementary_fastp_trimmed_current78_signature_scores_mouse_style.png"
"plot_pdf","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/figures/stepH2w11_current78_trimmed_signature_score_figure/Supplementary_fastp_trimmed_current78_signature_scores_mouse_style.pdf"
"source_data_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w11_current78_trimmed_signature_score_figure/stepH2w11_current78_trimmed_signature_score_plot_source_data.csv"
"statistics_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/tables/stepH2w11_current78_trimmed_signature_score_figure/stepH2w11_current78_trimmed_signature_score_plot_statistics.csv"
"output_dir","E:/R/ACLsenescence2/rebuild_submission/02_pig_early_fastp_sensitivity/figures/stepH2w11_current78_trimmed_signature_score_figure"
