"sample_id","group_raw","group"
"CON1","Control_t0","Control"
"CON2","Control_t0","Control"
"CON3","Control_t0","Control"
"CON4","Control_t0","Control"
"CON5","Control_t0","Control"
"CON6","Control_t0","Control"
"INJS1","ACLT_t7","ACLT-untreated-1W"
"INJS2","ACLT_t7","ACLT-untreated-1W"
"INJS3","ACLT_t7","ACLT-untreated-1W"
"INJS4","ACLT_t7","ACLT-untreated-1W"
"INJS5","ACLT_t7","ACLT-untreated-1W"
"INJS6","ACLT_t7","ACLT-untreated-1W"
"INJL1","ACLT_t28","ACLT-untreated-4W"
"INJL2","ACLT_t28","ACLT-untreated-4W"
"INJL3","ACLT_t28","ACLT-untreated-4W"
"INJL4","ACLT_t28","ACLT-untreated-4W"
"INJL5","ACLT_t28","ACLT-untreated-4W"
"INJL6","ACLT_t28","ACLT-untreated-4W"
