"fastq_stub","sample_id","core_group","read_label","fastq_zip","total_sequences","poor_quality_sequences","sequence_length","gc_percent"
"CON1_R1","CON1","CON_t0","R1","CON1_R1_fastqc.zip",15323981,0,"50",49
"CON2_R1","CON2","CON_t0","R1","CON2_R1_fastqc.zip",11663160,0,"50",50
"CON3_R1","CON3","CON_t0","R1","CON3_R1_fastqc.zip",18546356,0,"50",50
"CON4_R1","CON4","CON_t0","R1","CON4_R1_fastqc.zip",19476871,0,"50",50
"CON5_R1","CON5","CON_t0","R1","CON5_R1_fastqc.zip",25325474,0,"50",50
"CON6_R1","CON6","CON_t0","R1","CON6_R1_fastqc.zip",13948648,0,"50",50
"INJS1_R1","INJS1","ACLT_untreated_t7","R1","INJS1_R1_fastqc.zip",18282532,0,"50",49
"INJS2_R1","INJS2","ACLT_untreated_t7","R1","INJS2_R1_fastqc.zip",17594194,0,"50",50
"INJS3_R1","INJS3","ACLT_untreated_t7","R1","INJS3_R1_fastqc.zip",15479722,0,"50",50
"INJS4_R1","INJS4","ACLT_untreated_t7","R1","INJS4_R1_fastqc.zip",11395236,0,"50",50
"INJS5_R1","INJS5","ACLT_untreated_t7","R1","INJS5_R1_fastqc.zip",15945383,0,"50",51
"INJS6_R1","INJS6","ACLT_untreated_t7","R1","INJS6_R1_fastqc.zip",9714098,0,"50",51
"INJL1_R1","INJL1","ACLT_untreated_t28","R1","INJL1_R1_fastqc.zip",14071395,0,"50",49
"INJL2_R1","INJL2","ACLT_untreated_t28","R1","INJL2_R1_fastqc.zip",12287052,0,"50",48
"INJL3_R1","INJL3","ACLT_untreated_t28","R1","INJL3_R1_fastqc.zip",15410230,0,"50",48
"INJL4_R1","INJL4","ACLT_untreated_t28","R1","INJL4_R1_fastqc.zip",17903438,0,"50",49
"INJL5_R1","INJL5","ACLT_untreated_t28","R1","INJL5_R1_fastqc.zip",15491146,0,"50",48
"INJL6_R1","INJL6","ACLT_untreated_t28","R1","INJL6_R1_fastqc.zip",12223978,0,"50",48
"CON1_R2","CON1","CON_t0","R2","CON1_R2_fastqc.zip",15323981,0,"50",49
"CON2_R2","CON2","CON_t0","R2","CON2_R2_fastqc.zip",11663160,0,"50",50
"CON3_R2","CON3","CON_t0","R2","CON3_R2_fastqc.zip",18546356,0,"50",50
"CON4_R2","CON4","CON_t0","R2","CON4_R2_fastqc.zip",19476871,0,"50",50
"CON5_R2","CON5","CON_t0","R2","CON5_R2_fastqc.zip",25325474,0,"50",50
"CON6_R2","CON6","CON_t0","R2","CON6_R2_fastqc.zip",13948648,0,"50",50
"INJS1_R2","INJS1","ACLT_untreated_t7","R2","INJS1_R2_fastqc.zip",18282532,0,"50",49
"INJS2_R2","INJS2","ACLT_untreated_t7","R2","INJS2_R2_fastqc.zip",17594194,0,"50",50
"INJS3_R2","INJS3","ACLT_untreated_t7","R2","INJS3_R2_fastqc.zip",15479722,0,"50",50
"INJS4_R2","INJS4","ACLT_untreated_t7","R2","INJS4_R2_fastqc.zip",11395236,0,"50",50
"INJS5_R2","INJS5","ACLT_untreated_t7","R2","INJS5_R2_fastqc.zip",15945383,0,"50",51
"INJS6_R2","INJS6","ACLT_untreated_t7","R2","INJS6_R2_fastqc.zip",9714098,0,"50",51
"INJL1_R2","INJL1","ACLT_untreated_t28","R2","INJL1_R2_fastqc.zip",14071395,0,"50",50
"INJL2_R2","INJL2","ACLT_untreated_t28","R2","INJL2_R2_fastqc.zip",12287052,0,"50",48
"INJL3_R2","INJL3","ACLT_untreated_t28","R2","INJL3_R2_fastqc.zip",15410230,0,"50",48
"INJL4_R2","INJL4","ACLT_untreated_t28","R2","INJL4_R2_fastqc.zip",17903438,0,"50",49
"INJL5_R2","INJL5","ACLT_untreated_t28","R2","INJL5_R2_fastqc.zip",15491146,0,"50",48
"INJL6_R2","INJL6","ACLT_untreated_t28","R2","INJL6_R2_fastqc.zip",12223978,0,"50",48
