"fastq_stub","sample_id","core_group","read_label","fastq_zip","module_name","status"
"CON1_R1","CON1","CON_t0","R1","CON1_R1_fastqc.zip","Basic Statistics","PASS"
"CON1_R1","CON1","CON_t0","R1","CON1_R1_fastqc.zip","Per base sequence quality","PASS"
"CON1_R1","CON1","CON_t0","R1","CON1_R1_fastqc.zip","Per tile sequence quality","PASS"
"CON1_R1","CON1","CON_t0","R1","CON1_R1_fastqc.zip","Per sequence quality scores","PASS"
"CON1_R1","CON1","CON_t0","R1","CON1_R1_fastqc.zip","Per base sequence content","FAIL"
"CON1_R1","CON1","CON_t0","R1","CON1_R1_fastqc.zip","Per sequence GC content","PASS"
"CON1_R1","CON1","CON_t0","R1","CON1_R1_fastqc.zip","Per base N content","PASS"
"CON1_R1","CON1","CON_t0","R1","CON1_R1_fastqc.zip","Sequence Length Distribution","PASS"
"CON1_R1","CON1","CON_t0","R1","CON1_R1_fastqc.zip","Sequence Duplication Levels","FAIL"
"CON1_R1","CON1","CON_t0","R1","CON1_R1_fastqc.zip","Overrepresented sequences","WARN"
"CON1_R1","CON1","CON_t0","R1","CON1_R1_fastqc.zip","Adapter Content","PASS"
"CON2_R1","CON2","CON_t0","R1","CON2_R1_fastqc.zip","Per tile sequence quality","WARN"
"CON2_R1","CON2","CON_t0","R1","CON2_R1_fastqc.zip","Per sequence quality scores","PASS"
"CON2_R1","CON2","CON_t0","R1","CON2_R1_fastqc.zip","Per base sequence content","FAIL"
"CON2_R1","CON2","CON_t0","R1","CON2_R1_fastqc.zip","Per sequence GC content","PASS"
"CON2_R1","CON2","CON_t0","R1","CON2_R1_fastqc.zip","Per base N content","PASS"
"CON2_R1","CON2","CON_t0","R1","CON2_R1_fastqc.zip","Sequence Length Distribution","PASS"
"CON2_R1","CON2","CON_t0","R1","CON2_R1_fastqc.zip","Sequence Duplication Levels","FAIL"
"CON2_R1","CON2","CON_t0","R1","CON2_R1_fastqc.zip","Overrepresented sequences","WARN"
"CON2_R1","CON2","CON_t0","R1","CON2_R1_fastqc.zip","Adapter Content","PASS"
