"comparison","score","n_control","n_case","median_control","median_case","mean_control","mean_case","median_difference_case_minus_control","mean_difference_case_minus_control","wilcox_p_value","BH_FDR_across_all_score_comparisons"
"ACLT_t7_vs_Control","directional_score",6,6,-0.565306561140488,0.40506458220787,-0.548723052189898,0.405725684672596,0.970371143348358,0.954448736862494,0.00507486809794025,0.00507486809794025
"ACLT_t28_vs_Control","directional_score",6,6,-0.565306561140488,0.126164511817836,-0.548723052189898,0.142997367517302,0.691471072958324,0.6917204197072,0.00507486809794025,0.00507486809794025
"ACLT_t7_vs_Control","directional_score_sum_means",6,6,-1.05397908782406,0.540894982583442,-1.10090234227953,0.545019553085995,1.5948740704075,1.64592189536552,0.00507486809794025,0.00507486809794025
"ACLT_t28_vs_Control","directional_score_sum_means",6,6,-1.05397908782406,0.40538336277508,-1.10090234227953,0.55588278919353,1.45936245059914,1.65678513147306,0.00507486809794025,0.00507486809794025
"ACLT_t7_vs_Control","up_score",6,6,-0.558419475577696,0.480822530716733,-0.548094645299038,0.454167833083359,1.03924200629443,1.0022624783824,0.00507486809794025,0.00507486809794025
"ACLT_t28_vs_Control","up_score",6,6,-0.558419475577696,0.100277714179636,-0.548094645299038,0.0939268122156792,0.658697189757332,0.642021457514717,0.00507486809794025,0.00507486809794025
"ACLT_t7_vs_Control","down_score_reoriented",6,6,-0.585003981526572,0.061136947101413,-0.552807696980488,0.0908517200026365,0.646140928627985,0.643659416983125,0.00507486809794025,0.00507486809794025
"ACLT_t28_vs_Control","down_score_reoriented",6,6,-0.585003981526572,0.326990190170463,-0.552807696980488,0.461955976977851,0.911994171697035,1.01476367395834,0.00507486809794025,0.00507486809794025
"ACLT_t7_vs_Control","down_score_raw",6,6,0.585003981526572,-0.061136947101413,0.552807696980488,-0.0908517200026365,-0.646140928627985,-0.643659416983125,0.00507486809794025,0.00507486809794025
"ACLT_t28_vs_Control","down_score_raw",6,6,0.585003981526572,-0.326990190170463,0.552807696980488,-0.461955976977851,-0.911994171697035,-1.01476367395834,0.00507486809794025,0.00507486809794025
"ACLT_t7_vs_Control","total_score_unoriented",6,6,-0.407797457786383,0.414309919141163,-0.401307666328435,0.38149855933856,0.822107376927546,0.782806225666994,0.00507486809794025,0.00507486809794025
"ACLT_t28_vs_Control","total_score_unoriented",6,6,-0.407797457786383,0.0234004426894988,-0.401307666328435,0.0198091069898752,0.431197900475881,0.42111677331831,0.00507486809794025,0.00507486809794025
