"source_table","gene_id","gene_symbol"
"t7","ENSSSCG00000028996","ALDH1A1"
"t7","ENSSSCG00000005267","ANXA1"
"t7","ENSSSCG00000005269","TRPM6"
"t7","ENSSSCG00000031382","C9orf40"
"t7","ENSSSCG00000005271","CARNMT1"
"t7","ENSSSCG00000005272","NMRK1"
"t7","ENSSSCG00000005273","OSTF1"
"t7","ENSSSCG00000023520","PCSK5"
"t7","ENSSSCG00000057774","ENSSSCG00000057774"
"t7","ENSSSCG00000037277","RFK"
"t7","ENSSSCG00000005277","GCNT1"
"t7","ENSSSCG00000004349","COQ3"
"t7","ENSSSCG00000004272","LMBRD1"
"t7","ENSSSCG00000037594","PNISR"
"t7","ENSSSCG00000004261","ENSSSCG00000004261"
"t7","ENSSSCG00000004351","USP45"
"t7","ENSSSCG00000004262","KPNA5"
"t7","ENSSSCG00000038757","ENSSSCG00000038757"
"t7","ENSSSCG00000004353","CCNC"
"t7","ENSSSCG00000005284","GNA14"
"t7","ENSSSCG00000004263","ZUP1"
"t7","ENSSSCG00000021802","ABHD17B"
"t7","ENSSSCG00000031105","C9orf85"
"t7","ENSSSCG00000004355","ENSSSCG00000004355"
"t7","ENSSSCG00000023834","RSPH4A"
"t7","ENSSSCG00000031854","ENSSSCG00000031854"
"t7","ENSSSCG00000025941","PTP4A1"
"t7","ENSSSCG00000030268","ZFAND5"
"t7","ENSSSCG00000027002","KLHL32"
"t7","ENSSSCG00000005288","TLE4"
"t7","ENSSSCG00000035934","TXNDC16"
"t7","ENSSSCG00000004241","GJA1"
"t7","ENSSSCG00000005037","ERO1A"
"t7","ENSSSCG00000004242","TBC1D32"
"t7","ENSSSCG00000005291","TLE1"
"t7","ENSSSCG00000005038","PSMC6"
"t7","ENSSSCG00000033763","GNAQ"
"t7","ENSSSCG00000004344","MMS22L"
"t7","ENSSSCG00000005286","CEP78"
"t7","ENSSSCG00000005039","STYX"
"t7","ENSSSCG00000005040","GNPNAT1"
"t7","ENSSSCG00000005287","PSAT1"
"t7","ENSSSCG00000005041","FERMT2"
"t7","ENSSSCG00000020885","NUS1"
"t7","ENSSSCG00000004253","GOPC"
"t7","ENSSSCG00000060009","ENSSSCG00000060009"
"t7","ENSSSCG00000004364","HACE1"
"t7","ENSSSCG00000005043","DDHD1"
"t7","ENSSSCG00000004254","DCBLD1"
"t7","ENSSSCG00000005045","BMP4"
"t7","ENSSSCG00000005047","CDKN3"
"t7","ENSSSCG00000004366","POPDC1"
"t7","ENSSSCG00000027256","CNIH1"
"t7","ENSSSCG00000004368","PREP"
"t7","ENSSSCG00000026294","GMFB"
"t7","ENSSSCG00000035648","MANEA"
"t7","ENSSSCG00000038522","FAM162B"
"t7","ENSSSCG00000035259","PHF3"
"t7","ENSSSCG00000021451","CGRRF1"
"t7","ENSSSCG00000038507","RPS29"
"t7","ENSSSCG00000004339","UFL1"
"t7","ENSSSCG00000005004","LRR1"
"t7","ENSSSCG00000004347","FBXL4"
"t7","ENSSSCG00000005006","RPL36AL"
"t7","ENSSSCG00000004275","FAM135A"
"t7","ENSSSCG00000035611","MGAT2"
"t7","ENSSSCG00000058931","DNAAF2"
"t7","ENSSSCG00000005008","POLE2"
"t7","ENSSSCG00000004358","ASCC3"
"t7","ENSSSCG00000032489","KLHDC1"
"t7","ENSSSCG00000004990","LRFN5"
"t7","ENSSSCG00000004340","FHL5"
"t7","ENSSSCG00000058693","ENSSSCG00000058693"
"t7","ENSSSCG00000005009","KLHDC2"
"t7","ENSSSCG00000035240","GPR63"
"t7","ENSSSCG00000005011","NEMF"
"t7","ENSSSCG00000032312","RAB11A"
"t7","ENSSSCG00000004342","NDUFAF4"
"t7","ENSSSCG00000005012","ARF6"
"t7","ENSSSCG00000005029","RTRAF"
"t7","ENSSSCG00000005030","NID2"
"t7","ENSSSCG00000046110","ENSSSCG00000046110"
"t7","ENSSSCG00000021862","PTGER2"
"t7","ENSSSCG00000005027","FRMD6"
"t7","ENSSSCG00000028092","ENSSSCG00000028092"
"t7","ENSSSCG00000004941","DIS3L"
"t7","ENSSSCG00000004942","TIPIN"
"t7","ENSSSCG00000004943","MAP2K1"
"t7","ENSSSCG00000036735","VCPKMT"
"t7","ENSSSCG00000005015","SOS2"
"t7","ENSSSCG00000005016","L2HGDH"
"t7","ENSSSCG00000031354","DMAC2L"
"t7","ENSSSCG00000038941","SNAPC5"
"t7","ENSSSCG00000004945","RPL4"
"t7","ENSSSCG00000005787","CTDP1"
"t7","ENSSSCG00000034516","CDKL1"
"t7","ENSSSCG00000036634","MAP4K5"
"t7","ENSSSCG00000005785","PCSK6"
"t7","ENSSSCG00000004946","ZWILCH"
"t7","ENSSSCG00000005020","ATL1"
"t7","ENSSSCG00000005786","SNRPA1"
"t7","ENSSSCG00000004948","SMAD6"
"t7","ENSSSCG00000004971","TLE3"
"t7","ENSSSCG00000005021","SAV1"
"t7","ENSSSCG00000038767","MBP"
"t7","ENSSSCG00000004963","ENSSSCG00000004963"
"t7","ENSSSCG00000005022","NIN"
"t7","ENSSSCG00000004966","NOX5"
"t7","ENSSSCG00000026078","GLCE"
"t7","ENSSSCG00000004968","PAQR5"
"t7","ENSSSCG00000005024","PYGL"
"t7","ENSSSCG00000004969","KIF23"
"t7","ENSSSCG00000004970","RPLP1"
"t7","ENSSSCG00000023533","ZNF236"
"t7","ENSSSCG00000004952","SMAD3"
"t7","ENSSSCG00000005023","ABHD12B"
"t7","ENSSSCG00000004859","ZNF516"
"t7","ENSSSCG00000005025","TRIM9"
"t7","ENSSSCG00000004856","NFATC1"
"t7","ENSSSCG00000004951","AAGAB"
"t7","ENSSSCG00000038422","TMX1"
"t7","ENSSSCG00000004954","C15orf61"
"t7","ENSSSCG00000004955","MAP2K5"
"t7","ENSSSCG00000030679","DORIP1"
"t7","ENSSSCG00000004996","KLHL28"
"t7","ENSSSCG00000027765","TOGARAM1"
"t7","ENSSSCG00000004857","ATP9B"
"t7","ENSSSCG00000004997","PRPF39"
"t7","ENSSSCG00000021217","FKBP3"
"t7","ENSSSCG00000004958","PIAS1"
"t7","ENSSSCG00000040521","ENSSSCG00000040521"
"t7","ENSSSCG00000005000","FANCM"
"t7","ENSSSCG00000026517","CALML4"
"t7","ENSSSCG00000004957","CLN6"
"t7","ENSSSCG00000004861","TSHZ1"
"t7","ENSSSCG00000032488","PTGR3"
"t7","ENSSSCG00000053589","ENSSSCG00000053589"
"t7","ENSSSCG00000004999","MIS18BP1"
"t7","ENSSSCG00000063467","ENSSSCG00000063467"
"t7","ENSSSCG00000022419","FEM1B"
"t7","ENSSSCG00000004961","ITGA11"
"t7","ENSSSCG00000004962","CORO2B"
"t7","ENSSSCG00000043563","ENSSSCG00000043563"
"t7","ENSSSCG00000063081","ENSSSCG00000063081"
"t7","ENSSSCG00000056226","ENSSSCG00000056226"
"t7","ENSSSCG00000062074","Metazoa_SRP"
"t7","ENSSSCG00000004870","CNDP2"
"t7","ENSSSCG00000057267","Metazoa_SRP"
"t7","ENSSSCG00000059807","Metazoa_SRP"
"t7","ENSSSCG00000004973","UACA"
"t7","ENSSSCG00000004847","MPHOSPH10"
"t7","ENSSSCG00000035696","MCEE"
"t7","ENSSSCG00000004854","TJP1"
"t7","ENSSSCG00000004974","LARP6"
"t7","ENSSSCG00000004976","LRRC49"
"t7","ENSSSCG00000036984","GALR1"
"t7","ENSSSCG00000004980","THSD4"
"t7","ENSSSCG00000004875","CYB5A"
"t7","ENSSSCG00000037781","ENSSSCG00000037781"
"t7","ENSSSCG00000005781","TARS3"
"t7","ENSSSCG00000004979","MYO9A"
"t7","ENSSSCG00000025616","SENP8"
"t7","ENSSSCG00000026167","ENSSSCG00000026167"
"t7","ENSSSCG00000004985","GEMIN2"
"t7","ENSSSCG00000004844","MTMR10"
"t7","ENSSSCG00000004986","TRAPPC6B"
"t7","ENSSSCG00000004845","FAN1"
"t7","ENSSSCG00000022828","PNN"
"t7","ENSSSCG00000032494","TIMM21"
"t7","ENSSSCG00000004983","ENSSSCG00000004983"
"t7","ENSSSCG00000032214","SOCS6"
"t7","ENSSSCG00000032574","RTTN"
"t7","ENSSSCG00000028977","DOK6"
"t7","ENSSSCG00000005782","TM2D3"
"t7","ENSSSCG00000040252","ENSSSCG00000040252"
"t7","ENSSSCG00000038208","ENSSSCG00000038208"
"t7","ENSSSCG00000060600","ENSSSCG00000060600"
"t7","ENSSSCG00000004989","FBXO33"
"t7","ENSSSCG00000044382","ENSSSCG00000044382"
"t7","ENSSSCG00000053633","ENSSSCG00000053633"
"t7","ENSSSCG00000053742","ENSSSCG00000053742"
"t7","ENSSSCG00000056642","ENSSSCG00000056642"
"t7","ENSSSCG00000062224","ENSSSCG00000062224"
"t7","ENSSSCG00000004075","RGS17"
"t7","ENSSSCG00000004076","MTRF1L"
"t7","ENSSSCG00000004077","FBXO5"
"t7","ENSSSCG00000004101","LRP11"
"t7","ENSSSCG00000004103","PCMT1"
"t7","ENSSSCG00000004105","NUP43"
"t7","ENSSSCG00000004405","FIG4"
"t7","ENSSSCG00000004071","CNKSR3"
"t7","ENSSSCG00000046319","IPCEF1"
"t7","ENSSSCG00000026042","ULBP1"
"t7","ENSSSCG00000004113","STXBP5"
"t7","ENSSSCG00000004403","CDC40"
"t7","ENSSSCG00000004402","METTL24"
"t7","ENSSSCG00000004401","DDO"
"t7","ENSSSCG00000037803","MARCKS"
"t7","ENSSSCG00000004388","ARMC2"
"t7","ENSSSCG00000004390","SESN1"
"t7","ENSSSCG00000004114","ADGB"
"t7","ENSSSCG00000004391","CEP57L1"
"t7","ENSSSCG00000052303","RAB32"
"t7","ENSSSCG00000004415","ENSSSCG00000004415"
"t7","ENSSSCG00000004119","GRM1"
"t7","ENSSSCG00000004414","CD164"
"t7","ENSSSCG00000004120","SHPRH"
"t7","ENSSSCG00000004121","FBXO30"
"t7","ENSSSCG00000004408","SMPD2"
"t7","ENSSSCG00000004412","MICAL1"
"t7","ENSSSCG00000031536","MYCT1"
"t7","ENSSSCG00000004081","ENSSSCG00000004081"
"t7","ENSSSCG00000004411","ZBTB24"
"t7","ENSSSCG00000033392","SCML4"
"t7","ENSSSCG00000049158","ENSSSCG00000049158"
"t7","ENSSSCG00000004382","SEC63"
"t7","ENSSSCG00000004082","ENSSSCG00000004082"
"t7","ENSSSCG00000004383","OSTM1"
"t7","ENSSSCG00000004385","SNX3"
"t7","ENSSSCG00000040199","AFG1L"
"t7","ENSSSCG00000004387","FOXO3"
"t7","ENSSSCG00000025777","ESR1"
"t7","ENSSSCG00000004432","HDAC2"
"t7","ENSSSCG00000037424","CDK19"
"t7","ENSSSCG00000004392","ENSSSCG00000004392"
"t7","ENSSSCG00000004393","GTF3C6"
"t7","ENSSSCG00000004394","RPF2"
"t7","ENSSSCG00000041409","MFSD4B"
"t7","ENSSSCG00000025703","REV3L"
"t7","ENSSSCG00000004420","TRAF3IP2"
"t7","ENSSSCG00000004421","FYN"
"t7","ENSSSCG00000004423","TUBE1"
"t7","ENSSSCG00000004425","LAMA4"
"t7","ENSSSCG00000024361","TFB1M"
"t7","ENSSSCG00000004065","TIAM2"
"t7","ENSSSCG00000004070","SCAF8"
"t7","ENSSSCG00000004370","ATG5"
"t7","ENSSSCG00000026382","PPP2R5E"
"t7","ENSSSCG00000004106","LATS1"
"t7","ENSSSCG00000038554","PDCL"
"t7","ENSSSCG00000004104","KATNA1"
"t7","ENSSSCG00000004369","PRDM1"
"t7","ENSSSCG00000005575","RC3H2"
"t7","ENSSSCG00000022804","RHOJ"
"t7","ENSSSCG00000030067","GINM1"
"t7","ENSSSCG00000028867","PPIL4"
"t7","ENSSSCG00000004371","CRYBG1"
"t7","ENSSSCG00000004109","ZC3H12D"
"t7","ENSSSCG00000004110","TAB2"
"t7","ENSSSCG00000028974","UST"
"t7","ENSSSCG00000033175","SASH1"
"t7","ENSSSCG00000004373","RTN4IP1"
"t7","ENSSSCG00000048240","SAMD5"
"t7","ENSSSCG00000004374","QRSL1"
"t7","ENSSSCG00000056379","CD24"
"t7","ENSSSCG00000037985","MTRES1"
"t7","ENSSSCG00000034120","CDKN2B"
"t7","ENSSSCG00000031159","BEND3"
"t7","ENSSSCG00000036168","PDSS2"
"t7","ENSSSCG00000054729","ENSSSCG00000054729"
"t7","ENSSSCG00000004379","SOBP"
"t7","ENSSSCG00000005587","NEK6"
"t7","ENSSSCG00000037071","ENSSSCG00000037071"
"t7","ENSSSCG00000005590","PSMB7"
"t7","ENSSSCG00000053064","ENSSSCG00000053064"
"t7","ENSSSCG00000028558","SGPP1"
"t7","ENSSSCG00000005112","WDR89"
"t7","ENSSSCG00000005122","TEK"
"t7","ENSSSCG00000005589","NR6A1"
"t7","ENSSSCG00000061592","EPM2A"
"t7","ENSSSCG00000005593","OLFML2A"
"t7","ENSSSCG00000042842","ENSSSCG00000042842"
"t7","ENSSSCG00000005124","IFT74"
"t7","ENSSSCG00000034227","RPL35"
"t7","ENSSSCG00000005596","ARPC5L"
"t7","ENSSSCG00000005126","PLAA"
"t7","ENSSSCG00000005597","GOLGA1"
"t7","ENSSSCG00000005576","ZBTB6"
"t7","ENSSSCG00000032575","ZBTB26"
"t7","ENSSSCG00000022337","SERPINB11"
"t7","ENSSSCG00000020743","RABGAP1"
"t7","ENSSSCG00000005173","HAUS6"
"t7","ENSSSCG00000005582","STRBP"
"t7","ENSSSCG00000035941","DSEL"
"t7","ENSSSCG00000025744","KDSR"
"t7","ENSSSCG00000040366","ADAMTSL1"
"t7","ENSSSCG00000004896","PHLPP1"
