"contrast","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_size","leadingEdge_genes"
"ACLT_untreated_t28_vs_Control","HALLMARK_G2M_CHECKPOINT",6.83619539280502e-29,3.41809769640251e-27,1.39518713415833,0.663174953247231,2.93413411632138,184,85,"TPX2;CENPF;KIF23;KIF11;EZH2;CCNB2;NDC80;KIF2C;RACGAP1;TOP2A;UBE2C;STMN1;POLE;KIF4A;BUB1;KIF15;TTK;MYBL2;NUSAP1;GSPT1;NEK2;CENPE;PRC1;PLK4;CENPA;EXO1;POLQ;CDK1;SMC4;PBK;MCM2;KIF22;HSPA8;CDC20;E2F1;CDC7;MCM6;SMC1A;CCNA2;HMMR;ODF2;H2AZ1;LMNB1;CDC6;KPNB1;TROAP;SMARCC1;PRIM2;DDX39A;PLK1;HNRNPD;CCNF;G3BP1;CHAF1A;CKS2;HIF1A;STIL;SLC38A1;E2F2;SYNCRIP;ESPL1;HNRNPU;TRAIP;DBF4;MAPK14;MCM3;RAD54L;NCL;PAFAH1B1;FOXN3;MAD2L1;CBX1;NUP50;NOLC1;CHEK1;NASP;PRMT5;HUS1;E2F3;SAP30;AURKB;CUL1;SS18;CUL3;RBL1"
"ACLT_untreated_t28_vs_Control","HALLMARK_E2F_TARGETS",2.47573662580907e-23,6.18934156452268e-22,1.25451347943706,0.625430430156621,2.75715413505175,182,80,"EZH2;CCNB2;KIF2C;RACGAP1;TOP2A;STMN1;POLE;KIF4A;MELK;BUB1B;DLGAP5;SPC24;DEPDC1;CIT;MYBL2;GSPT1;CDCA8;CENPE;PLK4;ASF1B;DIAPH3;CBX5;CDK1;SPAG5;SMC4;DNMT1;MCM2;KIF22;CNOT9;CDC20;MCM4;MCM6;SMC1A;CTPS1;TK1;PRPS1;E2F8;HMMR;H2AZ1;LMNB1;PAN2;ZW10;PRIM2;TCF19;GINS1;CDCA3;DDX39A;PLK1;NCAPD2;KIF18B;HNRNPD;CKS2;SYNCRIP;ESPL1;DUT;PCNA;TIMELESS;NOP56;MTHFD2;TUBB;MCM3;EIF2S1;MAD2L1;DCLRE1B;NOLC1;SLBP;IPO7;CHEK1;SMC6;NASP;BRCA1;RAD51AP1;HUS1;XRCC6;RPA1;AURKB;SSRP1;ATAD2;DONSON;NUP153"
"ACLT_untreated_t28_vs_Control","HALLMARK_ADIPOGENESIS",1.70129076199196e-19,2.83548460331994e-18,1.14219120216838,-0.617686408060598,-2.4915283018688,175,82,"TST;SLC25A10;CD302;LIPE;TALDO1;ECH1;CYP4B1;CIDEA;RETSAT;MTARC2;BCKDHA;CD151;CAT;ACO2;LEP;GPX3;PPARG;LPL;FAH;SNCG;LTC4S;ADIG;APOE;PFKL;FABP4;CRAT;DHRS7B;ADIPOR2;IDH3G;ITIH5;TKT;ACADS;SLC1A5;EPHX2;MIGA2;NKIRAS1;DGAT1;COX8A;ACADL;ADIPOQ;SLC25A1;ABCB8;ALDOA;PEX14;ETFB;AGPAT3;MGLL;ELMOD3;HADH;ACAA2;ACLY;STOM;GBE1;STAT5A;ELOVL6;ESRRA;POR;PTGER3;SORBS1;NDUFB7;CYC1;ECHS1;DECR1;CCNG2;CDKN2C;SDHB;ITGA7;RMDN3;OMD;COL15A1;SLC5A6;SPARCL1;DHRS7;GHITM;UQCR10;APLP2;NABP1;RNF11;SAMM50;UQCR11;SOD1;DHCR7"
"ACLT_untreated_t28_vs_Control","HALLMARK_MYC_TARGETS_V1",6.15420203405356e-12,7.69275254256695e-11,0.887074988399873,0.510810890503785,2.22798356755626,176,87,"CDK2;GSPT1;TYMS;MCM2;CDC20;RRM1;TCP1;MCM4;MCM6;EPRS1;NCBP1;CTPS1;CCNA2;HDAC2;PSMD1;SF3B3;DDX18;EIF4G2;PPM1G;H2AZ1;KPNB1;DHX15;SMARCC1;CCT3;HNRNPD;G3BP1;STARD7;SYNCRIP;APEX1;DUT;PCNA;EIF3J;SRPK1;NOP56;HPRT1;HNRNPU;LDHA;ETF1;IMPDH2;EIF2S1;MAD2L1;XPOT;NOLC1;IARS1;FBL;NPM1;EIF4A1;HSP90AB1;EIF4E;PSMA4;PSMD7;ILF2;XRCC6;SNRPB2;CUL1;PSMD14;RFC4;HNRNPR;COX5A;HDGF;HNRNPA2B1;CCT7;EIF3B;CCT4;LSM2;EIF2S2;CSTF2;CDK4;PWP1;CCT2;RSL1D1;SSBP1;PSMD8;COPS5;TARDBP;DDX21;GNL3;SSB;SNRPA1;PSMA1;NAP1L1;USP1;PSMA6;PSMA2;NME1;HSPD1;SNRPD1"
"ACLT_untreated_t28_vs_Control","HALLMARK_MITOTIC_SPINDLE",2.81093186203221e-11,2.81093186203221e-10,0.863415391606693,0.492037958539601,2.1691053498151,182,60,"TPX2;CENPF;KIF23;KIF11;CCNB2;NDC80;KIF2C;RACGAP1;TOP2A;KIF4A;ANLN;DLGAP5;KIF1B;BUB1;KIF15;TTK;NUSAP1;FARP1;NEK2;CENPE;PRC1;CDK1;SMC4;KIF22;PALLD;RANBP9;FSCN1;SMC1A;KNTC1;LMNB1;FGD6;PLK1;CEP192;CDK5RAP2;ESPL1;CKAP5;ARHGEF12;NET1;NIN;MYO1E;DLG1;MAPRE1;ARHGAP29;PAFAH1B1;PKD2;ABR;BCR;CDC42BPA;RAB3GAP1;ALS2;CDC42;LRPPRC;RABGAP1;KIF3C;ECT2;CAPZB;FBXO5;NCK2;VCL;KIF3B"
"ACLT_untreated_t28_vs_Control","HALLMARK_FATTY_ACID_METABOLISM",3.10364413441947e-08,2.58637011201622e-07,0.719512826338911,-0.53057035375688,-2.07465119995611,128,44,"FASN;AUH;ECH1;ALDH1A1;CIDEA;RETSAT;GPD1;ACAA1;ACO2;EPHX1;D2HGDH;LTC4S;ADH1C;HPGD;ALAD;CRAT;SDHA;ADIPOR2;IDH3G;ACOT8;GRHPR;ACADS;NTHL1;GABARAPL1;ACADL;DHCR24;MIF;ALDOA;MGLL;CBR3;GCDH;HSD17B10;HADH;ACAA2;MDH1;FMO1;MLYCD;GLUL;ELOVL5;ECHS1;PCBD1;INMT;PRDX6;DECR1"
"ACLT_untreated_t28_vs_Control","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",8.24423435696993e-06,5.8887388264071e-05,0.593325476396405,0.4680054642738,1.88347183009972,103,42,"ALDH18A1;PDIA5;EIF2AK3;TARS1;SEC31A;KDELR3;SRPRA;WIPI1;SRPRB;EDEM1;SLC30A5;HSPA5;NOP56;HSP90B1;MTHFD2;CALR;DNAJC3;SHC1;EIF2S1;STC2;EIF4G1;XPOT;MTREX;NOLC1;IARS1;NPM1;HYOU1;EIF4A1;ASNS;FKBP14;EIF4E;ATF6;CEBPG;GOSR2;XBP1;BAG3;CNOT2;YWHAZ;PAIP1;ATF4;ATF3;DNAJB9"
"ACLT_untreated_t28_vs_Control","HALLMARK_BILE_ACID_METABOLISM",1.46693540060391e-05,9.16834625377442e-05,0.593325476396405,-0.53634525185196,-1.91611421741477,74,38,"LIPE;ALDH1A1;RETSAT;ABCD2;CAT;ABCA6;RXRG;GSTK1;TFCP2L1;PEX16;FDXR;EPHX2;CYP8B1;HACL1;DHCR24;PEX11A;CH25H;PAOX;MLYCD;NR3C2;PEX11G;SLC29A1;NEDD4;ABCA3;RXRA;CYP27A1;RBP1;ABCD1;HSD17B4;LONP2;ACSL1;PEX6;ISOC1;SOD1;APOA1;ABCA1;PXMP2;NUDT12"
"ACLT_untreated_t28_vs_Control","HALLMARK_XENOBIOTIC_METABOLISM",2.11705205037161e-05,0.000100955103920329,0.575610261071129,-0.445212351885195,-1.7607558661599,144,41,"PC;ECH1;FBP1;RETSAT;ABCD2;NDRG2;CAT;ACO2;ESR1;EPHX1;FAH;ADH1C;APOE;RBP4;PTGR1;PTGDS;FBLN1;JUP;COMT;SLC1A5;CSAD;ATOH8;PINK1;HACL1;GABARAPL1;DDAH2;MPP2;HSD11B1;PPARD;ASL;CES1;PGD;DHRS1;CYB5A;POR;PDK4;FMO1;MCCC2;ACOX3;PTGES;ELOVL5"
"ACLT_untreated_t28_vs_Control","HALLMARK_OXIDATIVE_PHOSPHORYLATION",2.22077661531406e-05,0.000100955103920329,0.575610261071129,-0.427575866468721,-1.71671649018491,171,52,"ECH1;RETSAT;ALDH6A1;BCKDHA;ACAA1;ACO2;CYB5R3;NDUFV1;SDHA;ACAT1;IDH3G;POLR2F;TIMM13;NDUFS8;COX17;COX8A;SLC25A4;NQO2;NDUFC2;ETFB;NDUFS6;ACADSB;HSD17B10;SLC25A6;ACAA2;RHOT2;LDHB;CYB5A;COX4I1;TIMM50;POR;NDUFB7;PDK4;MDH1;CYC1;ECHS1;DECR1;ACADVL;SDHB;SURF1;PMPCA;MRPL11;TIMM10;UQCR10;TCIRG1;UQCR11;MFN2;SLC25A20;MAOB;SDHD;ATP5F1D;ATP6AP1"
