"metric","value"
"run_status","SUCCESS"
"method_version","2026-05-10_unified_with_mouse_limma_plotMDS_on_filtered_TMM_logCPM"
"input_count_file","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step16_pig_early_gene_count_matrix.csv"
"output_root","E:/R/ACLsenescence2/rebuild_submission/supplementary files/MDS_PCA"
"genes_before_filterByExpr","35682"
"genes_after_filterByExpr","14528"
"samples","18"
"groups","Control 6; ACLT_1W 6; ACLT_4W 6"
"PCA_PC1_percent","40.599463"
"PCA_PC2_percent","14.883294"
"MDS_function","limma::plotMDS"
"MDS_input","filtered TMM-normalized logCPM matrix"
"MDS1_min","-2.152751"
"MDS1_max","1.296845"
"MDS2_min","-1.102859"
"MDS2_max","1.538037"
