"human_gene","mouse_symbol","pig_ensg","pig_symbol","display_label","CellAgeEffect","MouseDirection","signature_direction","logFC_t7","FDR_t7","logFC_t28","FDR_t28"
"FASN","Fasn","ENSSSCG00000029944","FASN","FASN","Induces","mouse_persistent_down","Down_in_ACLR",-2.11335923479361,0.00049432565382288,-3.93438919616112,1.06091599449159e-07
"PPARG","Pparg","ENSSSCG00000011579","PPARG","PPARG","Induces","mouse_persistent_down","Down_in_ACLR",-1.32803948782831,0.00102288316085326,-2.32516327226555,3.36152892031537e-05
"CBS","Cbs","ENSSSCG00000040779","CBS","CBS","Inhibits","mouse_persistent_down","Down_in_ACLR",-1.90185520443841,0.00065260902376208,-3.10967599997306,9.92780064575908e-05
"ENTPD7","Entpd7","ENSSSCG00000010540","ENTPD7","ENTPD7","Induces","mouse_persistent_up","Up_in_ACLR",1.69711722280216,3.68507864270888e-05,1.49592603407905,1.34545236581242e-05
"HTRA1","Htra1","ENSSSCG00000010703","HTRA1","HTRA1","Induces","mouse_persistent_up","Up_in_ACLR",1.38324620297755,2.03369399939661e-05,1.26838363749646,2.42851886815376e-05
"RUNX1","Runx1","ENSSSCG00000035537","RUNX1","RUNX1","Induces","mouse_persistent_up","Up_in_ACLR",1.44010405735748,1.41340669234028e-07,1.27726284497767,4.7827886737247e-05
"SERPINE1","Serpine1","ENSSSCG00000025698","SERPINE1","SERPINE1","Induces","mouse_persistent_up","Up_in_ACLR",1.26079781932353,0.00725371820336933,1.38354111428215,0.00573474356154244
"SPARC","Sparc","ENSSSCG00000017082","SPARC","SPARC","Induces","mouse_persistent_up","Up_in_ACLR",1.20599523778218,0.00721379597953646,1.57523387011931,0.00322912664047333
"TNFSF15","Tnfsf15","ENSSSCG00000059646","TNFSF15","TNFSF15","Induces","mouse_persistent_up","Up_in_ACLR",1.83980848479403,0.00302391433645599,1.44219200772203,0.0093333371615686
"BUB1","Bub1","ENSSSCG00000030469","BUB1","BUB1","Inhibits","mouse_persistent_up","Up_in_ACLR",3.87971042998679,1.41340669234028e-07,2.45883014733721,1.34545236581242e-05
"CCNB1","Ccnb1","ENSSSCG00000029326","CCNB1","CCNB1","Inhibits","mouse_persistent_up","Up_in_ACLR",3.80515840193898,1.25322573506889e-07,2.06775577525202,1.03233083135308e-05
"CDK1","Cdk1","ENSSSCG00000010214","CDK1","CDK1","Inhibits","mouse_persistent_up","Up_in_ACLR",3.17604242313264,3.27654035012505e-06,2.05989073921791,7.55721609573525e-05
"CKAP2","Ckap2","ENSSSCG00000009378","CKAP2","CKAP2","Inhibits","mouse_persistent_up","Up_in_ACLR",3.33635908990424,3.24074321224677e-07,1.99555379017516,1.5817030540956e-05
"ESPL1","Espl1","ENSSSCG00000000265","ESPL1","ESPL1","Inhibits","mouse_persistent_up","Up_in_ACLR",3.29301698734378,1.55994918383073e-06,1.61217784344404,0.00162603956334648
"FOXM1","Foxm1","ENSSSCG00000000739","FOXM1","FOXM1","Inhibits","mouse_persistent_up","Up_in_ACLR",3.53286352020827,2.26066274387991e-07,1.87395580781465,4.00556327501011e-05
"HIF1A","Hif1a","ENSSSCG00000005096","HIF1A","HIF1A","Inhibits","mouse_persistent_up","Up_in_ACLR",1.05807934418567,0.00029484825614196,1.06183387481544,0.00126239682835386
"KIF20A","Kif20a","ENSSSCG00000014326","KIF20A","KIF20A","Inhibits","mouse_persistent_up","Up_in_ACLR",3.8700991239235,1.21681225350676e-07,2.2157709885697,2.42713315254106e-06
"KIF2C","Kif2c","ENSSSCG00000003931","KIF2C","KIF2C","Inhibits","mouse_persistent_up","Up_in_ACLR",3.31221763120426,1.21681225350676e-07,1.72667551490605,4.96274133919848e-06
"KIFC1","Kifc1","ENSSSCG00000001510","KIFC1","KIFC1","Inhibits","mouse_persistent_up","Up_in_ACLR",2.65577022353052,7.38049292651301e-06,1.22110417734671,0.00129936141150827
"LOXL2","Loxl2","ENSSSCG00000033608","LOXL2","LOXL2","Inhibits","mouse_persistent_up","Up_in_ACLR",2.12018298801253,0.00100563968739539,1.8872682874862,0.00378460552451348
"NEK2","Nek2","ENSSSCG00000015604","NEK2","NEK2","Inhibits","mouse_persistent_up","Up_in_ACLR",3.85946410782591,7.31619453341638e-07,2.37313673262235,4.75786081464677e-05
"RACGAP1","Racgap1","ENSSSCG00000000217","RACGAP1","RACGAP1","Inhibits","mouse_persistent_up","Up_in_ACLR",2.84331217989306,1.41340669234028e-07,1.85853794445168,5.69246947131979e-06
"SDC1","Sdc1","ENSSSCG00000008601","SDC1","SDC1","Inhibits","mouse_persistent_up","Up_in_ACLR",1.35015724484158,0.0146761235772365,1.10085489783246,0.0403917692795641
"TTK","Ttk","ENSSSCG00000004466","TTK","TTK","Inhibits","mouse_persistent_up","Up_in_ACLR",3.762634911504,1.70667489086752e-07,2.53557585115691,1.80154818216694e-05
