"target_name","source","copied","size_bytes","contains_expected_keyword","note"
"01_step09_pig_early_core_fastq_input_freeze.R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/scripts/F step09_pig_early_core_fastq_input_freeze.txt",TRUE,11761,TRUE,"ok"
"02_step10J_run_fastqc_on_pig_early_core_fastq.R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/scripts/G step10J_run_fastqc_on_pig_early_core_fastq.txt",TRUE,12783,TRUE,"ok"
"03_step11_summarize_fastqc_reports.R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/scripts/H step11_summarize_fastqc_reports.txt",TRUE,13574,TRUE,"ok"
"04_step12_fastqc_trimming_decision.R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/scripts/I step12_fastqc_trimming_decision.txt",TRUE,13656,TRUE,"ok"
"05_step13_freeze_pig_early_reference_inputs.R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/scripts/J step13_freeze_pig_early_reference_inputs.R",TRUE,12824,TRUE,"ok"
"06_step14_canonicalize_pig_early_reference_and_index.R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/scripts/K step14_canonicalize_pig_early_reference_and_index.txt",TRUE,10800,TRUE,"ok"
"07_step15K_run_pig_early_alignment_batch_cleanpath.R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/scripts/L step15K_run_pig_early_alignment_batch_cleanpath.R",TRUE,13685,TRUE,"ok"
"08_step16_run_pig_early_featurecounts_v3.R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/supplement/strandSpecific_comparison√/logs/StepSTRAND_01_pig_early_strandSpecific_featureCounts_comparison_summary_log.txt",TRUE,149852,TRUE,"ok"
"09_stepALNQC_01_alignment_level_QC_to_supplement.R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/scripts/M step16_pig_early_stepALNQC_01_alignment_level_QC_to_supplement.R",TRUE,20826,TRUE,"ok"
"10_stepSTRAND_01_strandSpecific_featureCounts_comparison.R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/supplement/strandSpecific_comparison√/logs/StepSTRAND_01_pig_early_strandSpecific_featureCounts_comparison_summary_log.txt",TRUE,149852,TRUE,"ok"
"11_step17A_meta_audit_pig_early_batch_covariate_audit.R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/scripts/P step 17A_meta_audit_pig_early_batch_covariate_audit.R",TRUE,25028,TRUE,"ok"
"12_step17_run_pig_early_edgeR_QLF_DE.R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/scripts/Q step17_run_pig_early_edgeR_QLF_DE.R",TRUE,10046,TRUE,"ok"
"13_step18_current78_pig_early_signature_core_genes_structure.R","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step2_current78_signature_score_TMM_aligned/logs/chronic_step2_current78_TMM_aligned_signature_score_full_log.txt",TRUE,179896,TRUE,"ok"
"14_step19_current78_pig_signature_score_TMM_corrected.R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/scripts/S step19_current78_pig_signature_score_mouse_style_TMM_corrected.R",TRUE,32984,TRUE,"ok"
"15_step20_current78_pig_early_hallmark_gsea_symbol_only_v4.R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/scripts/T step20_current78_pig_early_hallmark_gsea_symbol_only_corrected_v4_zero_row_fix.R",TRUE,36574,TRUE,"ok"
"16_step21_current78_Figure4C_validation_flow_barplot.R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step21_current78_Figure4C_core_heatmap/logs/step21_current78_Figure4C_core_heatmap_full_log.txt",TRUE,49323,TRUE,"ok"
"17_step22_current78_Figure4D_core_heatmap_fullTMM.R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/scripts/V step22_current78_Figure4D_core_heatmap_step09_style_corrected_fullTMM_v3_step11C78.R",TRUE,23006,TRUE,"ok"
"18_step23_current78_singscore_sensitivity.R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/supplement/singscore_sensitivity√/logs/StepSINGSENS_01_pig_early_current78_singscore_sensitivity_summary_log.txt",TRUE,224117,TRUE,"ok"
"19_StepPCA_MDS_02_pig_early_unified_limma_MDS.R","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/scripts/X pig_early_stepPCA_MDS_02_unified_limma_MDS.R",TRUE,20902,TRUE,"ok"
