"item_id","required_class","category","role","basename_exact","required","status","search_mode","n_exact_candidates","source_selected","all_exact_candidates","destination","copied","size_bytes","md5","used_by","required_reason","preferred_rel"
"021","OPTIONAL","01_optional_cross_project_early_pig_alternative_core_inputs","step21_current78_pig_core_ortholog_gene_table.csv","step21_current78_pig_core_ortholog_gene_table.csv",FALSE,"COPIED","exact_basename_recursive",1,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step21_current78_Figure4C_core_heatmap/step21_current78_pig_core_ortholog_gene_table.csv","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step21_current78_Figure4C_core_heatmap/step21_current78_pig_core_ortholog_gene_table.csv","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/source_inputs/01_early_pig_inputs_optional_alternatives/step21_current78_pig_core_ortholog_gene_table.csv",TRUE,3342,"66c0473561ef15267a96a66467730573","Alternative accepted core-gene paths in J/J2","Optional copies of all acceptable core-gene candidates. The package still requires at least one valid fixed 24-core gene table through the required alternative-any group below.","rebuild_submission/02_pig_early/step21_current78_pig_core_ortholog_gene_table.csv"
"023","OPTIONAL","01_optional_cross_project_early_pig_alternative_core_inputs","step21_pig_core_ortholog_gene_table.csv","step21_pig_core_ortholog_gene_table.csv",FALSE,"COPIED","exact_basename_recursive",4,"E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/Figure5_current_input_audit/Step_C1/original_data/step21_pig_core_ortholog_gene_table.csv","E:/R/ACLsenescence2 LD/rebuild_submission/02_pig_early/tables/step21_pig_core_ortholog_gene_table.csv || E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/Figure5_current_input_audit/Step_C1/original_data/step21_pig_core_ortholog_gene_table.csv || E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/Figure5_current_reanalysis/Step_C4/original_data/step21_pig_core_ortholog_gene_table.csv || E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/submission/Figure5_current_reanalysis/Step_C4/original_data/step21_pig_core_ortholog_gene_table.csv","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/source_inputs/01_early_pig_inputs_optional_alternatives/step21_pig_core_ortholog_gene_table.csv",TRUE,12120,"35fd2b8637ff57d6c727d83533b98e10","Alternative accepted core-gene paths in J/J2","Optional copies of all acceptable core-gene candidates. The package still requires at least one valid fixed 24-core gene table through the required alternative-any group below.","rebuild_submission/02_pig_early/step21_pig_core_ortholog_gene_table.csv"
"030","OPTIONAL","02_optional_step23_data_source_QC_details","step23_pig_chronic_quant_level_QC_table_FIXED.csv","step23_pig_chronic_quant_level_QC_table_FIXED.csv",FALSE,"COPIED","exact_basename_recursive",1,"E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step23_pig_chronic_quant_level_QC_table_FIXED.csv","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step23_pig_chronic_quant_level_QC_table_FIXED.csv","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/optional_QC_audit/02_step23_quant_QC_details/step23_pig_chronic_quant_level_QC_table_FIXED.csv",TRUE,33655,"824c72bb8154e22d97404d1d3605fc7f","Detailed QC review only","Optional detailed QC/log files; absence does not block main figures or core reproduction if required summaries are present.","rebuild_submission/03_pig_chronic/step23_pig_chronic_quant_level_QC_table_FIXED.csv"
"031","OPTIONAL","02_optional_step23_data_source_QC_details","step23_pig_chronic_quant_level_QC_summary_to_send_me_FIXED.txt","step23_pig_chronic_quant_level_QC_summary_to_send_me_FIXED.txt",FALSE,"COPIED","exact_basename_recursive",1,"E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step23_pig_chronic_quant_level_QC_summary_to_send_me_FIXED.txt","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step23_pig_chronic_quant_level_QC_summary_to_send_me_FIXED.txt","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/optional_QC_audit/02_step23_quant_QC_details/step23_pig_chronic_quant_level_QC_summary_to_send_me_FIXED.txt",TRUE,1543,"6e4ad89a5d408c759ec0e7152b904f9c","Detailed QC review only","Optional detailed QC/log files; absence does not block main figures or core reproduction if required summaries are present.","rebuild_submission/03_pig_chronic/step23_pig_chronic_quant_level_QC_summary_to_send_me_FIXED.txt"
"032","OPTIONAL","02_optional_step23_data_source_QC_details","step23_pig_chronic_quant_level_QC_FIXED_log.txt","step23_pig_chronic_quant_level_QC_FIXED_log.txt",FALSE,"COPIED","exact_basename_recursive",1,"E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/logs/step23_pig_chronic_quant_level_QC_FIXED_log.txt","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/logs/step23_pig_chronic_quant_level_QC_FIXED_log.txt","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/optional_QC_audit/02_step23_quant_QC_details/step23_pig_chronic_quant_level_QC_FIXED_log.txt",TRUE,1543,"6e4ad89a5d408c759ec0e7152b904f9c","Detailed QC review only","Optional detailed QC/log files; absence does not block main figures or core reproduction if required summaries are present.","rebuild_submission/03_pig_chronic/step23_pig_chronic_quant_level_QC_FIXED_log.txt"
"033","OPTIONAL","02_optional_step23_data_source_QC_details","step23_pig_chronic_quant_level_QC_read_errors_FIXED.csv","step23_pig_chronic_quant_level_QC_read_errors_FIXED.csv",FALSE,"COPIED","exact_basename_recursive",1,"E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step23_pig_chronic_quant_level_QC_read_errors_FIXED.csv","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step23_pig_chronic_quant_level_QC_read_errors_FIXED.csv","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/optional_QC_audit/02_step23_quant_QC_details/step23_pig_chronic_quant_level_QC_read_errors_FIXED.csv",TRUE,140,"3f39550ae609c12b0fd1ac6b30055d1b","Detailed QC review only","Optional detailed QC/log files; absence does not block main figures or core reproduction if required summaries are present.","rebuild_submission/03_pig_chronic/step23_pig_chronic_quant_level_QC_read_errors_FIXED.csv"
"039","OPTIONAL","03_optional_step24_tximport_details","step24_pig_chronic_quant_inventory.csv","step24_pig_chronic_quant_inventory.csv",FALSE,"COPIED","preferred_exact_path",2,"E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_quant_inventory.csv","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_quant_inventory.csv || E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_quant_inventory.csv","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/optional_QC_audit/03_step24_tximport_details/step24_pig_chronic_quant_inventory.csv",TRUE,28306,"bfb3c07bc5d2d3db60424161656e0795","Detailed tximport audit","Optional because core matrices and tximport summary are already required.","rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_quant_inventory.csv"
"040","OPTIONAL","03_optional_step24_tximport_details","step24_pig_chronic_gene_annotation_from_gtf.csv","step24_pig_chronic_gene_annotation_from_gtf.csv",FALSE,"COPIED","preferred_exact_path",2,"E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_annotation_from_gtf.csv","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_annotation_from_gtf.csv || E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_annotation_from_gtf.csv","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/optional_QC_audit/03_step24_tximport_details/step24_pig_chronic_gene_annotation_from_gtf.csv",TRUE,1810252,"dd4af026b62269524d5a1d110847fd40","Detailed tximport audit","Optional because core matrices and tximport summary are already required.","rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_annotation_from_gtf.csv"
"041","OPTIONAL","03_optional_step24_tximport_details","step24_pig_chronic_tximport_log.txt","step24_pig_chronic_tximport_log.txt",FALSE,"COPIED","exact_basename_recursive",2,"E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/logs/step24_pig_chronic_tximport_log.txt","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/logs/step24_pig_chronic_tximport_log.txt || E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/logs/step24_pig_chronic_tximport_log.txt","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/optional_QC_audit/03_step24_tximport_details/step24_pig_chronic_tximport_log.txt",TRUE,394,"1363b267cfbe84dea6e086671fa55568","Detailed tximport audit","Optional because core matrices and tximport summary are already required.","rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_tximport_log.txt"
"049","OPTIONAL","04_optional_step25_intermediate_or_full_synovium_outputs","step25v2_pig_chronic_main_comparison_manifest.csv","step25v2_pig_chronic_main_comparison_manifest.csv",FALSE,"COPIED","preferred_exact_path",2,"E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/tables/step25v2_pig_chronic_main_comparison_manifest.csv","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step25v2_pig_chronic_main_comparison_manifest.csv || E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/tables/step25v2_pig_chronic_main_comparison_manifest.csv","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/optional_QC_audit/04_step25_intermediate_or_full_synovium_outputs/step25v2_pig_chronic_main_comparison_manifest.csv",TRUE,162,"044f6c32feb7ad10171e5f02ae55d001","Intermediate audit and full 48-synovium reference","Optional because the final 24-sample main-comparison files are the downstream analysis inputs.","rebuild_submission/03_pig_chronic/tables/step25v2_pig_chronic_main_comparison_manifest.csv"
