"item_id","required_class","category","role","basename_exact","required","status","search_mode","n_exact_candidates","source_selected","all_exact_candidates","destination","copied","size_bytes","md5","used_by","required_reason","preferred_rel"
"001","REQUIRED","00_scripts_final_reordered","Final reordered script A step23_pig_chronic_quant_level_QC_96_files_FIXED.R","A step23_pig_chronic_quant_level_QC_96_files_FIXED.R",TRUE,"COPIED","exact_basename_recursive",1,"E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/scripts/A step23_pig_chronic_quant_level_QC_96_files_FIXED.R","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/scripts/A step23_pig_chronic_quant_level_QC_96_files_FIXED.R","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/scripts/A step23_pig_chronic_quant_level_QC_96_files_FIXED.R",TRUE,15168,"c29886e10a867866099a5fcd1ba48e4b","Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"002","REQUIRED","00_scripts_final_reordered","Final reordered script B_step24v2_run_pig_chronic_tximport_from_confirmed_quant_v2_PATH_STANDARDIZED.R","B_step24v2_run_pig_chronic_tximport_from_confirmed_quant_v2_PATH_STANDARDIZED.R",TRUE,"COPIED","exact_basename_recursive",1,"E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/scripts/B_step24v2_run_pig_chronic_tximport_from_confirmed_quant_v2_PATH_STANDARDIZED.R","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/scripts/B_step24v2_run_pig_chronic_tximport_from_confirmed_quant_v2_PATH_STANDARDIZED.R","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/scripts/B_step24v2_run_pig_chronic_tximport_from_confirmed_quant_v2_PATH_STANDARDIZED.R",TRUE,10242,"f7b1755edde3ee59e21aa4ab45c40f7d","Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"003","REQUIRED","00_scripts_final_reordered","Final reordered script B2_pig_chronic_stepCHRONQC_01_Salmon_tximport_quantification_audit_TMM_aligned_metadata.R","B2_pig_chronic_stepCHRONQC_01_Salmon_tximport_quantification_audit_TMM_aligned_metadata.R",TRUE,"COPIED","exact_basename_recursive",1,"E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/scripts/B2_pig_chronic_stepCHRONQC_01_Salmon_tximport_quantification_audit_TMM_aligned_metadata.R","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/scripts/B2_pig_chronic_stepCHRONQC_01_Salmon_tximport_quantification_audit_TMM_aligned_metadata.R","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/scripts/B2_pig_chronic_stepCHRONQC_01_Salmon_tximport_quantification_audit_TMM_aligned_metadata.R",TRUE,28925,"ee930d77c9f0c4d8a0e8ccd465f4be16","Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"004","REQUIRED","00_scripts_final_reordered","Final reordered script C step24v3_clean_tximport_gene_level_matrix_audit.R","C step24v3_clean_tximport_gene_level_matrix_audit.R",TRUE,"COPIED","exact_basename_recursive",1,"E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/scripts/C step24v3_clean_tximport_gene_level_matrix_audit.R","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/scripts/C step24v3_clean_tximport_gene_level_matrix_audit.R","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/scripts/C step24v3_clean_tximport_gene_level_matrix_audit.R",TRUE,33257,"6d088b9a1d99b90639aecbf92f8bbc90","Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"005","REQUIRED","00_scripts_final_reordered","Final reordered script C2_rewritten_StepCHRONLOCK_01_lock_synovium_only_48_matrices_STEP25v3_manifest_locked.R","C2_rewritten_StepCHRONLOCK_01_lock_synovium_only_48_matrices_STEP25v3_manifest_locked.R",TRUE,"COPIED","exact_basename_recursive",1,"E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/scripts/C2_rewritten_StepCHRONLOCK_01_lock_synovium_only_48_matrices_STEP25v3_manifest_locked.R","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/scripts/C2_rewritten_StepCHRONLOCK_01_lock_synovium_only_48_matrices_STEP25v3_manifest_locked.R","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/scripts/C2_rewritten_StepCHRONLOCK_01_lock_synovium_only_48_matrices_STEP25v3_manifest_locked.R",TRUE,29915,"560885a582e0c3b4bc4037cc4e03ddbb","Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"006","REQUIRED","00_scripts_final_reordered","Final reordered script C3 pig_chronic_stepCHRONMDS_01_main24_PCA_MDS.R","C3 pig_chronic_stepCHRONMDS_01_main24_PCA_MDS.R",TRUE,"COPIED","exact_basename_recursive",1,"E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/scripts/C3 pig_chronic_stepCHRONMDS_01_main24_PCA_MDS.R","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/scripts/C3 pig_chronic_stepCHRONMDS_01_main24_PCA_MDS.R","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/scripts/C3 pig_chronic_stepCHRONMDS_01_main24_PCA_MDS.R",TRUE,19371,"a8ec7b57364d40e9d7ea411b15837e5a","Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"007","REQUIRED","00_scripts_final_reordered","Final reordered script D step25v2_run_rebuild_pig_chronic_manifests_and_subsets.R","D step25v2_run_rebuild_pig_chronic_manifests_and_subsets.R",TRUE,"COPIED","exact_basename_recursive",1,"E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/scripts/D step25v2_run_rebuild_pig_chronic_manifests_and_subsets.R","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/scripts/D step25v2_run_rebuild_pig_chronic_manifests_and_subsets.R","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/scripts/D step25v2_run_rebuild_pig_chronic_manifests_and_subsets.R",TRUE,13711,"434cbbfdb60bcb66bac79c00493bcb6c","Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"008","REQUIRED","00_scripts_final_reordered","Final reordered script E step25v3_run_rebuild_pig_chronic_manifests_and_subsets.R","E step25v3_run_rebuild_pig_chronic_manifests_and_subsets.R",TRUE,"COPIED","exact_basename_recursive",1,"E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/scripts/E step25v3_run_rebuild_pig_chronic_manifests_and_subsets.R","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/scripts/E step25v3_run_rebuild_pig_chronic_manifests_and_subsets.R","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/scripts/E step25v3_run_rebuild_pig_chronic_manifests_and_subsets.R",TRUE,7355,"f78508f1cd4a7f41ba551b084b530685","Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"009","REQUIRED","00_scripts_final_reordered","Final reordered script F step22_pig_chronic_methods_12_1_data_source_sample_annotation_archive.R","F step22_pig_chronic_methods_12_1_data_source_sample_annotation_archive.R",TRUE,"COPIED","exact_basename_recursive",1,"E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/scripts/F step22_pig_chronic_methods_12_1_data_source_sample_annotation_archive.R","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/scripts/F step22_pig_chronic_methods_12_1_data_source_sample_annotation_archive.R","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/scripts/F step22_pig_chronic_methods_12_1_data_source_sample_annotation_archive.R",TRUE,19450,"e64c2ad6c01b9204fe1618c7e3ff52f1","Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"010","REQUIRED","00_scripts_final_reordered","Final reordered script G chronic_step2_current78_TMM_aligned_signature_score.R","G chronic_step2_current78_TMM_aligned_signature_score.R",TRUE,"COPIED","exact_basename_recursive",1,"E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/scripts/G chronic_step2_current78_TMM_aligned_signature_score.R","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/scripts/G chronic_step2_current78_TMM_aligned_signature_score.R","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/scripts/G chronic_step2_current78_TMM_aligned_signature_score.R",TRUE,31909,"220b3c343d9173d97f00096386479c88","Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
