"item_id","required_class","category","role","basename_exact","required","status","search_mode","n_exact_candidates","source_selected","all_exact_candidates","destination","copied","size_bytes","md5","used_by","required_reason","preferred_rel"
"017","REQUIRED","01_required_cross_project_early_pig_inputs","step18_current78_pig_signature_gene_table.csv","step18_current78_pig_signature_gene_table.csv",TRUE,"COPIED","exact_basename_recursive",2,"E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step18_current78_pig_early_signature_remap/step18_current78_pig_signature_gene_table.csv","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step18_current78_pig_early_signature_remap/step18_current78_pig_signature_gene_table.csv || E:/R/ACLsenescence2/rebuild_submission/check/step18_current78_human_to_pig_signature_audit/step18_current78_pig_signature_gene_table.csv","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/source_inputs/01_early_pig_inputs_required/step18_current78_pig_signature_gene_table.csv",TRUE,22937,"3cf730670f204973796af4ae76ca4d0f","Chronic G signature score and L Figure5D summary","These early-pig outputs define the fixed 75-gene signature and early values used in chronic extension figures. The fixed 24-core gene table is checked separately as a required alternative-any group.","rebuild_submission/02_pig_early/step18_current78_pig_signature_gene_table.csv"
"023","OPTIONAL","01_optional_cross_project_early_pig_alternative_core_inputs","step21_pig_core_ortholog_gene_table.csv","step21_pig_core_ortholog_gene_table.csv",FALSE,"COPIED","exact_basename_recursive",4,"E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/Figure5_current_input_audit/Step_C1/original_data/step21_pig_core_ortholog_gene_table.csv","E:/R/ACLsenescence2 LD/rebuild_submission/02_pig_early/tables/step21_pig_core_ortholog_gene_table.csv || E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/Figure5_current_input_audit/Step_C1/original_data/step21_pig_core_ortholog_gene_table.csv || E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/Figure5_current_reanalysis/Step_C4/original_data/step21_pig_core_ortholog_gene_table.csv || E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/submission/Figure5_current_reanalysis/Step_C4/original_data/step21_pig_core_ortholog_gene_table.csv","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/source_inputs/01_early_pig_inputs_optional_alternatives/step21_pig_core_ortholog_gene_table.csv",TRUE,12120,"35fd2b8637ff57d6c727d83533b98e10","Alternative accepted core-gene paths in J/J2","Optional copies of all acceptable core-gene candidates. The package still requires at least one valid fixed 24-core gene table through the required alternative-any group below.","rebuild_submission/02_pig_early/step21_pig_core_ortholog_gene_table.csv"
"034","REQUIRED","03_required_step24_tximport_core_outputs","step24_pig_chronic_tx2gene.csv","step24_pig_chronic_tx2gene.csv",TRUE,"COPIED","preferred_exact_path",2,"E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_tx2gene.csv","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_tx2gene.csv || E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_tx2gene.csv","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/tables_required/03_step24_tximport_core/step24_pig_chronic_tx2gene.csv",TRUE,2598947,"1cc58ce8009ae26728b2686c842b4592","Step25 subsetting, Step4 effective-length offset, and chronic matrix provenance","These are the core tximport gene-level matrices and tx2gene evidence required to support all downstream chronic analyses.","rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_tx2gene.csv"
"035","REQUIRED","03_required_step24_tximport_core_outputs","step24_pig_chronic_gene_level_estimated_counts_matrix.csv","step24_pig_chronic_gene_level_estimated_counts_matrix.csv",TRUE,"COPIED","preferred_exact_path",2,"E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_level_estimated_counts_matrix.csv","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_level_estimated_counts_matrix.csv || E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_level_estimated_counts_matrix.csv","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/tables_required/03_step24_tximport_core/step24_pig_chronic_gene_level_estimated_counts_matrix.csv",TRUE,9769003,"812aa44cf247aa3100dcd81f48c5c4d2","Step25 subsetting, Step4 effective-length offset, and chronic matrix provenance","These are the core tximport gene-level matrices and tx2gene evidence required to support all downstream chronic analyses.","rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_level_estimated_counts_matrix.csv"
"036","REQUIRED","03_required_step24_tximport_core_outputs","step24_pig_chronic_gene_level_abundance_tpm_matrix.csv","step24_pig_chronic_gene_level_abundance_tpm_matrix.csv",TRUE,"COPIED","preferred_exact_path",2,"E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_level_abundance_tpm_matrix.csv","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_level_abundance_tpm_matrix.csv || E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_level_abundance_tpm_matrix.csv","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/tables_required/03_step24_tximport_core/step24_pig_chronic_gene_level_abundance_tpm_matrix.csv",TRUE,16687119,"abb0e7a02986320a39a7124d67d96589","Step25 subsetting, Step4 effective-length offset, and chronic matrix provenance","These are the core tximport gene-level matrices and tx2gene evidence required to support all downstream chronic analyses.","rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_level_abundance_tpm_matrix.csv"
"037","REQUIRED","03_required_step24_tximport_core_outputs","step24_pig_chronic_gene_level_length_matrix.csv","step24_pig_chronic_gene_level_length_matrix.csv",TRUE,"COPIED","preferred_exact_path",2,"E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_level_length_matrix.csv","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_level_length_matrix.csv || E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_level_length_matrix.csv","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/tables_required/03_step24_tximport_core/step24_pig_chronic_gene_level_length_matrix.csv",TRUE,28075264,"ee8857790cb28348b2c1760aa5820ec0","Step25 subsetting, Step4 effective-length offset, and chronic matrix provenance","These are the core tximport gene-level matrices and tx2gene evidence required to support all downstream chronic analyses.","rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_level_length_matrix.csv"
"038","REQUIRED","03_required_step24_tximport_core_outputs","step24_pig_chronic_tximport_run_summary.csv","step24_pig_chronic_tximport_run_summary.csv",TRUE,"COPIED","preferred_exact_path",2,"E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_tximport_run_summary.csv","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_tximport_run_summary.csv || E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_tximport_run_summary.csv","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/tables_required/03_step24_tximport_core/step24_pig_chronic_tximport_run_summary.csv",TRUE,571,"8c03463e8ac3412221ebf515ba750be1","Step25 subsetting, Step4 effective-length offset, and chronic matrix provenance","These are the core tximport gene-level matrices and tx2gene evidence required to support all downstream chronic analyses.","rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_tximport_run_summary.csv"
"039","OPTIONAL","03_optional_step24_tximport_details","step24_pig_chronic_quant_inventory.csv","step24_pig_chronic_quant_inventory.csv",FALSE,"COPIED","preferred_exact_path",2,"E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_quant_inventory.csv","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_quant_inventory.csv || E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_quant_inventory.csv","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/optional_QC_audit/03_step24_tximport_details/step24_pig_chronic_quant_inventory.csv",TRUE,28306,"bfb3c07bc5d2d3db60424161656e0795","Detailed tximport audit","Optional because core matrices and tximport summary are already required.","rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_quant_inventory.csv"
"040","OPTIONAL","03_optional_step24_tximport_details","step24_pig_chronic_gene_annotation_from_gtf.csv","step24_pig_chronic_gene_annotation_from_gtf.csv",FALSE,"COPIED","preferred_exact_path",2,"E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_annotation_from_gtf.csv","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_annotation_from_gtf.csv || E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_annotation_from_gtf.csv","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/optional_QC_audit/03_step24_tximport_details/step24_pig_chronic_gene_annotation_from_gtf.csv",TRUE,1810252,"dd4af026b62269524d5a1d110847fd40","Detailed tximport audit","Optional because core matrices and tximport summary are already required.","rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_gene_annotation_from_gtf.csv"
"041","OPTIONAL","03_optional_step24_tximport_details","step24_pig_chronic_tximport_log.txt","step24_pig_chronic_tximport_log.txt",FALSE,"COPIED","exact_basename_recursive",2,"E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/logs/step24_pig_chronic_tximport_log.txt","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/logs/step24_pig_chronic_tximport_log.txt || E:/R/ACLsenescence2 LD/rebuild_submission/03_pig_chronic/logs/step24_pig_chronic_tximport_log.txt","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig/optional_QC_audit/03_step24_tximport_details/step24_pig_chronic_tximport_log.txt",TRUE,394,"1363b267cfbe84dea6e086671fa55568","Detailed tximport audit","Optional because core matrices and tximport summary are already required.","rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_tximport_log.txt"
