"metric","value"
"package_root","E:/R/ACLsenescence2/rebuild_submission/submission/chronic pig"
"search_roots_used","E:/R/ACLsenescence2 || E:/R/ACLsenescence2 LD"
"classification_rule_required","Without the file, the chronic pig submission mainline, main figure source data, or core reproducibility chain is not adequately supported."
"classification_rule_optional","Useful QC/audit/sensitivity/supplement/log/workspace material; absence does not block main chronic pig manuscript figures or core reproduction."
"n_requested_files","254"
"n_required_requested","73"
"n_optional_requested","181"
"n_copied_total","246"
"n_required_copied","73"
"n_optional_copied","173"
"n_required_missing_or_failed","0"
"n_optional_missing_or_failed","8"
"n_items_with_duplicate_exact_basename_candidates","35"
