"item_id","required_class","category","role","basename_exact","dest_rel","required","used_by","required_reason","preferred_rel"
"001","REQUIRED","00_scripts_final_reordered","Final reordered script A step23_pig_chronic_quant_level_QC_96_files_FIXED.R","A step23_pig_chronic_quant_level_QC_96_files_FIXED.R","scripts/A step23_pig_chronic_quant_level_QC_96_files_FIXED.R",TRUE,"Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"002","REQUIRED","00_scripts_final_reordered","Final reordered script B_step24v2_run_pig_chronic_tximport_from_confirmed_quant_v2_PATH_STANDARDIZED.R","B_step24v2_run_pig_chronic_tximport_from_confirmed_quant_v2_PATH_STANDARDIZED.R","scripts/B_step24v2_run_pig_chronic_tximport_from_confirmed_quant_v2_PATH_STANDARDIZED.R",TRUE,"Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"003","REQUIRED","00_scripts_final_reordered","Final reordered script B2_pig_chronic_stepCHRONQC_01_Salmon_tximport_quantification_audit_TMM_aligned_metadata.R","B2_pig_chronic_stepCHRONQC_01_Salmon_tximport_quantification_audit_TMM_aligned_metadata.R","scripts/B2_pig_chronic_stepCHRONQC_01_Salmon_tximport_quantification_audit_TMM_aligned_metadata.R",TRUE,"Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"004","REQUIRED","00_scripts_final_reordered","Final reordered script C step24v3_clean_tximport_gene_level_matrix_audit.R","C step24v3_clean_tximport_gene_level_matrix_audit.R","scripts/C step24v3_clean_tximport_gene_level_matrix_audit.R",TRUE,"Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"005","REQUIRED","00_scripts_final_reordered","Final reordered script C2_rewritten_StepCHRONLOCK_01_lock_synovium_only_48_matrices_STEP25v3_manifest_locked.R","C2_rewritten_StepCHRONLOCK_01_lock_synovium_only_48_matrices_STEP25v3_manifest_locked.R","scripts/C2_rewritten_StepCHRONLOCK_01_lock_synovium_only_48_matrices_STEP25v3_manifest_locked.R",TRUE,"Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"006","REQUIRED","00_scripts_final_reordered","Final reordered script C3 pig_chronic_stepCHRONMDS_01_main24_PCA_MDS.R","C3 pig_chronic_stepCHRONMDS_01_main24_PCA_MDS.R","scripts/C3 pig_chronic_stepCHRONMDS_01_main24_PCA_MDS.R",TRUE,"Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"007","REQUIRED","00_scripts_final_reordered","Final reordered script D step25v2_run_rebuild_pig_chronic_manifests_and_subsets.R","D step25v2_run_rebuild_pig_chronic_manifests_and_subsets.R","scripts/D step25v2_run_rebuild_pig_chronic_manifests_and_subsets.R",TRUE,"Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"008","REQUIRED","00_scripts_final_reordered","Final reordered script E step25v3_run_rebuild_pig_chronic_manifests_and_subsets.R","E step25v3_run_rebuild_pig_chronic_manifests_and_subsets.R","scripts/E step25v3_run_rebuild_pig_chronic_manifests_and_subsets.R",TRUE,"Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"009","REQUIRED","00_scripts_final_reordered","Final reordered script F step22_pig_chronic_methods_12_1_data_source_sample_annotation_archive.R","F step22_pig_chronic_methods_12_1_data_source_sample_annotation_archive.R","scripts/F step22_pig_chronic_methods_12_1_data_source_sample_annotation_archive.R",TRUE,"Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"010","REQUIRED","00_scripts_final_reordered","Final reordered script G chronic_step2_current78_TMM_aligned_signature_score.R","G chronic_step2_current78_TMM_aligned_signature_score.R","scripts/G chronic_step2_current78_TMM_aligned_signature_score.R",TRUE,"Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
"011","REQUIRED","00_scripts_final_reordered","Final reordered script G2 chronic_step3_current78_TMM_aligned_singscore_sensitivity.R","G2 chronic_step3_current78_TMM_aligned_singscore_sensitivity.R","scripts/G2 chronic_step3_current78_TMM_aligned_singscore_sensitivity.R",TRUE,"Reproducible chronic pig submission workflow","Final analysis scripts are the minimum reproducibility record and must match the reordered script list.",""
