"sample_id","geo_accession","tissue_inferred","group_inferred","filename","file","file_exists","size_bytes","size_mb","readable","read_method","read_error","n_transcripts","has_Name","has_Length","has_EffectiveLength","has_TPM","has_NumReads","has_all_required_cols","tpm_sum","numreads_sum","length_min","effective_length_min","tpm_sum_close_1e6","expected_transcript_count_46295"
"GSM7140438_CON1_cartilage","GSM7140438","cartilage","Control_52W","GSM7140438_CON1_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140438_CON1_cartilage_quant.sf.txt.gz",TRUE,760040,0.725,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000016,14891636.042,9,1,TRUE,TRUE
"GSM7140439_ACLT1_cartilage","GSM7140439","cartilage","ACLT_alone_52W","GSM7140439_ACLT1_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140439_ACLT1_cartilage_quant.sf.txt.gz",TRUE,772930,0.737,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999922,15454181.964,9,1,TRUE,TRUE
"GSM7140440_ACLT2_cartilage","GSM7140440","cartilage","ACLT_alone_52W","GSM7140440_ACLT2_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140440_ACLT2_cartilage_quant.sf.txt.gz",TRUE,762087,0.727,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999966,17126634.974,9,1,TRUE,TRUE
"GSM7140441_ACLT3_cartilage","GSM7140441","cartilage","ACLT_alone_52W","GSM7140441_ACLT3_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140441_ACLT3_cartilage_quant.sf.txt.gz",TRUE,763626,0.728,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000028,21750659.983,9,1,TRUE,TRUE
"GSM7140442_ACLT4_cartilage","GSM7140442","cartilage","ACLT_alone_52W","GSM7140442_ACLT4_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140442_ACLT4_cartilage_quant.sf.txt.gz",TRUE,759459,0.724,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000003,11720152.997,9,1,TRUE,TRUE
"GSM7140443_CON2_cartilage","GSM7140443","cartilage","Control_52W","GSM7140443_CON2_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140443_CON2_cartilage_quant.sf.txt.gz",TRUE,746448,0.712,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.00006,13475989.041,9,1,TRUE,TRUE
"GSM7140444_ACLT5_cartilage","GSM7140444","cartilage","ACLT_alone_52W","GSM7140444_ACLT5_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140444_ACLT5_cartilage_quant.sf.txt.gz",TRUE,752655,0.718,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999917,12741887.021,9,1,TRUE,TRUE
"GSM7140445_ACLT6_cartilage","GSM7140445","cartilage","ACLT_alone_52W","GSM7140445_ACLT6_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140445_ACLT6_cartilage_quant.sf.txt.gz",TRUE,754661,0.72,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000014,15058510.992,9,1,TRUE,TRUE
"GSM7140446_ACLT7_cartilage","GSM7140446","cartilage","ACLT_alone_52W","GSM7140446_ACLT7_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140446_ACLT7_cartilage_quant.sf.txt.gz",TRUE,757173,0.722,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000025,15538876.012,9,1,TRUE,TRUE
"GSM7140447_CON3_cartilage","GSM7140447","cartilage","Control_52W","GSM7140447_CON3_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140447_CON3_cartilage_quant.sf.txt.gz",TRUE,767281,0.732,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.00001,17276914.957,9,1,TRUE,TRUE
"GSM7140448_ACLT8_cartilage","GSM7140448","cartilage","ACLT_alone_52W","GSM7140448_ACLT8_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140448_ACLT8_cartilage_quant.sf.txt.gz",TRUE,764046,0.729,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000042,15743988.923,9,1,TRUE,TRUE
"GSM7140449_ACLT9_cartilage","GSM7140449","cartilage","ACLT_alone_52W","GSM7140449_ACLT9_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140449_ACLT9_cartilage_quant.sf.txt.gz",TRUE,780003,0.744,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000065,16361529.962,9,1,TRUE,TRUE
"GSM7140450_ACLT10_cartilage","GSM7140450","cartilage","ACLT_alone_52W","GSM7140450_ACLT10_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140450_ACLT10_cartilage_quant.sf.txt.gz",TRUE,763435,0.728,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999931,15260879.027,9,1,TRUE,TRUE
"GSM7140451_ACLT11_cartilage","GSM7140451","cartilage","ACLT_alone_52W","GSM7140451_ACLT11_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140451_ACLT11_cartilage_quant.sf.txt.gz",TRUE,763225,0.728,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000019,16922431.001,9,1,TRUE,TRUE
"GSM7140452_CON4_cartilage","GSM7140452","cartilage","Control_52W","GSM7140452_CON4_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140452_CON4_cartilage_quant.sf.txt.gz",TRUE,766881,0.731,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000004,16986271.957,9,1,TRUE,TRUE
"GSM7140453_ACLT12_cartilage","GSM7140453","cartilage","ACLT_alone_52W","GSM7140453_ACLT12_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140453_ACLT12_cartilage_quant.sf.txt.gz",TRUE,749279,0.715,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999913,14344179.036,9,1,TRUE,TRUE
"GSM7140454_CON5_cartilage","GSM7140454","cartilage","Control_52W","GSM7140454_CON5_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140454_CON5_cartilage_quant.sf.txt.gz",TRUE,768484,0.733,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999917,16518664.02,9,1,TRUE,TRUE
"GSM7140455_RECON1_cartilage","GSM7140455","cartilage","Reconstruction_52W","GSM7140455_RECON1_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140455_RECON1_cartilage_quant.sf.txt.gz",TRUE,761096,0.726,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000153,14009603.018,9,1,TRUE,TRUE
"GSM7140456_RECON2_cartilage","GSM7140456","cartilage","Reconstruction_52W","GSM7140456_RECON2_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140456_RECON2_cartilage_quant.sf.txt.gz",TRUE,745511,0.711,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000089,9043811.997,9,1,TRUE,TRUE
"GSM7140457_RECON3_cartilage","GSM7140457","cartilage","Reconstruction_52W","GSM7140457_RECON3_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140457_RECON3_cartilage_quant.sf.txt.gz",TRUE,769489,0.734,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000049,20189069.956,9,1,TRUE,TRUE
"GSM7140458_RECON4_cartilage","GSM7140458","cartilage","Reconstruction_52W","GSM7140458_RECON4_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140458_RECON4_cartilage_quant.sf.txt.gz",TRUE,767391,0.732,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000025,16156356.948,9,1,TRUE,TRUE
"GSM7140459_CON6_cartilage","GSM7140459","cartilage","Control_52W","GSM7140459_CON6_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140459_CON6_cartilage_quant.sf.txt.gz",TRUE,760085,0.725,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000007,14459760.946,9,1,TRUE,TRUE
"GSM7140460_RECON5_cartilage","GSM7140460","cartilage","Reconstruction_52W","GSM7140460_RECON5_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140460_RECON5_cartilage_quant.sf.txt.gz",TRUE,760463,0.725,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999909,14651865.072,9,1,TRUE,TRUE
"GSM7140461_RECON6_cartilage","GSM7140461","cartilage","Reconstruction_52W","GSM7140461_RECON6_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140461_RECON6_cartilage_quant.sf.txt.gz",TRUE,755453,0.72,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999914,16548846.006,9,1,TRUE,TRUE
"GSM7140462_RECON7_cartilage","GSM7140462","cartilage","Reconstruction_52W","GSM7140462_RECON7_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140462_RECON7_cartilage_quant.sf.txt.gz",TRUE,766181,0.731,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999977,12365559.998,9,1,TRUE,TRUE
"GSM7140463_CON7_cartilage","GSM7140463","cartilage","Control_52W","GSM7140463_CON7_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140463_CON7_cartilage_quant.sf.txt.gz",TRUE,763910,0.729,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000023,14720731.047,9,1,TRUE,TRUE
"GSM7140464_RECON8_cartilage","GSM7140464","cartilage","Reconstruction_52W","GSM7140464_RECON8_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140464_RECON8_cartilage_quant.sf.txt.gz",TRUE,759101,0.724,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000073,13432094.977,9,1,TRUE,TRUE
"GSM7140465_RECON9_cartilage","GSM7140465","cartilage","Reconstruction_52W","GSM7140465_RECON9_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140465_RECON9_cartilage_quant.sf.txt.gz",TRUE,759024,0.724,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999941,15592018.931,9,1,TRUE,TRUE
"GSM7140466_RECON10_cartilage","GSM7140466","cartilage","Reconstruction_52W","GSM7140466_RECON10_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140466_RECON10_cartilage_quant.sf.txt.gz",TRUE,766998,0.731,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000126,15225240.976,9,1,TRUE,TRUE
"GSM7140467_RECON11_cartilage","GSM7140467","cartilage","Reconstruction_52W","GSM7140467_RECON11_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140467_RECON11_cartilage_quant.sf.txt.gz",TRUE,769494,0.734,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999999,19754232.976,9,1,TRUE,TRUE
"GSM7140468_CON8_cartilage","GSM7140468","cartilage","Control_52W","GSM7140468_CON8_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140468_CON8_cartilage_quant.sf.txt.gz",TRUE,760535,0.725,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999988,12791481.018,9,1,TRUE,TRUE
"GSM7140469_RECON12_cartilage","GSM7140469","cartilage","Reconstruction_52W","GSM7140469_RECON12_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140469_RECON12_cartilage_quant.sf.txt.gz",TRUE,757534,0.722,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999978,14584552.984,9,1,TRUE,TRUE
"GSM7140470_CON9_cartilage","GSM7140470","cartilage","Control_52W","GSM7140470_CON9_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140470_CON9_cartilage_quant.sf.txt.gz",TRUE,752725,0.718,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.99999,15296922.985,9,1,TRUE,TRUE
"GSM7140471_REPAIR1_cartilage","GSM7140471","cartilage","Repair_52W","GSM7140471_REPAIR1_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140471_REPAIR1_cartilage_quant.sf.txt.gz",TRUE,765915,0.73,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000028,15575517.979,9,1,TRUE,TRUE
"GSM7140472_REPAIR2_cartilage","GSM7140472","cartilage","Repair_52W","GSM7140472_REPAIR2_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140472_REPAIR2_cartilage_quant.sf.txt.gz",TRUE,762499,0.727,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999991,21937198.002,9,1,TRUE,TRUE
"GSM7140473_REPAIR3_cartilage","GSM7140473","cartilage","Repair_52W","GSM7140473_REPAIR3_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140473_REPAIR3_cartilage_quant.sf.txt.gz",TRUE,756832,0.722,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000066,13597077.959,9,1,TRUE,TRUE
"GSM7140474_REPAIR4_cartilage","GSM7140474","cartilage","Repair_52W","GSM7140474_REPAIR4_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140474_REPAIR4_cartilage_quant.sf.txt.gz",TRUE,754228,0.719,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999966,15460777.922,9,1,TRUE,TRUE
"GSM7140475_CON10_cartilage","GSM7140475","cartilage","Control_52W","GSM7140475_CON10_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140475_CON10_cartilage_quant.sf.txt.gz",TRUE,755897,0.721,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,999999.999941,13695722.014,9,1,TRUE,TRUE
"GSM7140476_REPAIR5_cartilage","GSM7140476","cartilage","Repair_52W","GSM7140476_REPAIR5_cartilage_quant.sf.txt.gz","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140476_REPAIR5_cartilage_quant.sf.txt.gz",TRUE,751253,0.716,TRUE,"gzfile","",46295,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000000.000028,14563888.989,9,1,TRUE,TRUE
