"label","file","exists","size_bytes","modified_time","md5"
"Step23 fixed quant inventory","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step23_pig_chronic_quant_file_inventory_FIXED.csv",TRUE,24349,"2026-05-16 09:31:38","0e961032b04ee68543dc60b4c453101e"
"Step23 fixed quant-level QC table","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step23_pig_chronic_quant_level_QC_table_FIXED.csv",TRUE,33655,"2026-05-16 09:31:38","824c72bb8154e22d97404d1d3605fc7f"
"Step23 fixed quant-level QC summary","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step23_pig_chronic_quant_level_QC_summary_FIXED.csv",TRUE,779,"2026-05-16 09:31:38","8742a1d43e6f892c23dc8d7c27e2840b"
"Step23 fixed tissue/group QC summary","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step23_pig_chronic_quant_level_QC_tissue_group_summary_FIXED.csv",TRUE,133,"2026-05-16 09:31:38","9f62523deaa9dddeb5063fe983ec0987"
"Step24 tximport run summary","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step24_pig_chronic_tximport_run_summary.csv",TRUE,571,"2026-04-26 15:21:54","8c03463e8ac3412221ebf515ba750be1"
"Step25v3 synovium manifest","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_synovium_manifest.csv",TRUE,12582,"2026-04-26 16:26:20","30a6fc4dc66ecd4423d275554ea17a6c"
"Step25v3 chronic group summary","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_group_summary.csv",TRUE,107,"2026-04-26 16:26:22","f807525035230439751f355eec317c27"
"Step25v3 main comparison manifest","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_main_comparison_manifest.csv",TRUE,6306,"2026-04-26 16:26:22","0a4595c5b55198ad1b1252efe30dfbb4"
"Step25v3 manifest rebuild summary","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_manifest_rebuild_summary.csv",TRUE,361,"2026-04-26 16:26:56","415ff66213c7d6473e040e626f147d58"
"GSE228848 GEO supplementary archive","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSE228848_RAW.tar",TRUE,73594880,"2026-04-16 11:13:48","7c88807558e437710802374f78af0041"
