"gene_id","gene_symbol","logFC","logCPM","F","PValue","FDR"
"ENSSSCG00000040037","MTSS2",1.23550384164565,5.82309709677684,128.195351538504,1.60143199870542e-11,2.30654250773541e-07
"ENSSSCG00000058216","IGFBP3",-3.01877430616352,6.20405773188125,103.679581652004,2.08809382386494e-10,1.50374076725634e-06
"ENSSSCG00000013418","CFD",-1.27347959031416,7.44115086063682,94.7358560308765,3.90276632006931e-10,1.87371811026527e-06
"ENSSSCG00000015196","SIAE",-0.669252790038658,4.77221149174878,71.2861267677929,6.60332858678074e-09,1.96351164160179e-05
"ENSSSCG00000015015","ARHGAP20",-1.24207645863405,4.41698173104146,71.0551177845204,6.81632868708528e-09,1.96351164160179e-05
"ENSSSCG00000031337","SNX18",0.49844519494019,6.39135432876558,66.3747621553028,1.30238192025938e-08,2.79338137556258e-05
"ENSSSCG00000017900","KIF1C",0.674717216944492,7.24865395624604,66.0830047971339,1.35761088863001e-08,2.79338137556258e-05
"ENSSSCG00000029279","GNA11",0.434011581701233,5.75042647112218,64.774554558858,1.63848076482981e-08,2.94987980698048e-05
"ENSSSCG00000006624","SELENBP1",-1.2311940194379,4.17287827831,63.7859110893971,1.89450063350148e-08,3.03183251381354e-05
"ENSSSCG00000038547","GABRB3",-3.25279357188138,1.94796826719385,62.5976709112708,2.35160186751755e-08,3.38701216978553e-05
"ENSSSCG00000031640","ENSSSCG00000031640",-1.35846514997611,9.42831195098879,60.8481464915951,2.92928403870068e-08,3.60305769881878e-05
"ENSSSCG00000023376","PARD6G",1.87704056963073,3.13611933539899,60.7913636238735,3.00192268179027e-08,3.60305769881878e-05
"ENSSSCG00000015405","ENSSSCG00000015405",-1.42701673631746,3.82014809583769,59.9531921145417,3.36586064925767e-08,3.72911468701986e-05
"ENSSSCG00000022429","KAZALD1",-1.25743480277619,4.70657893128113,57.8445765399947,4.65727838376678e-08,4.52251097596187e-05
"ENSSSCG00000032967","CACNB3",0.956795890435024,3.65853453785826,57.7783605190488,4.70996769002486e-08,4.52251097596187e-05
"ENSSSCG00000007727","AUTS2",0.874930755002268,6.03536796739598,55.9244935590434,6.31315706426353e-08,5.55057976388985e-05
"ENSSSCG00000024671","WNT9A",1.13257711921749,4.23050428822999,55.3786069485581,6.89951969978087e-08,5.55057976388985e-05
"ENSSSCG00000003913","MAST2",0.705176661303569,5.35292398970723,55.3414537991073,6.93677954245763e-08,5.55057976388985e-05
"ENSSSCG00000034259","PMEPA1",0.916050216708383,7.61269822615614,53.9542953573623,8.69862934392172e-08,6.59401886528971e-05
"ENSSSCG00000012362","ARHGEF9",-1.04698041146085,4.34592307079398,53.5309541855932,9.33694684438588e-08,6.66806964127673e-05
"ENSSSCG00000033581","RGS7BP",-1.98830177447562,3.01146308327264,53.2899658992987,1.02524017007074e-07,6.66806964127673e-05
"ENSSSCG00000036893","PTHLH",1.26335151162809,4.31754423327585,52.93870066806,1.03023083841451e-07,6.66806964127673e-05
"ENSSSCG00000015476","CHI3L1",-4.01424822374856,6.86453256610479,54.9779528568747,1.06646270024911e-07,6.66806964127673e-05
"ENSSSCG00000031769","CTTN",0.61504864573492,7.19792266467555,52.4826525671038,1.11111345824232e-07,6.66806964127673e-05
"ENSSSCG00000014257","SLC27A6",-1.77850799572281,3.20876433850259,51.8936762731894,1.26653116667935e-07,7.29673935747305e-05
"ENSSSCG00000015911","SCN3A",2.96717049291716,3.20771704583769,52.1987920451201,1.33419250846101e-07,7.39091334590922e-05
