"metric","value"
"manifest_file","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_main_comparison_manifest.csv"
"count_file","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_main_comparison_gene_level_counts_matrix.csv"
"length_file","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/step25v3_pig_chronic_main_comparison_gene_level_length_matrix.csv"
"n_Control_52W","12"
"n_ACLT_alone_52W","12"
"genes_tested_DE","14403"
"strict_DEG_total","545"
"strict_DEG_up","316"
"strict_DEG_down","229"
"ranked_genes_GSEA","14402"
"hallmark_pathways_tested","50"
"fgsea_seed","1"
"fgsea_nproc","1"
"inflammatory_response_NES","-1.02599937589292"
"inflammatory_response_FDR","0.415415415415415"
"EMT_NES","2.14764222806787"
"EMT_FDR","3.36437709505716e-09"
"DE_output_file","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step4_current78_DE_GSEA/chronic_step4_DE_ACLT_alone_52W_vs_Control_52W_edgeR_QLF_tximport_offset.csv"
"GSEA_full_output_file","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step4_current78_DE_GSEA/chronic_step4_fgsea_full_hallmark_ACLT_alone_52W_vs_Control_52W.csv"
"target_pathway_output_file","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step4_current78_DE_GSEA/chronic_step4_target_pathway_results_from_full_hallmark.csv"
"Figure5B_png","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/figures/Figure5B_current78_chronic_Hallmark_GSEA/Figure5B_current78_chronic_Hallmark_GSEA_running_curves_mouse_style.png"
"Figure5B_pdf","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/figures/Figure5B_current78_chronic_Hallmark_GSEA/Figure5B_current78_chronic_Hallmark_GSEA_running_curves_mouse_style.pdf"
"Step4_QC_MDS_png","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/figures/chronic_step4_current78_QC/chronic_step4_MDS_Control52W_vs_ACLTalone52W.png"
"Step4_QC_MDS_pdf","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/figures/chronic_step4_current78_QC/chronic_step4_MDS_Control52W_vs_ACLTalone52W.pdf"
"Step4_QC_MDS_coordinate_file","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step4_current78_DE_GSEA/chronic_step4_MDS_Control52W_vs_ACLTalone52W_colored_points_coordinates.csv"
"output_dir","E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step4_current78_DE_GSEA"
