"gene_id","gene_symbol","source"
"ENSSSCG00000000002","GTSE1","annotation_file:E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step4_current78_DE_GSEA/chronic_step4_gene_id_to_symbol_map_used_for_GSEA.csv"
"ENSSSCG00000000003","TTC38","annotation_file:E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step4_current78_DE_GSEA/chronic_step4_gene_id_to_symbol_map_used_for_GSEA.csv"
"ENSSSCG00000000005","CDPF1","annotation_file:E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step4_current78_DE_GSEA/chronic_step4_gene_id_to_symbol_map_used_for_GSEA.csv"
"ENSSSCG00000000006","PPARA","annotation_file:E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step4_current78_DE_GSEA/chronic_step4_gene_id_to_symbol_map_used_for_GSEA.csv"
"ENSSSCG00000000007","TRMU","annotation_file:E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step4_current78_DE_GSEA/chronic_step4_gene_id_to_symbol_map_used_for_GSEA.csv"
"ENSSSCG00000000010","FBLN1","annotation_file:E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step4_current78_DE_GSEA/chronic_step4_gene_id_to_symbol_map_used_for_GSEA.csv"
"ENSSSCG00000000014","FAM118A","annotation_file:E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step4_current78_DE_GSEA/chronic_step4_gene_id_to_symbol_map_used_for_GSEA.csv"
"ENSSSCG00000000018","KIAA0930","annotation_file:E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step4_current78_DE_GSEA/chronic_step4_gene_id_to_symbol_map_used_for_GSEA.csv"
"ENSSSCG00000000019","NUP50","annotation_file:E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step4_current78_DE_GSEA/chronic_step4_gene_id_to_symbol_map_used_for_GSEA.csv"
"ENSSSCG00000000020","PHF21B","annotation_file:E:/R/ACLsenescence2/rebuild_submission/03_pig_chronic/tables/chronic_step4_current78_DE_GSEA/chronic_step4_gene_id_to_symbol_map_used_for_GSEA.csv"
